,2010,2015,2020
1,485.92,907.79,886.84
2,485.92,907.79,886.84
3,485.92,907.79,886.84
4,485.92,907.79,886.84
5,485.92,907.79,886.84
6,485.92,907.79,886.84
7,485.92,907.79,886.84
8,485.92,907.79,886.84
9,485.92,907.79,886.84
10,485.92,907.79,886.84
11,485.92,907.79,886.84
12,485.92,907.79,886.84
13,485.92,907.79,886.84
14,485.92,907.79,886.84
15,485.92,907.79,886.84
16,485.92,907.79,886.84
17,485.92,907.79,886.84
18,485.92,907.79,886.84
19,485.92,907.79,886.84
20,485.92,907.79,886.84
21,485.92,907.79,886.84
22,485.92,907.79,886.84
23,485.92,907.79,886.84
24,485.92,907.79,886.84
25,505.8,937.64,911.17
26,505.8,937.64,911.17
27,505.8,937.64,911.17
28,505.8,937.64,911.17
29,505.8,937.64,911.17
30,505.8,937.64,911.17
31,505.8,937.64,911.17
32,505.8,937.64,911.17
33,505.8,937.64,911.17
34,505.8,937.64,911.17
35,505.8,937.64,911.17
36,505.8,937.64,911.17
37,505.8,937.64,911.17
38,505.8,937.64,911.17
39,505.8,937.64,911.17
40,505.8,937.64,911.17
41,505.8,937.64,911.17
42,505.8,937.64,911.17
43,505.8,937.64,911.17
44,505.8,937.64,911.17
45,505.8,937.64,911.17
46,505.8,937.64,911.17
47,505.8,937.64,911.17
48,505.8,937.64,911.17
49,485.92,915.56,884.67
50,485.92,915.56,884.67
51,485.92,915.56,884.67
52,485.92,915.56,884.67
53,485.92,915.56,884.67
54,485.92,915.56,884.67
55,485.92,915.56,884.67
56,485.92,915.56,884.67
57,485.92,915.56,884.67
58,485.92,915.56,884.67
59,485.92,915.56,884.67
60,485.92,915.56,884.67
61,485.92,915.56,884.67
62,485.92,915.56,884.67
63,485.92,915.56,884.67
64,485.92,915.56,884.67
65,485.92,915.56,884.67
66,485.92,915.56,884.67
67,485.92,915.56,884.67
68,485.92,915.56,884.67
69,485.92,915.56,884.67
70,485.92,915.56,884.67
71,485.92,915.56,884.67
72,485.92,915.56,884.67
73,936.5,950.89,947.62
74,936.5,950.89,947.62
75,936.5,950.89,947.62
76,936.5,950.89,947.62
77,936.5,950.89,947.62
78,936.5,950.89,947.62
79,936.5,950.89,947.62
80,936.5,950.89,947.62
81,936.5,950.89,947.62
82,936.5,950.89,947.62
83,936.5,950.89,947.62
84,936.5,950.89,947.62
85,936.5,950.89,947.62
86,936.5,950.89,947.62
87,936.5,950.89,947.62
88,936.5,950.89,947.62
89,936.5,950.89,947.62
90,936.5,950.89,947.62
91,936.5,950.89,947.62
92,936.5,950.89,947.62
93,936.5,950.89,947.62
94,936.5,950.89,947.62
95,936.5,950.89,947.62
96,936.5,950.89,947.62
97,503.59,915.56,884.67
98,503.59,915.56,884.67
99,503.59,915.56,884.67
100,503.59,915.56,884.67
101,503.59,915.56,884.67
102,503.59,915.56,884.67
103,503.59,915.56,884.67
104,503.59,915.56,884.67
105,503.59,915.56,884.67
106,503.59,915.56,884.67
107,503.59,915.56,884.67
108,503.59,915.56,884.67
109,503.59,915.56,884.67
110,503.59,915.56,884.67
111,503.59,915.56,884.67
112,503.59,915.56,884.67
113,503.59,915.56,884.67
114,503.59,915.56,884.67
115,503.59,915.56,884.67
116,503.59,915.56,884.67
117,503.59,915.56,884.67
118,503.59,915.56,884.67
119,503.59,915.56,884.67
120,503.59,915.56,884.67
121,785.42,950.89,947.62
122,785.42,950.89,947.62
123,785.42,950.89,947.62
124,785.42,950.89,947.62
125,785.42,950.89,947.62
126,785.42,950.89,947.62
127,785.42,950.89,947.62
128,785.42,950.89,947.62
129,785.42,950.89,947.62
130,785.42,950.89,947.62
131,785.42,950.89,947.62
132,785.42,950.89,947.62
133,785.42,950.89,947.62
134,785.42,950.89,947.62
135,785.42,950.89,947.62
136,785.42,950.89,947.62
137,785.42,950.89,947.62
138,785.42,950.89,947.62
139,785.42,950.89,947.62
140,785.42,950.89,947.62
141,785.42,950.89,947.62
142,785.42,950.89,947.62
143,785.42,950.89,947.62
144,785.42,950.89,947.62
145,441.75,831.8,886.84
146,441.75,831.8,886.84
147,441.75,831.8,886.84
148,441.75,831.8,886.84
149,441.75,831.8,886.84
150,441.75,831.8,886.84
151,441.75,831.8,886.84
152,441.75,831.8,886.84
153,441.75,831.8,886.84
154,441.75,831.8,886.84
155,441.75,831.8,886.84
156,441.75,831.8,886.84
157,441.75,831.8,886.84
158,441.75,831.8,886.84
159,441.75,831.8,886.84
160,441.75,831.8,886.84
161,441.75,831.8,886.84
162,441.75,831.8,886.84
163,441.75,831.8,886.84
164,441.75,831.8,886.84
165,441.75,831.8,886.84
166,441.75,831.8,886.84
167,441.75,831.8,886.84
168,441.75,831.8,886.84
169,896.74,937.64,989.58
170,896.74,937.64,989.58
171,896.74,937.64,989.58
172,896.74,937.64,989.58
173,896.74,937.64,989.58
174,896.74,937.64,989.58
175,896.74,937.64,989.58
176,896.74,937.64,989.58
177,896.74,937.64,989.58
178,896.74,937.64,989.58
179,896.74,937.64,989.58
180,896.74,937.64,989.58
181,896.74,937.64,989.58
182,896.74,937.64,989.58
183,896.74,937.64,989.58
184,896.74,937.64,989.58
185,896.74,937.64,989.58
186,896.74,937.64,989.58
187,896.74,937.64,989.58
188,896.74,937.64,989.58
189,896.74,937.64,989.58
190,896.74,937.64,989.58
191,896.74,937.64,989.58
192,896.74,937.64,989.58
