,2010,2015,2020
1,140.22,170.56,196.12
2,140.22,170.56,196.12
3,140.22,170.56,196.12
4,140.22,170.56,196.12
5,140.22,170.56,196.12
6,140.22,170.56,196.12
7,140.22,170.56,196.12
8,140.22,170.56,196.12
9,140.22,170.56,196.12
10,140.22,170.56,196.12
11,140.22,170.56,196.12
12,140.22,170.56,196.12
13,140.22,170.56,196.12
14,140.22,170.56,196.12
15,140.22,170.56,196.12
16,140.22,170.56,196.12
17,140.22,170.56,196.12
18,140.22,170.56,196.12
19,140.22,170.56,196.12
20,140.22,170.56,196.12
21,140.22,170.56,196.12
22,140.22,170.56,196.12
23,140.22,170.56,196.12
24,140.22,170.56,196.12
25,121.11,144.08,161.05
26,121.11,144.08,161.05
27,121.11,144.08,161.05
28,121.11,144.08,161.05
29,121.11,144.08,161.05
30,121.11,144.08,161.05
31,121.11,144.08,161.05
32,121.11,144.08,161.05
33,121.11,144.08,161.05
34,121.11,144.08,161.05
35,121.11,144.08,161.05
36,121.11,144.08,161.05
37,121.11,144.08,161.05
38,121.11,144.08,161.05
39,121.11,144.08,161.05
40,121.11,144.08,161.05
41,121.11,144.08,161.05
42,121.11,144.08,161.05
43,121.11,144.08,161.05
44,121.11,144.08,161.05
45,121.11,144.08,161.05
46,121.11,144.08,161.05
47,121.11,144.08,161.05
48,121.11,144.08,161.05
49,124.67,146.95,187.04
50,124.67,146.95,187.04
51,124.67,146.95,187.04
52,124.67,146.95,187.04
53,124.67,146.95,187.04
54,124.67,146.95,187.04
55,124.67,146.95,187.04
56,124.67,146.95,187.04
57,124.67,146.95,187.04
58,124.67,146.95,187.04
59,124.67,146.95,187.04
60,124.67,146.95,187.04
61,124.67,146.95,187.04
62,124.67,146.95,187.04
63,124.67,146.95,187.04
64,124.67,146.95,187.04
65,124.67,146.95,187.04
66,124.67,146.95,187.04
67,124.67,146.95,187.04
68,124.67,146.95,187.04
69,124.67,146.95,187.04
70,124.67,146.95,187.04
71,124.67,146.95,187.04
72,124.67,146.95,187.04
73,100.25,126.98,137.07
74,100.25,126.98,137.07
75,100.25,126.98,137.07
76,100.25,126.98,137.07
77,100.25,126.98,137.07
78,100.25,126.98,137.07
79,100.25,126.98,137.07
80,100.25,126.98,137.07
81,100.25,126.98,137.07
82,100.25,126.98,137.07
83,100.25,126.98,137.07
84,100.25,126.98,137.07
85,100.25,126.98,137.07
86,100.25,126.98,137.07
87,100.25,126.98,137.07
88,100.25,126.98,137.07
89,100.25,126.98,137.07
90,100.25,126.98,137.07
91,100.25,126.98,137.07
92,100.25,126.98,137.07
93,100.25,126.98,137.07
94,100.25,126.98,137.07
95,100.25,126.98,137.07
96,100.25,126.98,137.07
97,127.75,160.09,177.54
98,127.75,160.09,177.54
99,127.75,160.09,177.54
100,127.75,160.09,177.54
101,127.75,160.09,177.54
102,127.75,160.09,177.54
103,127.75,160.09,177.54
104,127.75,160.09,177.54
105,127.75,160.09,177.54
106,127.75,160.09,177.54
107,127.75,160.09,177.54
108,127.75,160.09,177.54
109,127.75,160.09,177.54
110,127.75,160.09,177.54
111,127.75,160.09,177.54
112,127.75,160.09,177.54
113,127.75,160.09,177.54
114,127.75,160.09,177.54
115,127.75,160.09,177.54
116,127.75,160.09,177.54
117,127.75,160.09,177.54
118,127.75,160.09,177.54
119,127.75,160.09,177.54
120,127.75,160.09,177.54
121,99.69,126.98,144.08
122,99.69,126.98,144.08
123,99.69,126.98,144.08
124,99.69,126.98,144.08
125,99.69,126.98,144.08
126,99.69,126.98,144.08
127,99.69,126.98,144.08
128,99.69,126.98,144.08
129,99.69,126.98,144.08
130,99.69,126.98,144.08
131,99.69,126.98,144.08
132,99.69,126.98,144.08
133,99.69,126.98,144.08
134,99.69,126.98,144.08
135,99.69,126.98,144.08
136,99.69,126.98,144.08
137,99.69,126.98,144.08
138,99.69,126.98,144.08
139,99.69,126.98,144.08
140,99.69,126.98,144.08
141,99.69,126.98,144.08
142,99.69,126.98,144.08
143,99.69,126.98,144.08
144,99.69,126.98,144.08
145,130.06,160.09,186.64
146,130.06,160.09,186.64
147,130.06,160.09,186.64
148,130.06,160.09,186.64
149,130.06,160.09,186.64
150,130.06,160.09,186.64
151,130.06,160.09,186.64
152,130.06,160.09,186.64
153,130.06,160.09,186.64
154,130.06,160.09,186.64
155,130.06,160.09,186.64
156,130.06,160.09,186.64
157,130.06,160.09,186.64
158,130.06,160.09,186.64
159,130.06,160.09,186.64
160,130.06,160.09,186.64
161,130.06,160.09,186.64
162,130.06,160.09,186.64
163,130.06,160.09,186.64
164,130.06,160.09,186.64
165,130.06,160.09,186.64
166,130.06,160.09,186.64
167,130.06,160.09,186.64
168,130.06,160.09,186.64
169,105.07,136.48,144.08
170,105.07,136.48,144.08
171,105.07,136.48,144.08
172,105.07,136.48,144.08
173,105.07,136.48,144.08
174,105.07,136.48,144.08
175,105.07,136.48,144.08
176,105.07,136.48,144.08
177,105.07,136.48,144.08
178,105.07,136.48,144.08
179,105.07,136.48,144.08
180,105.07,136.48,144.08
181,105.07,136.48,144.08
182,105.07,136.48,144.08
183,105.07,136.48,144.08
184,105.07,136.48,144.08
185,105.07,136.48,144.08
186,105.07,136.48,144.08
187,105.07,136.48,144.08
188,105.07,136.48,144.08
189,105.07,136.48,144.08
190,105.07,136.48,144.08
191,105.07,136.48,144.08
192,105.07,136.48,144.08
