,2010,2015,2020
1,0.159,0.109,0.087
2,0.156,0.087,0.082
3,0.143,0.086,0.082
4,0.154,0.084,0.077
5,0.146,0.084,0.08
6,0.158,0.111,0.088
7,0.175,0.119,0.112
8,0.196,0.174,0.132
9,0.196,0.176,0.134
10,0.196,0.175,0.134
11,0.196,0.155,0.134
12,0.196,0.159,0.136
13,0.196,0.172,0.132
14,0.196,0.172,0.132
15,0.196,0.169,0.132
16,0.196,0.168,0.132
17,0.197,0.176,0.135
18,0.206,0.188,0.14
19,0.206,0.182,0.138
20,0.2,0.172,0.13
21,0.193,0.156,0.119
22,0.175,0.12,0.108
23,0.175,0.119,0.107
24,0.171,0.118,0.102
25,0.057,0.034,0.033
26,0.062,0.032,0.028
27,0.057,0.031,0.026
28,0.054,0.03,0.025
29,0.053,0.03,0.025
30,0.055,0.031,0.025
31,0.056,0.031,0.025
32,0.058,0.034,0.033
33,0.06,0.034,0.032
34,0.062,0.038,0.036
35,0.062,0.038,0.036
36,0.063,0.039,0.037
37,0.06,0.035,0.036
38,0.06,0.035,0.034
39,0.06,0.035,0.034
40,0.063,0.037,0.034
41,0.063,0.038,0.038
42,0.071,0.041,0.041
43,0.071,0.041,0.041
44,0.068,0.04,0.039
45,0.063,0.034,0.034
46,0.063,0.034,0.034
47,0.062,0.034,0.035
48,0.058,0.034,0.032
49,0.126,0.075,0.062
50,0.108,0.072,0.05
51,0.108,0.071,0.05
52,0.102,0.07,0.049
53,0.108,0.071,0.05
54,0.14,0.076,0.07
55,0.151,0.088,0.083
56,0.151,0.093,0.094
57,0.159,0.1,0.097
58,0.157,0.091,0.094
59,0.157,0.093,0.093
60,0.16,0.091,0.093
61,0.146,0.089,0.083
62,0.143,0.089,0.083
63,0.147,0.089,0.083
64,0.155,0.09,0.085
65,0.158,0.09,0.087
66,0.15,0.093,0.09
67,0.154,0.091,0.09
68,0.155,0.088,0.084
69,0.154,0.088,0.085
70,0.155,0.084,0.081
71,0.152,0.083,0.077
72,0.149,0.078,0.077
73,0.042,0.027,0.02
74,0.037,0.027,0.02
75,0.036,0.026,0.019
76,0.031,0.026,0.019
77,0.031,0.025,0.019
78,0.035,0.026,0.019
79,0.038,0.027,0.019
80,0.038,0.027,0.02
81,0.04,0.026,0.02
82,0.041,0.027,0.02
83,0.045,0.027,0.02
84,0.047,0.027,0.02
85,0.039,0.027,0.02
86,0.04,0.027,0.02
87,0.04,0.027,0.02
88,0.039,0.027,0.02
89,0.04,0.026,0.02
90,0.04,0.027,0.02
91,0.042,0.027,0.02
92,0.044,0.027,0.02
93,0.049,0.028,0.022
94,0.043,0.027,0.02
95,0.046,0.027,0.02
96,0.042,0.027,0.02
97,0.112,0.072,0.06
98,0.095,0.069,0.049
99,0.087,0.067,0.048
100,0.088,0.065,0.047
101,0.093,0.067,0.047
102,0.105,0.071,0.059
103,0.146,0.079,0.076
104,0.16,0.087,0.088
105,0.155,0.09,0.091
106,0.153,0.087,0.09
107,0.164,0.09,0.092
108,0.166,0.095,0.096
109,0.158,0.086,0.089
110,0.153,0.088,0.088
111,0.152,0.087,0.089
112,0.153,0.085,0.086
113,0.151,0.086,0.095
114,0.159,0.091,0.096
115,0.162,0.092,0.098
116,0.15,0.091,0.092
117,0.148,0.087,0.083
118,0.153,0.082,0.083
119,0.152,0.081,0.07
120,0.133,0.075,0.062
121,0.033,0.026,0.02
122,0.032,0.026,0.019
123,0.033,0.025,0.018
124,0.031,0.024,0.017
125,0.03,0.024,0.017
126,0.03,0.024,0.017
127,0.032,0.025,0.019
128,0.034,0.026,0.02
129,0.035,0.026,0.02
130,0.042,0.026,0.02
131,0.042,0.026,0.02
132,0.043,0.026,0.02
133,0.041,0.026,0.02
134,0.043,0.026,0.02
135,0.042,0.026,0.02
136,0.038,0.026,0.02
137,0.035,0.026,0.02
138,0.04,0.026,0.02
139,0.041,0.026,0.022
140,0.036,0.026,0.02
141,0.035,0.026,0.02
142,0.041,0.026,0.02
143,0.041,0.026,0.02
144,0.032,0.026,0.02
145,0.14,0.077,0.062
146,0.117,0.074,0.058
147,0.116,0.073,0.051
148,0.107,0.072,0.05
149,0.115,0.073,0.051
150,0.147,0.08,0.078
151,0.159,0.094,0.093
152,0.177,0.122,0.11
153,0.176,0.119,0.121
154,0.178,0.116,0.119
155,0.176,0.115,0.11
156,0.177,0.117,0.111
157,0.173,0.109,0.098
158,0.172,0.108,0.098
159,0.169,0.108,0.103
160,0.17,0.109,0.104
161,0.169,0.11,0.108
162,0.173,0.115,0.111
163,0.183,0.125,0.112
164,0.183,0.124,0.114
165,0.168,0.116,0.103
166,0.158,0.088,0.086
167,0.158,0.087,0.089
168,0.143,0.084,0.078
169,0.048,0.028,0.02
170,0.042,0.028,0.02
171,0.041,0.028,0.02
172,0.036,0.027,0.019
173,0.035,0.027,0.019
174,0.04,0.028,0.019
175,0.042,0.028,0.02
176,0.048,0.028,0.022
177,0.049,0.029,0.025
178,0.05,0.028,0.024
179,0.052,0.028,0.025
180,0.054,0.028,0.025
181,0.047,0.028,0.024
182,0.049,0.028,0.022
183,0.045,0.028,0.02
184,0.048,0.028,0.022
185,0.049,0.029,0.025
186,0.055,0.028,0.025
187,0.059,0.03,0.026
188,0.059,0.03,0.027
189,0.055,0.029,0.025
190,0.049,0.028,0.022
191,0.049,0.028,0.023
192,0.048,0.028,0.02
