,2010,2015,2020
1,71045.65,75463.05,88715.25
2,71045.65,75463.05,88715.25
3,71045.65,75463.05,88715.25
4,71045.65,75463.05,88715.25
5,71045.65,75463.05,88715.25
6,71045.65,75463.05,88715.25
7,71045.65,75463.05,88715.25
8,71045.65,75463.05,88715.25
9,71045.65,75463.05,88715.25
10,71045.65,75463.05,88715.25
11,71045.65,75463.05,88715.25
12,71045.65,75463.05,88715.25
13,71045.65,75463.05,88715.25
14,71045.65,75463.05,88715.25
15,71045.65,75463.05,88715.25
16,71045.65,75463.05,88715.25
17,71045.65,75463.05,88715.25
18,71045.65,75463.05,88715.25
19,71045.65,75463.05,88715.25
20,71045.65,75463.05,88715.25
21,71045.65,75463.05,88715.25
22,71045.65,75463.05,88715.25
23,71045.65,75463.05,88715.25
24,71045.65,75463.05,88715.25
25,28418.26,30185.22,35486.1
26,28418.26,30185.22,35486.1
27,28418.26,30185.22,35486.1
28,27790.1,30185.22,35486.1
29,27668.68,30185.22,35486.1
30,28052.96,30185.22,35486.1
31,28256.28,30185.22,35486.1
32,28418.26,30185.22,35486.1
33,28418.26,30185.22,35486.1
34,28418.26,30185.22,35486.1
35,28418.26,30185.22,35486.1
36,28418.26,30185.22,35486.1
37,28418.26,30185.22,35486.1
38,28418.26,30185.22,35486.1
39,28418.26,30185.22,35486.1
40,28418.26,30185.22,35486.1
41,28418.26,30185.22,35486.1
42,28418.26,30185.22,35486.1
43,28418.26,30185.22,35486.1
44,28418.26,30185.22,35486.1
45,28418.26,30185.22,35486.1
46,28418.26,30185.22,35486.1
47,28418.26,30185.22,35486.1
48,28418.26,30185.22,35486.1
49,69616.3,75463.05,88715.25
50,67405.65,75463.05,88206.95
51,66494.35,75463.05,86981.7
52,65591.5,75463.05,85768.15
53,66446.25,75463.05,86917.35
54,70478.2,75463.05,88715.25
55,71045.65,75463.05,88715.25
56,71045.65,75463.05,88715.25
57,71045.65,75463.05,88715.25
58,71045.65,75463.05,88715.25
59,71045.65,75463.05,88715.25
60,71045.65,75463.05,88715.25
61,71045.65,75463.05,88715.25
62,71045.65,75463.05,88715.25
63,71045.65,75463.05,88715.25
64,71045.65,75463.05,88715.25
65,71045.65,75463.05,88715.25
66,71045.65,75463.05,88715.25
67,71045.65,75463.05,88715.25
68,71045.65,75463.05,88715.25
69,71045.65,75463.05,88715.25
70,71045.65,75463.05,88715.25
71,71045.65,75463.05,88715.25
72,71045.65,75463.05,88715.25
73,27278.42,30185.22,35486.1
74,26297.44,30185.22,34389.42
75,25714.26,29879.46,33857.2
76,24624.6,28858.96,33093.32
77,24535.68,28754.44,32973.46
