,2010,2015,2020
1,1093.01,1160.97,1364.85
2,1093.01,1160.97,1364.85
3,1093.01,1160.97,1364.85
4,1093.01,1160.97,1364.85
5,1093.01,1160.97,1364.85
6,1093.01,1160.97,1364.85
7,1093.01,1160.97,1364.85
8,1093.01,1160.97,1364.85
9,1093.01,1160.97,1364.85
10,1093.01,1160.97,1364.85
11,1093.01,1160.97,1364.85
12,1093.01,1160.97,1364.85
13,1093.01,1160.97,1364.85
14,1093.01,1160.97,1364.85
15,1093.01,1160.97,1364.85
16,1093.01,1160.97,1364.85
17,1093.01,1160.97,1364.85
18,1093.01,1160.97,1364.85
19,1093.01,1160.97,1364.85
20,1093.01,1160.97,1364.85
21,1093.01,1160.97,1364.85
22,1093.01,1160.97,1364.85
23,1093.01,1160.97,1364.85
24,1093.01,1160.97,1364.85
25,1093.01,1160.97,1364.85
26,1093.01,1160.97,1364.85
27,1093.01,1160.97,1364.85
28,1068.85,1160.97,1364.85
29,1064.18,1160.97,1364.85
30,1078.96,1160.97,1364.85
31,1086.78,1160.97,1364.85
32,1093.01,1160.97,1364.85
33,1093.01,1160.97,1364.85
34,1093.01,1160.97,1364.85
35,1093.01,1160.97,1364.85
36,1093.01,1160.97,1364.85
37,1093.01,1160.97,1364.85
38,1093.01,1160.97,1364.85
39,1093.01,1160.97,1364.85
40,1093.01,1160.97,1364.85
41,1093.01,1160.97,1364.85
42,1093.01,1160.97,1364.85
43,1093.01,1160.97,1364.85
44,1093.01,1160.97,1364.85
45,1093.01,1160.97,1364.85
46,1093.01,1160.97,1364.85
47,1093.01,1160.97,1364.85
48,1093.01,1160.97,1364.85
49,1071.02,1160.97,1364.85
50,1037.01,1160.97,1357.03
51,1022.99,1160.97,1338.18
52,1009.1,1160.97,1319.51
53,1022.25,1160.97,1337.19
54,1084.28,1160.97,1364.85
55,1093.01,1160.97,1364.85
56,1093.01,1160.97,1364.85
57,1093.01,1160.97,1364.85
58,1093.01,1160.97,1364.85
59,1093.01,1160.97,1364.85
60,1093.01,1160.97,1364.85
61,1093.01,1160.97,1364.85
62,1093.01,1160.97,1364.85
63,1093.01,1160.97,1364.85
64,1093.01,1160.97,1364.85
65,1093.01,1160.97,1364.85
66,1093.01,1160.97,1364.85
67,1093.01,1160.97,1364.85
68,1093.01,1160.97,1364.85
69,1093.01,1160.97,1364.85
70,1093.01,1160.97,1364.85
71,1093.01,1160.97,1364.85
72,1093.01,1160.97,1364.85
73,1049.17,1160.97,1364.85
74,1011.44,1160.97,1322.67
75,989.01,1149.21,1302.2
76,947.1,1109.96,1272.82
77,943.68,1105.94,1268.21
78,978.88,1143.27,1295.39
79,1006.22,1160.94,1315.65
80,1049.46,1160.97,1364.85
81,1090.99,1160.97,1364.85
82,1093.01,1160.97,1364.85
83,1093.01,1160.97,1364.85
84,1093.01,1160.97,1364.85
85,1093.01,1160.97,1364.85
86,1093.01,1160.97,1364.85
87,1084.0,1160.97,1364.85
88,1072.02,1160.97,1364.85
89,1067.55,1160.97,1364.85
90,1074.94,1160.97,1364.85
91,1085.52,1160.97,1364.85
92,1093.01,1160.97,1364.85
93,1093.01,1160.97,1364.85
94,1089.32,1160.97,1364.85
95,1093.01,1160.97,1364.85
96,1052.94,1160.97,1364.85
97,1043.28,1160.97,1364.85
98,1008.22,1160.97,1318.34
99,984.78,1146.73,1299.35
100,953.3,1117.23,1278.21
101,971.68,1138.76,1290.55
102,1032.92,1160.97,1351.53
103,1093.01,1160.97,1364.85
104,1093.01,1160.97,1364.85
105,1093.01,1160.97,1364.85
106,1093.01,1160.97,1364.85
107,1093.01,1160.97,1364.85
108,1093.01,1160.97,1364.85
109,1093.01,1160.97,1364.85
110,1093.01,1160.97,1364.85
111,1093.01,1160.97,1364.85
112,1093.01,1160.97,1364.85
113,1093.01,1160.97,1364.85
114,1093.01,1160.97,1364.85
115,1093.01,1160.97,1364.85
116,1093.01,1160.97,1364.85
117,1093.01,1160.97,1364.85
118,1093.01,1160.97,1364.85
119,1093.01,1160.97,1364.85
120,1085.26,1160.97,1364.85
121,1022.73,1160.97,1337.84
122,968.46,1134.99,1288.39
123,932.26,1092.57,1252.88
124,892.5,1045.96,1199.42
125,880.3,1031.66,1183.04
126,891.82,1045.18,1198.54
127,946.5,1109.26,1272.0
128,1018.41,1160.97,1332.03
129,1065.37,1160.97,1364.85
130,1093.01,1160.97,1364.85
131,1093.01,1160.97,1364.85
132,1093.01,1160.97,1364.85
133,1093.01,1160.97,1364.85
134,1093.01,1160.97,1364.85
135,1086.29,1160.97,1364.85
136,1079.47,1160.97,1364.85
137,1074.59,1160.97,1364.85
138,1078.67,1160.97,1364.85
139,1075.27,1160.97,1364.85
140,1066.75,1160.97,1364.85
141,1063.48,1160.97,1364.85
142,1064.53,1160.97,1364.85
143,1064.61,1160.97,1364.85
144,1020.45,1160.97,1334.77
145,1086.71,1160.97,1364.85
146,1055.56,1160.97,1364.85
