,2010,2015,2020
1,299834.6,399311.25,473900.05
2,292609.2,380169.4,457010.45
3,280139.6,373036.95,442527.8
4,283342.8,353921.1,425986.6
5,276733.6,363643.8,435260.8
6,296759.45,392121.6,466321.7
7,350285.65,436515.3,543458.5
8,417043.25,521596.4,605279.35
9,433947.8,547054.95,626185.3
10,440215.75,551917.6,631460.7
11,439764.65,523701.1,636509.9
12,443555.45,528657.35,640961.1
13,438734.4,551485.35,631083.05
14,436517.9,550340.05,628763.85
15,431234.05,536029.65,621627.5
16,424043.75,532524.2,617809.4
17,427080.55,549701.1,629333.9
18,447891.6,573423.5,654729.4
19,448345.95,566545.2,656710.6
20,431096.9,556287.55,631185.1
21,407922.45,516415.25,591285.5
22,358302.1,455673.4,551326.1
23,358086.3,455882.05,553588.1
24,335310.3,422147.7,516298.25
25,115625.12,153257.52,183593.54
26,114784.8,140132.72,170236.04
27,109212.22,137008.04,158071.68
28,104351.78,138116.16,154113.7
29,103431.9,137169.76,153554.44
30,106347.28,134089.54,153725.78
31,107890.9,135199.22,154401.78
32,113770.02,151657.48,182530.14
33,123133.66,159138.72,189583.42
34,127366.72,172394.04,204647.3
35,132329.34,179169.38,210359.5
36,134216.16,184817.36,214721.0
37,132046.72,171132.52,211020.16
38,128523.98,167776.44,203362.9
39,126971.0,165688.9,199537.78
40,126257.3,168617.54,198505.84
41,128294.4,174417.36,211347.76
42,151705.32,188626.88,225694.82
43,152608.04,185923.92,226610.8
44,142492.22,181695.8,220837.24
45,128264.24,170825.2,203947.38
46,124114.9,164979.88,194916.54
47,126215.18,166827.7,202387.12
48,119137.72,158459.34,192145.2
49,255197.8,350372.1,395162.3
50,232415.3,325971.75,352862.9
51,228796.75,319328.1,359886.8
52,224370.9,312929.5,355331.6
53,229408.4,325574.6,342016.35
54,268496.8,329606.55,408837.0
55,304708.95,384904.65,471972.15
56,325987.35,427844.3,524360.2
57,347515.35,455943.8,547550.9
58,347631.05,447170.1,548623.4
59,353706.6,459098.25,552563.7
60,359102.9,466947.65,560327.3
61,346182.85,455091.65,535926.3
62,341088.15,448713.85,530437.05
63,334639.5,445946.15,526629.35
64,328727.75,441472.2,523038.75
65,324002.25,427268.4,521130.35
66,323803.35,433665.05,517336.3
67,323967.8,432234.4,520800.15
68,325477.1,420170.4,511605.25
69,325739.7,428632.1,512386.55
70,310040.25,404249.3,492913.2
71,303790.5,391785.55,476793.2
72,283418.85,352917.5,443777.1
73,95642.04,134879.16,156605.28
74,90047.1,129150.06,150041.58
75,86771.1,126170.2,142075.44
76,81607.5,122442.84,138952.58
77,81259.62,121144.14,137488.52
78,85662.46,122609.76,143182.0
79,89008.66,125411.26,145839.2
80,96494.06,136273.54,148536.7
81,101318.62,141888.24,154250.72
82,107239.6,144444.56,161955.04
83,112259.94,154003.72,167308.96
84,117100.62,152758.32,170328.6
85,108970.42,154622.52,167973.0
86,104578.5,145617.94,163349.16
87,102486.8,143681.98,165799.14
88,100899.76,141023.22,164043.88
89,99943.22,140331.88,162751.68
90,100181.38,139469.98,156202.02
91,101100.74,140641.02,157900.08
92,105124.5,149223.1,160812.08
93,111579.52,153012.86,167833.38
94,101930.4,144445.08,166726.56
95,103877.54,144465.88,161530.72
96,96393.7,136000.02,157809.34
97,233764.7,311917.45,366531.75
98,217829.3,313370.85,332735.0
99,210422.55,308462.05,330481.45
100,202331.35,291196.75,327587.0
101,206967.15,304398.25,326742.0
102,228441.2,303624.75,356188.95
103,282558.9,352582.1,431529.8
104,320039.2,393305.9,483448.55
105,331210.1,422492.2,515466.25
106,342226.3,426981.1,526224.4
107,359547.5,444856.1,542703.85
108,373798.75,464477.0,560636.7
109,354353.35,441103.65,535269.15
110,347579.7,435312.15,532369.5
111,342490.85,428630.8,526895.85
112,339095.9,421339.75,518027.25
113,329784.0,414435.45,527482.8
114,321386.0,423407.4,523836.3
115,324368.2,413650.9,514261.8
116,303996.55,398892.65,488580.3
117,292916.0,382740.8,462939.1
118,296669.75,371383.35,466334.05
119,292769.1,359606.0,428382.5
120,258560.9,323934.65,387279.75
121,88135.06,131085.76,142909.78
122,82137.38,120888.3,142198.68
123,80161.12,118315.86,139451.78
124,78104.78,115391.9,136616.48
125,77378.34,114398.44,131165.06
126,77856.74,113634.04,134349.02
127,80625.22,119156.96,130791.96
128,86386.82,121207.32,137982.52
129,94636.1,131185.08,147002.7
130,100444.76,138047.0,156308.1
131,105299.74,142851.28,161435.3
132,108873.96,145467.14,168726.48
133,104473.72,142451.14,163098.0
134,100808.24,140865.14,159415.88
135,97499.22,143659.88,157519.7
136,98097.22,142142.52,155898.34
137,96711.42,139422.4,153029.5
138,95993.56,134082.78,152279.66
139,96766.54,132692.3,151020.22
140,93915.9,130690.04,148078.32
141,93155.66,129840.62,147759.56
142,94671.98,131300.52,149347.38
143,94634.28,131927.38,149912.88
144,85899.32,128814.92,141732.76
145,269693.45,352957.15,391480.05
146,243391.2,342570.8,375231.35
147,239989.1,326017.25,348675.6
148,229177.65,320746.4,357795.75
149,238523.35,324144.6,346187.4
150,278328.7,343637.45,438107.15
151,315155.75,418985.45,505361.35
152,374980.45,473248.75,567108.75
153,383258.85,467911.6,594295.65
154,390334.1,461769.1,593251.75
155,391398.15,471920.15,584249.25
156,396413.55,478745.8,588765.45
157,379962.7,457626.0,561031.25
158,375180.65,449777.25,552833.45
159,363199.85,443320.15,559110.5
160,359635.9,436874.1,550869.15
161,348472.15,431692.95,552921.85
162,362265.15,448505.2,565186.05
163,395897.45,487830.85,581582.95
164,396260.8,487175.65,591840.6
165,350481.3,461362.2,555476.35
166,314129.4,412647.95,501071.35
167,307359.0,403541.45,497466.45
168,283992.8,364362.05,447573.75
169,99702.72,137631.26,148665.66
170,93039.18,131791.14,146783.0
171,90987.52,129207.78,145271.36
172,86088.86,125966.88,139373.78
173,85763.08,125337.94,138734.44
174,89913.46,127521.94,143684.58
175,93510.56,130803.92,141305.84
176,102314.68,141281.92,153919.74
177,107971.24,141753.82,167770.46
178,113997.26,146005.6,176886.84
179,118215.76,150734.22,180116.04
180,121945.2,154205.22,183627.86
181,115003.46,149669.0,175664.06
182,109696.34,151671.52,165949.68
183,104472.94,149380.14,156239.72
184,106520.44,147319.64,157941.16
185,106071.16,146528.72,166197.46
186,115147.5,145886.26,171912.26
187,123208.28,154800.62,181762.36
188,124087.6,157202.76,185060.72
189,115853.92,155966.2,176422.22
190,105854.06,145453.1,160407.0
191,107583.32,150141.94,166569.52
192,101562.24,137920.38,150132.32
