,2010,2015,2020
1,-502.357,155.198,429.216
2,-386.747,125.104,472.78
3,-443.861,173.965,431.947
4,-241.685,56.859,380.181
5,-396.475,145.762,453.074
6,-484.182,121.126,400.0
7,-315.875,32.755,700.0
8,11.016,513.859,700.0
9,7.014,595.385,665.964
10,-27.233,517.857,572.444
11,-129.948,-30.394,522.694
12,-107.46,2.425,542.353
13,2.66,575.389,640.231
14,40.543,640.998,700.0
15,42.504,516.569,700.0
16,-24.814,513.859,700.0
17,-123.32,609.279,683.676
18,-153.07,563.856,603.768
19,-98.077,513.859,698.287
20,-69.677,700.0,700.0
21,31.439,621.893,700.0
22,-283.238,222.38,700.0
23,-312.673,195.337,700.0
24,-266.568,140.476,660.164
25,-442.758,169.834,501.93
26,-236.037,-57.074,305.786
27,-300.0,-0.442,38.73
28,-300.0,261.278,139.367
29,-300.0,266.311,165.572
30,-300.0,16.448,19.832
31,-300.0,-10.56,-35.18
32,-476.846,152.372,511.42
33,-448.171,51.295,336.019
34,-616.509,175.028,473.668
35,-644.34,179.628,400.0
36,-696.809,251.279,400.0
37,-583.252,-46.35,521.463
38,-589.273,-23.572,400.0
39,-539.489,24.301,400.0
40,-537.31,171.644,400.0
41,-634.276,190.562,658.705
42,-107.96,292.331,700.0
43,-99.536,157.463,700.0
44,-325.682,188.413,700.0
45,-592.328,102.274,432.912
46,-423.247,260.66,524.721
47,-526.292,117.494,565.972
48,-494.726,151.281,579.656
49,-404.948,320.113,269.894
50,-498.215,246.753,-40.132
51,-446.919,269.538,212.903
52,-409.15,294.968,285.483
53,-431.733,372.524,-55.821
54,-300.0,-118.558,346.047
55,-449.194,-93.566,368.716
56,-700.0,-106.449,400.0
57,-632.407,16.932,400.0
58,-700.0,-202.557,324.985
59,-700.0,-127.26,260.44
60,-700.0,-103.707,268.239
61,-700.0,-53.198,159.108
62,-700.0,-59.283,180.048
63,-700.0,14.807,255.695
64,-693.054,61.622,333.217
65,-650.847,-23.16,458.16
66,-605.675,131.7,464.858
67,-569.91,148.227,561.562
68,-561.271,-55.113,400.0
69,-566.671,64.325,400.0
70,-435.387,124.877,599.291
71,-419.866,63.408,500.596
72,-300.0,-28.521,572.992
73,-487.523,311.787,434.802
74,-415.557,427.12,567.288
75,-426.04,447.995,416.251
76,-465.955,491.097,510.297
77,-466.327,456.381,471.44
78,-430.248,356.157,510.658
79,-415.841,329.82,459.012
80,-456.591,362.886,121.654
81,-587.663,208.395,-85.527
82,-607.008,15.443,-120.946
83,-563.361,209.397,-116.377
84,-500.999,14.194,-167.93
85,-582.694,359.929,53.587
86,-557.714,239.952,136.702
87,-488.692,340.472,433.073
88,-458.475,344.779,488.15
89,-461.322,358.004,483.897
90,-508.741,258.706,156.206
91,-554.222,209.051,113.596
92,-541.052,373.947,33.974
93,-424.363,364.122,127.419
94,-551.052,322.559,414.52
95,-534.926,253.827,134.947
96,-487.204,321.393,442.692
97,-525.29,-27.948,112.52
98,-504.134,309.557,-54.238
99,-510.891,359.71,55.884
100,-515.95,233.446,173.372
101,-514.357,355.472,65.636
102,-528.624,-63.696,58.693
103,-430.426,-170.462,229.323
104,-480.482,-280.083,182.35
105,-659.962,-240.423,205.874
106,-661.364,-372.444,141.44
107,-564.862,-297.852,164.927
108,-484.837,-159.919,251.318
109,-598.455,-300.383,113.507
110,-638.499,-313.875,156.104
111,-608.043,-289.599,218.274
112,-566.403,-293.61,205.879
113,-592.752,-261.369,509.352
114,-657.656,-42.056,542.806
115,-467.576,-24.659,586.602
116,-577.81,-13.057,464.758
117,-557.143,-38.953,328.846
118,-433.454,-138.834,468.361
119,-358.427,-162.898,64.416
120,-461.91,-215.499,1.303
121,-576.387,353.432,178.475
122,-527.252,288.492,526.882
123,-465.247,350.685,605.873
124,-392.701,415.142,700.0
125,-374.357,418.419,552.608
126,-399.731,347.928,615.898
127,-501.808,319.707,200.185
128,-611.197,9.028,33.398
129,-650.801,-25.344,-100.716
130,-700.0,-80.882,-108.518
131,-700.0,-115.165,-162.309
132,-700.0,-143.454,-67.359
133,-700.0,-93.235,-55.65
134,-700.0,12.006,-7.824
135,-700.0,271.27,90.339
136,-624.462,273.629,97.566
137,-640.832,239.541,38.746
138,-700.0,-32.268,-31.786
139,-643.961,-36.654,-82.69
140,-689.319,-47.21,-72.463
141,-693.825,-60.618,-50.921
142,-642.998,-13.384,-0.101
143,-645.075,10.275,20.865
144,-645.763,320.766,156.555
145,-300.0,220.298,51.38
146,-469.879,337.619,117.65
147,-416.727,205.016,-155.447
148,-464.696,263.811,147.231
149,-423.115,195.15,-171.831
150,-300.0,-79.584,591.62
151,-605.183,62.318,459.557
152,-348.207,114.978,509.296
153,-390.864,-168.684,700.0
154,-312.703,-301.035,640.552
155,-373.289,-232.337,400.0
156,-347.217,-187.424,400.0
157,-389.202,-264.096,259.953
158,-359.77,-264.096,272.426
159,-429.993,-228.562,523.996
160,-385.885,-212.125,528.477
161,-498.23,-220.982,642.334
162,-381.572,-75.151,700.0
163,-159.121,182.493,551.13
164,-160.273,164.592,700.0
165,-489.164,211.97,653.817
166,-528.592,72.206,516.789
167,-499.958,87.387,639.7
168,-447.013,-33.827,425.601
169,-464.155,261.317,-54.409
170,-448.297,355.849,241.137
171,-389.011,417.763,368.611
172,-403.227,497.418,376.989
173,-404.805,486.068,367.134
174,-393.328,396.315,357.479
175,-483.946,254.797,-43.76
176,-484.203,260.74,-10.031
177,-572.955,-79.599,115.527
178,-561.842,-175.617,168.737
179,-569.453,-192.905,64.037
180,-522.196,-172.483,68.839
181,-558.824,-75.6,72.435
182,-571.191,226.329,-46.375
183,-641.072,293.225,-245.046
184,-498.0,287.629,-92.068
185,-538.419,229.998,199.501
186,-399.446,-42.329,134.864
187,-383.705,-44.565,117.348
188,-401.933,-12.644,174.563
189,-469.213,232.95,179.142
190,-518.921,220.937,8.982
191,-498.0,348.4,187.557
192,-407.676,254.073,-18.127
