,2010,2015,2020
1,0.0,0.002,0.008
2,0.0,0.002,0.008
3,0.0,0.002,0.008
4,0.0,0.002,0.008
5,0.0,0.002,0.008
6,0.0,0.002,0.008
7,0.0,0.002,0.008
8,0.0,0.002,0.008
9,0.0,0.002,0.008
10,0.0,0.002,0.008
11,0.0,0.002,0.008
12,0.0,0.002,0.008
13,0.0,0.002,0.008
14,0.0,0.002,0.008
15,0.0,0.002,0.008
16,0.0,0.002,0.008
17,0.0,0.002,0.008
18,0.0,0.002,0.008
19,0.0,0.002,0.008
20,0.0,0.002,0.008
21,0.0,0.002,0.008
22,0.0,0.002,0.008
23,0.0,0.002,0.008
24,0.0,0.002,0.008
25,0.0,0.001,0.003
26,0.0,0.001,0.003
27,0.0,0.001,0.003
28,0.0,0.001,0.003
29,0.0,0.001,0.003
30,0.0,0.001,0.003
31,0.0,0.001,0.003
32,0.0,0.001,0.003
33,0.0,0.001,0.003
34,0.0,0.001,0.003
35,0.0,0.001,0.003
36,0.0,0.001,0.003
37,0.0,0.001,0.003
38,0.0,0.001,0.003
39,0.0,0.001,0.003
40,0.0,0.001,0.003
41,0.0,0.001,0.003
42,0.0,0.001,0.003
43,0.0,0.001,0.003
44,0.0,0.001,0.003
45,0.0,0.001,0.003
46,0.0,0.001,0.003
47,0.0,0.001,0.003
48,0.0,0.001,0.003
49,0.0,0.002,0.008
50,0.0,0.002,0.008
51,0.0,0.002,0.008
52,0.0,0.002,0.008
53,0.0,0.002,0.008
54,0.0,0.002,0.008
55,0.0,0.002,0.008
56,0.0,0.002,0.008
57,0.0,0.002,0.008
58,0.0,0.002,0.008
59,0.0,0.002,0.008
60,0.0,0.002,0.008
61,0.0,0.002,0.008
62,0.0,0.002,0.008
63,0.0,0.002,0.008
64,0.0,0.002,0.008
65,0.0,0.002,0.008
66,0.0,0.002,0.008
67,0.0,0.002,0.008
68,0.0,0.002,0.008
69,0.0,0.002,0.008
70,0.0,0.002,0.008
71,0.0,0.002,0.008
72,0.0,0.002,0.008
73,0.0,0.001,0.003
74,0.0,0.001,0.003
75,0.0,0.001,0.003
76,0.0,0.001,0.003
77,0.0,0.001,0.003
78,0.0,0.001,0.003
79,0.0,0.001,0.003
80,0.0,0.001,0.003
81,0.0,0.001,0.003
82,0.0,0.001,0.003
83,0.0,0.001,0.003
84,0.0,0.001,0.003
85,0.0,0.001,0.003
86,0.0,0.001,0.003
87,0.0,0.001,0.003
88,0.0,0.001,0.003
89,0.0,0.001,0.003
90,0.0,0.001,0.003
91,0.0,0.001,0.003
92,0.0,0.001,0.003
93,0.0,0.001,0.003
94,0.0,0.001,0.003
95,0.0,0.001,0.003
96,0.0,0.001,0.003
97,0.0,0.002,0.008
98,0.0,0.002,0.008
99,0.0,0.002,0.008
100,0.0,0.002,0.008
101,0.0,0.002,0.008
102,0.0,0.002,0.008
103,0.0,0.002,0.008
104,0.0,0.002,0.008
105,0.0,0.002,0.008
106,0.0,0.002,0.008
107,0.0,0.002,0.008
108,0.0,0.002,0.008
109,0.0,0.002,0.008
110,0.0,0.002,0.008
111,0.0,0.002,0.008
112,0.0,0.002,0.008
113,0.0,0.002,0.008
114,0.0,0.002,0.008
115,0.0,0.002,0.008
116,0.0,0.002,0.008
117,0.0,0.002,0.008
118,0.0,0.002,0.008
119,0.0,0.002,0.008
120,0.0,0.002,0.008
121,0.0,0.001,0.003
122,0.0,0.001,0.003
123,0.0,0.001,0.003
124,0.0,0.001,0.003
125,0.0,0.001,0.003
126,0.0,0.001,0.003
127,0.0,0.001,0.003
128,0.0,0.001,0.003
129,0.0,0.001,0.003
130,0.0,0.001,0.003
131,0.0,0.001,0.003
132,0.0,0.001,0.003
133,0.0,0.001,0.003
134,0.0,0.001,0.003
135,0.0,0.001,0.003
136,0.0,0.001,0.003
137,0.0,0.001,0.003
138,0.0,0.001,0.003
139,0.0,0.001,0.003
140,0.0,0.001,0.003
141,0.0,0.001,0.003
142,0.0,0.001,0.003
143,0.0,0.001,0.003
144,0.0,0.001,0.003
145,0.0,0.002,0.008
146,0.0,0.002,0.008
147,0.0,0.002,0.008
148,0.0,0.002,0.008
149,0.0,0.002,0.008
150,0.0,0.002,0.008
151,0.0,0.002,0.008
152,0.0,0.002,0.008
153,0.0,0.002,0.008
154,0.0,0.002,0.008
155,0.0,0.002,0.008
156,0.0,0.002,0.008
157,0.0,0.002,0.008
158,0.0,0.002,0.008
159,0.0,0.002,0.008
160,0.0,0.002,0.008
161,0.0,0.002,0.008
162,0.0,0.002,0.008
163,0.0,0.002,0.008
164,0.0,0.002,0.008
165,0.0,0.002,0.008
166,0.0,0.002,0.008
167,0.0,0.002,0.008
168,0.0,0.002,0.008
169,0.0,0.001,0.003
170,0.0,0.001,0.003
171,0.0,0.001,0.003
172,0.0,0.001,0.003
173,0.0,0.001,0.003
174,0.0,0.001,0.003
175,0.0,0.001,0.003
176,0.0,0.001,0.003
177,0.0,0.001,0.003
178,0.0,0.001,0.003
179,0.0,0.001,0.003
180,0.0,0.001,0.003
181,0.0,0.001,0.003
182,0.0,0.001,0.003
183,0.0,0.001,0.003
184,0.0,0.001,0.003
185,0.0,0.001,0.003
186,0.0,0.001,0.003
187,0.0,0.001,0.003
188,0.0,0.001,0.003
189,0.0,0.001,0.003
190,0.0,0.001,0.003
191,0.0,0.001,0.003
192,0.0,0.001,0.003
