,2010,2015,2020
COA_SUB_HC,97.907,97.907,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,0.0,0.0,0.0
COA_SC_LN,102.803,68.535,68.535
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,55.209,61.072,129.472
GAS_CC,174.347,174.347,221.277
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,464.888,464.888,602.902
REW_HYD_LG,89.808,174.333,174.333
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,31.313,48.71,48.71
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,108.838,209.006,233.373
REW_WND_ON_3035,0.0,98.688,98.688
REW_WND_ON_3540,0.0,217.888,311.389
REW_WND_ON_40UP,0.0,107.283,191.433
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,145.702,159.727,159.727
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.0,0.0,0.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,61.166,61.166,61.166
BIO_CHP,43.284,43.284,43.284
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,40.876,40.876,40.876
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,18.896,18.896,18.896
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,13.833,54.662
OIL_ST,58.546,58.546,19.515
