,2010,2015,2020
1,0.09,0.092,0.086
2,0.09,0.083,0.086
3,0.09,0.083,0.087
4,0.089,0.084,0.086
5,0.089,0.083,0.087
6,0.09,0.093,0.087
7,0.091,0.092,0.099
8,0.092,0.116,0.103
9,0.091,0.113,0.103
10,0.092,0.113,0.104
11,0.094,0.104,0.104
12,0.094,0.106,0.106
13,0.095,0.115,0.105
14,0.095,0.115,0.104
15,0.094,0.115,0.104
16,0.093,0.113,0.102
17,0.098,0.112,0.102
18,0.159,0.112,0.104
19,0.159,0.112,0.103
20,0.12,0.109,0.098
21,0.092,0.109,0.092
22,0.089,0.089,0.093
23,0.089,0.088,0.092
24,0.092,0.092,0.095
25,0.088,0.081,0.086
26,0.089,0.082,0.084
27,0.088,0.083,0.083
28,0.088,0.082,0.083
29,0.088,0.082,0.083
30,0.088,0.083,0.083
31,0.088,0.083,0.083
32,0.09,0.081,0.085
33,0.087,0.08,0.083
34,0.088,0.082,0.085
35,0.088,0.082,0.085
36,0.089,0.081,0.085
37,0.089,0.082,0.086
38,0.09,0.083,0.086
39,0.089,0.081,0.085
40,0.088,0.081,0.083
41,0.085,0.078,0.082
42,0.087,0.079,0.086
43,0.087,0.079,0.085
44,0.085,0.08,0.082
45,0.084,0.075,0.081
46,0.086,0.078,0.082
47,0.084,0.076,0.083
48,0.086,0.078,0.082
49,0.087,0.081,0.082
50,0.086,0.082,0.079
51,0.086,0.082,0.078
52,0.085,0.082,0.078
53,0.086,0.082,0.079
54,0.088,0.083,0.085
55,0.086,0.081,0.084
56,0.087,0.08,0.083
57,0.087,0.081,0.085
58,0.09,0.081,0.086
59,0.09,0.083,0.087
60,0.091,0.082,0.087
61,0.091,0.083,0.085
62,0.09,0.083,0.086
63,0.091,0.083,0.085
64,0.089,0.082,0.084
65,0.088,0.08,0.083
66,0.086,0.079,0.083
67,0.085,0.077,0.081
68,0.085,0.076,0.08
69,0.085,0.076,0.081
70,0.086,0.078,0.081
71,0.086,0.078,0.081
72,0.088,0.082,0.085
73,0.082,0.076,0.074
74,0.082,0.079,0.076
75,0.084,0.08,0.077
76,0.083,0.08,0.077
77,0.083,0.081,0.078
78,0.084,0.081,0.077
79,0.085,0.08,0.076
80,0.084,0.078,0.077
81,0.086,0.079,0.078
82,0.086,0.081,0.079
83,0.088,0.081,0.079
84,0.088,0.081,0.08
85,0.088,0.082,0.081
86,0.091,0.084,0.082
87,0.09,0.084,0.081
88,0.087,0.082,0.079
89,0.084,0.079,0.076
90,0.081,0.076,0.074
91,0.08,0.074,0.072
92,0.078,0.073,0.072
93,0.079,0.072,0.073
94,0.08,0.073,0.071
95,0.08,0.073,0.072
96,0.082,0.076,0.074
97,0.086,0.083,0.083
98,0.085,0.082,0.079
99,0.084,0.082,0.079
100,0.082,0.082,0.079
101,0.083,0.082,0.079
102,0.086,0.084,0.084
103,0.087,0.082,0.084
104,0.088,0.082,0.086
105,0.09,0.082,0.086
106,0.089,0.082,0.086
107,0.09,0.083,0.087
108,0.089,0.083,0.087
109,0.09,0.082,0.087
110,0.09,0.084,0.086
111,0.089,0.083,0.087
112,0.088,0.081,0.085
113,0.087,0.08,0.088
114,0.085,0.079,0.087
115,0.085,0.078,0.088
116,0.083,0.079,0.086
117,0.084,0.08,0.084
118,0.084,0.079,0.083
119,0.084,0.08,0.081
120,0.087,0.083,0.082
121,0.079,0.076,0.076
122,0.079,0.079,0.076
123,0.081,0.079,0.076
124,0.08,0.08,0.076
125,0.08,0.08,0.076
126,0.08,0.081,0.077
127,0.083,0.082,0.08
128,0.086,0.084,0.081
129,0.085,0.082,0.082
130,0.087,0.082,0.081
131,0.087,0.082,0.081
132,0.087,0.082,0.08
133,0.088,0.084,0.081
134,0.09,0.084,0.082
135,0.09,0.083,0.082
136,0.085,0.081,0.08
137,0.084,0.079,0.078
138,0.082,0.076,0.075
139,0.079,0.074,0.074
140,0.078,0.073,0.072
141,0.078,0.074,0.073
142,0.08,0.074,0.073
143,0.08,0.074,0.073
144,0.081,0.077,0.076
145,0.088,0.081,0.082
146,0.087,0.081,0.082
147,0.086,0.082,0.079
148,0.086,0.082,0.078
149,0.086,0.082,0.08
150,0.088,0.083,0.086
151,0.086,0.08,0.084
152,0.088,0.091,0.093
153,0.088,0.09,0.101
154,0.091,0.091,0.101
155,0.092,0.089,0.094
156,0.092,0.09,0.097
157,0.093,0.09,0.089
158,0.092,0.091,0.089
159,0.091,0.09,0.093
160,0.09,0.089,0.092
161,0.089,0.088,0.094
162,0.087,0.089,0.093
163,0.088,0.09,0.094
164,0.087,0.093,0.094
165,0.086,0.086,0.088
166,0.086,0.078,0.083
167,0.087,0.079,0.084
168,0.089,0.082,0.085
169,0.084,0.078,0.076
170,0.085,0.081,0.078
171,0.085,0.081,0.078
172,0.084,0.081,0.078
173,0.084,0.081,0.078
174,0.085,0.082,0.078
175,0.084,0.081,0.078
176,0.084,0.077,0.078
177,0.085,0.078,0.079
178,0.085,0.079,0.079
179,0.086,0.08,0.081
180,0.087,0.08,0.081
181,0.087,0.083,0.083
182,0.09,0.082,0.082
183,0.09,0.082,0.08
184,0.086,0.08,0.079
185,0.085,0.078,0.08
186,0.082,0.074,0.076
187,0.081,0.073,0.075
188,0.081,0.073,0.077
189,0.082,0.073,0.075
190,0.081,0.075,0.074
191,0.081,0.074,0.076
192,0.083,0.078,0.076
