,2010,2015,2020
COA_SUB_HC,0.095,0.244,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,0.0,0.0,0.0
COA_SC_LN,0.093,0.325,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,1.943,0.26,0.285
GAS_CC,0.111,0.097,0.115
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.054,0.057,0.057
REW_HYD_LG,0.042,0.043,0.043
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,0.0,0.0,0.0
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,0.07,0.08,0.075
REW_WND_ON_3035,0.0,0.044,0.044
REW_WND_ON_3540,0.0,0.065,0.06
REW_WND_ON_40UP,0.0,0.035,0.038
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,0.155,0.157,0.157
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.0,0.0,0.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,0.238,0.283,0.333
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,0.086,0.119,0.146
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,0.102,0.103,0.123
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.102,0.11
OIL_ST,0.0,0.0,0.0
