,2010,2015,2020
COA_SUB_HC,27.02,4.359,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,0.0,0.0,0.0
COA_SC_LN,16.684,1.115,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,0.084,0.576,1.201
GAS_CC,11.723,24.695,15.334
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,24.573,23.527,27.516
REW_HYD_LG,2.793,5.423,5.423
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,0.373,0.581,0.581
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,1.928,3.217,3.837
REW_WND_ON_3035,0.0,2.816,2.816
REW_WND_ON_3540,0.0,4.524,6.881
REW_WND_ON_40UP,0.0,3.888,6.38
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,1.06,1.149,1.149
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.0,0.0,0.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,1.634,1.688,1.669
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,2.701,2.701,2.701
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,2.624,2.624,2.624
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.772,3.087
OIL_ST,0.0,0.0,0.0
