,2010,2015,2020
COA_SUB_HC,514.873,213.069,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,0.0,0.0,0.0
COA_SC_LN,435.388,120.939,83.655
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,81.711,147.533,342.407
GAS_CC,741.435,1174.269,1255.969
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,666.966,666.638,887.506
REW_HYD_LG,117.251,230.906,234.206
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,40.327,62.731,62.731
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,134.226,257.275,287.985
REW_WND_ON_3035,0.0,124.686,124.686
REW_WND_ON_3540,0.0,295.994,413.815
REW_WND_ON_40UP,0.0,136.372,242.78
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,164.527,180.351,180.351
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.0,0.0,0.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,76.746,76.746,76.746
BIO_CHP,389.516,478.391,555.958
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,233.434,321.56,395.178
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,268.834,269.268,322.386
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,79.071,340.704
OIL_ST,94.546,94.546,31.515
