,2010,2015,2020
1,411.06,395.01,400.53
2,411.06,395.01,400.53
3,411.06,395.01,400.53
4,411.06,395.01,400.53
5,411.06,395.01,400.53
6,411.06,395.01,400.53
7,411.06,395.01,400.53
8,411.06,395.01,400.53
9,411.06,395.01,400.53
10,411.06,395.01,400.53
11,411.06,395.01,400.53
12,411.06,395.01,400.53
13,411.06,395.01,400.53
14,411.06,395.01,400.53
15,411.06,395.01,400.53
16,411.06,395.01,400.53
17,411.06,395.01,400.53
18,411.06,395.01,400.53
19,411.06,395.01,400.53
20,411.06,395.01,400.53
21,411.06,395.01,400.53
22,411.06,395.01,400.53
23,411.06,395.01,400.53
24,411.06,395.01,400.53
25,398.59,505.59,472.54
26,398.59,505.59,472.54
27,398.59,505.59,472.54
28,398.59,505.59,472.54
29,398.59,505.59,472.54
30,398.59,505.59,472.54
31,398.59,505.59,472.54
32,398.59,505.59,472.54
33,398.59,505.59,472.54
34,398.59,505.59,472.54
35,398.59,505.59,472.54
36,398.59,505.59,472.54
37,398.59,505.59,472.54
38,398.59,505.59,472.54
39,398.59,505.59,472.54
40,398.59,505.59,472.54
41,398.59,505.59,472.54
42,398.59,505.59,472.54
43,398.59,505.59,472.54
44,398.59,505.59,472.54
45,398.59,505.59,472.54
46,398.59,505.59,472.54
47,398.59,505.59,472.54
48,398.59,505.59,472.54
49,426.19,441.28,416.45
50,426.19,441.28,416.45
51,426.19,441.28,416.45
52,426.19,441.28,416.45
53,426.19,441.28,416.45
54,426.19,441.28,416.45
55,426.19,441.28,416.45
56,426.19,441.28,416.45
57,426.19,441.28,416.45
58,426.19,441.28,416.45
59,426.19,441.28,416.45
60,426.19,441.28,416.45
61,426.19,441.28,416.45
62,426.19,441.28,416.45
63,426.19,441.28,416.45
64,426.19,441.28,416.45
65,426.19,441.28,416.45
66,426.19,441.28,416.45
67,426.19,441.28,416.45
68,426.19,441.28,416.45
69,426.19,441.28,416.45
70,426.19,441.28,416.45
71,426.19,441.28,416.45
72,426.19,441.28,416.45
73,387.71,482.52,436.25
74,387.71,482.52,436.25
75,387.71,482.52,436.25
76,387.71,482.52,436.25
77,387.71,482.52,436.25
78,387.71,482.52,436.25
79,387.71,482.52,436.25
80,387.71,482.52,436.25
81,387.71,482.52,436.25
82,387.71,482.52,436.25
83,387.71,482.52,436.25
84,387.71,482.52,436.25
85,387.71,482.52,436.25
86,387.71,482.52,436.25
87,387.71,482.52,436.25
88,387.71,482.52,436.25
89,387.71,482.52,436.25
90,387.71,482.52,436.25
91,387.71,482.52,436.25
92,387.71,482.52,436.25
93,387.71,482.52,436.25
94,387.71,482.52,436.25
95,387.71,482.52,436.25
96,387.71,482.52,436.25
97,453.36,488.54,537.29
98,453.36,488.54,537.29
99,453.36,488.54,537.29
100,453.36,488.54,537.29
101,453.36,488.54,537.29
102,453.36,488.54,537.29
103,453.36,488.54,537.29
104,453.36,488.54,537.29
105,453.36,488.54,537.29
106,453.36,488.54,537.29
107,453.36,488.54,537.29
108,453.36,488.54,537.29
109,453.36,488.54,537.29
110,453.36,488.54,537.29
111,453.36,488.54,537.29
112,453.36,488.54,537.29
113,453.36,488.54,537.29
114,453.36,488.54,537.29
115,453.36,488.54,537.29
116,453.36,488.54,537.29
117,453.36,488.54,537.29
118,453.36,488.54,537.29
119,453.36,488.54,537.29
120,453.36,488.54,537.29
121,434.97,482.33,426.75
122,434.97,482.33,426.75
123,434.97,482.33,426.75
124,434.97,482.33,426.75
125,434.97,482.33,426.75
126,434.97,482.33,426.75
127,434.97,482.33,426.75
128,434.97,482.33,426.75
129,434.97,482.33,426.75
130,434.97,482.33,426.75
131,434.97,482.33,426.75
132,434.97,482.33,426.75
133,434.97,482.33,426.75
134,434.97,482.33,426.75
135,434.97,482.33,426.75
136,434.97,482.33,426.75
137,434.97,482.33,426.75
138,434.97,482.33,426.75
139,434.97,482.33,426.75
140,434.97,482.33,426.75
141,434.97,482.33,426.75
142,434.97,482.33,426.75
143,434.97,482.33,426.75
144,434.97,482.33,426.75
145,417.07,431.3,440.95
146,417.07,431.3,440.95
147,417.07,431.3,440.95
148,417.07,431.3,440.95
149,417.07,431.3,440.95
150,417.07,431.3,440.95
151,417.07,431.3,440.95
152,417.07,431.3,440.95
153,417.07,431.3,440.95
154,417.07,431.3,440.95
155,417.07,431.3,440.95
156,417.07,431.3,440.95
157,417.07,431.3,440.95
158,417.07,431.3,440.95
159,417.07,431.3,440.95
160,417.07,431.3,440.95
161,417.07,431.3,440.95
162,417.07,431.3,440.95
163,417.07,431.3,440.95
164,417.07,431.3,440.95
165,417.07,431.3,440.95
166,417.07,431.3,440.95
167,417.07,431.3,440.95
168,417.07,431.3,440.95
169,387.9,482.52,489.93
170,387.9,482.52,489.93
171,387.9,482.52,489.93
172,387.9,482.52,489.93
173,387.9,482.52,489.93
174,387.9,482.52,489.93
175,387.9,482.52,489.93
176,387.9,482.52,489.93
177,387.9,482.52,489.93
178,387.9,482.52,489.93
179,387.9,482.52,489.93
180,387.9,482.52,489.93
181,387.9,482.52,489.93
182,387.9,482.52,489.93
183,387.9,482.52,489.93
184,387.9,482.52,489.93
185,387.9,482.52,489.93
186,387.9,482.52,489.93
187,387.9,482.52,489.93
188,387.9,482.52,489.93
189,387.9,482.52,489.93
190,387.9,482.52,489.93
191,387.9,482.52,489.93
192,387.9,482.52,489.93
