,2010,2015,2020
1,216.3,253.92,287.67
2,216.3,253.92,287.67
3,216.3,253.92,287.67
4,216.3,253.92,287.67
5,216.3,253.92,287.67
6,216.3,253.92,287.67
7,216.3,253.92,287.67
8,216.3,253.92,287.67
9,216.3,253.92,287.67
10,216.3,253.92,287.67
11,216.3,253.92,287.67
12,216.3,253.92,287.67
13,216.3,253.92,287.67
14,216.3,253.92,287.67
15,216.3,253.92,287.67
16,216.3,253.92,287.67
17,216.3,253.92,287.67
18,216.3,253.92,287.67
19,216.3,253.92,287.67
20,216.3,253.92,287.67
21,216.3,253.92,287.67
22,216.3,253.92,287.67
23,216.3,253.92,287.67
24,216.3,253.92,287.67
25,188.09,216.3,249.77
26,188.09,216.3,249.77
27,188.09,216.3,249.77
28,188.09,216.3,249.77
29,188.09,216.3,249.77
30,188.09,216.3,249.77
31,188.09,216.3,249.77
32,188.09,216.3,249.77
33,188.09,216.3,249.77
34,188.09,216.3,249.77
35,188.09,216.3,249.77
36,188.09,216.3,249.77
37,188.09,216.3,249.77
38,188.09,216.3,249.77
39,188.09,216.3,249.77
40,188.09,216.3,249.77
41,188.09,216.3,249.77
42,188.09,216.3,249.77
43,188.09,216.3,249.77
44,188.09,216.3,249.77
45,188.09,216.3,249.77
46,188.09,216.3,249.77
47,188.09,216.3,249.77
48,188.09,216.3,249.77
49,188.09,225.71,249.0
50,188.09,225.71,249.0
51,188.09,225.71,249.0
52,188.09,225.71,249.0
53,188.09,225.71,249.0
54,188.09,225.71,249.0
55,188.09,225.71,249.0
56,188.09,225.71,249.0
57,188.09,225.71,249.0
58,188.09,225.71,249.0
59,188.09,225.71,249.0
60,188.09,225.71,249.0
61,188.09,225.71,249.0
62,188.09,225.71,249.0
63,188.09,225.71,249.0
64,188.09,225.71,249.0
65,188.09,225.71,249.0
66,188.09,225.71,249.0
67,188.09,225.71,249.0
68,188.09,225.71,249.0
69,188.09,225.71,249.0
70,188.09,225.71,249.0
71,188.09,225.71,249.0
72,188.09,225.71,249.0
73,157.52,188.09,207.09
74,157.52,188.09,207.09
75,157.52,188.09,207.09
76,157.52,188.09,207.09
77,157.52,188.09,207.09
78,157.52,188.09,207.09
79,157.52,188.09,207.09
80,157.52,188.09,207.09
81,157.52,188.09,207.09
82,157.52,188.09,207.09
83,157.52,188.09,207.09
84,157.52,188.09,207.09
85,157.52,188.09,207.09
86,157.52,188.09,207.09
87,157.52,188.09,207.09
88,157.52,188.09,207.09
89,157.52,188.09,207.09
90,157.52,188.09,207.09
91,157.52,188.09,207.09
92,157.52,188.09,207.09
93,157.52,188.09,207.09
94,157.52,188.09,207.09
95,157.52,188.09,207.09
96,157.52,188.09,207.09
97,188.09,225.71,248.85
98,188.09,225.71,248.85
99,188.09,225.71,248.85
100,188.09,225.71,248.85
101,188.09,225.71,248.85
102,188.09,225.71,248.85
103,188.09,225.71,248.85
104,188.09,225.71,248.85
105,188.09,225.71,248.85
106,188.09,225.71,248.85
107,188.09,225.71,248.85
108,188.09,225.71,248.85
109,188.09,225.71,248.85
110,188.09,225.71,248.85
111,188.09,225.71,248.85
112,188.09,225.71,248.85
113,188.09,225.71,248.85
114,188.09,225.71,248.85
115,188.09,225.71,248.85
116,188.09,225.71,248.85
117,188.09,225.71,248.85
118,188.09,225.71,248.85
119,188.09,225.71,248.85
120,188.09,225.71,248.85
121,157.52,178.69,202.34
122,157.52,178.69,202.34
123,157.52,178.69,202.34
124,157.52,178.69,202.34
125,157.52,178.69,202.34
126,157.52,178.69,202.34
127,157.52,178.69,202.34
128,157.52,178.69,202.34
129,157.52,178.69,202.34
130,157.52,178.69,202.34
131,157.52,178.69,202.34
132,157.52,178.69,202.34
133,157.52,178.69,202.34
134,157.52,178.69,202.34
135,157.52,178.69,202.34
136,157.52,178.69,202.34
137,157.52,178.69,202.34
138,157.52,178.69,202.34
139,157.52,178.69,202.34
140,157.52,178.69,202.34
141,157.52,178.69,202.34
142,157.52,178.69,202.34
143,157.52,178.69,202.34
144,157.52,178.69,202.34
145,206.89,235.11,268.72
146,206.89,235.11,268.72
147,206.89,235.11,268.72
148,206.89,235.11,268.72
149,206.89,235.11,268.72
150,206.89,235.11,268.72
151,206.89,235.11,268.72
152,206.89,235.11,268.72
153,206.89,235.11,268.72
154,206.89,235.11,268.72
155,206.89,235.11,268.72
156,206.89,235.11,268.72
157,206.89,235.11,268.72
158,206.89,235.11,268.72
159,206.89,235.11,268.72
160,206.89,235.11,268.72
161,206.89,235.11,268.72
162,206.89,235.11,268.72
163,206.89,235.11,268.72
164,206.89,235.11,268.72
165,206.89,235.11,268.72
166,206.89,235.11,268.72
167,206.89,235.11,268.72
168,206.89,235.11,268.72
169,166.93,188.09,211.84
170,166.93,188.09,211.84
171,166.93,188.09,211.84
172,166.93,188.09,211.84
173,166.93,188.09,211.84
174,166.93,188.09,211.84
175,166.93,188.09,211.84
176,166.93,188.09,211.84
177,166.93,188.09,211.84
178,166.93,188.09,211.84
179,166.93,188.09,211.84
180,166.93,188.09,211.84
181,166.93,188.09,211.84
182,166.93,188.09,211.84
183,166.93,188.09,211.84
184,166.93,188.09,211.84
185,166.93,188.09,211.84
186,166.93,188.09,211.84
187,166.93,188.09,211.84
188,166.93,188.09,211.84
189,166.93,188.09,211.84
190,166.93,188.09,211.84
191,166.93,188.09,211.84
192,166.93,188.09,211.84
