,2010,2015,2020
1,78312.65,85193.55,80639.65
2,74851.4,85193.55,80639.65
3,72776.6,83964.4,80639.65
4,70452.85,82568.2,80639.65
5,71253.0,83051.15,80639.65
6,77311.0,85193.55,80639.65
7,85036.9,85193.55,80639.65
8,85193.55,85193.55,80639.65
9,85193.55,85193.55,80639.65
10,85193.55,85193.55,80639.65
11,85193.55,85193.55,80639.65
12,85193.55,85193.55,80639.65
13,85193.55,85193.55,80639.65
14,85193.55,85193.55,80639.65
15,85193.55,85193.55,80639.65
16,85193.55,85193.55,80639.65
17,85193.55,85193.55,80639.65
18,85193.55,85193.55,80639.65
19,85193.55,85193.55,80639.65
20,85193.55,85193.55,80639.65
21,85193.55,85193.55,80639.65
22,85193.55,85193.55,80639.65
23,85193.55,85193.55,80639.65
24,82845.75,85193.55,80639.65
25,29946.28,34077.42,32255.86
26,28488.2,33212.66,32255.86
27,27565.72,32305.78,32255.86
28,26418.6,30961.58,32255.86
29,26201.5,30707.04,32255.86
30,26889.46,31513.3,32255.86
31,27253.72,31940.22,32255.86
32,29715.4,33948.46,32255.86
33,31751.2,34077.42,32255.86
34,33410.0,34077.42,32255.86
35,34077.42,34077.42,32255.86
36,34077.42,34077.42,32255.86
37,33871.76,34077.42,32255.86
38,33465.12,34077.42,32255.86
39,33122.7,34077.42,32255.86
40,33029.88,34077.42,32255.86
41,33577.18,34077.42,32255.86
42,34077.42,34077.42,32255.86
43,34077.42,34077.42,32255.86
44,34077.42,34077.42,32255.86
45,33443.28,34077.42,32255.86
46,31831.54,34077.42,32255.86
47,32952.92,34077.42,32255.86
48,31090.8,34077.42,32255.86
49,66298.7,77699.7,80639.65
50,62338.9,73058.7,80545.4
51,60706.1,71145.1,79422.2
52,59088.25,69249.05,78310.05
53,60620.3,71043.7,79363.05
54,67843.75,79509.95,80639.65
55,78656.5,85193.55,80639.65
56,85087.6,85193.55,80639.65
57,85193.55,85193.55,80639.65
58,85193.55,85193.55,80639.65
59,85193.55,85193.55,80639.65
60,85193.55,85193.55,80639.65
61,85193.55,85193.55,80639.65
62,85193.55,85193.55,80639.65
63,85193.55,85193.55,80639.65
64,85193.55,85193.55,80639.65
65,84466.2,85193.55,80639.65
66,84091.15,85193.55,80639.65
67,83832.45,85193.55,80639.65
68,83948.15,85193.55,80639.65
69,84021.6,85193.55,80639.65
70,79704.3,85193.55,80639.65
71,77993.5,85193.55,80639.65
72,71365.45,83118.75,80639.65
73,25502.1,29887.26,32255.86
74,23744.76,27827.54,31399.16
75,23035.22,26996.32,30911.4
76,22059.18,25852.32,29645.46
77,21979.36,25758.72,29538.08
78,22799.14,26719.68,30640.22
79,23501.4,27542.58,31231.98
80,25515.36,29902.86,32255.86
81,27450.28,32170.58,32255.86
82,28965.04,33498.66,32255.86
83,29884.66,34049.86,32255.86
84,30648.02,34077.42,32255.86
85,29225.56,33654.92,32255.86
86,28037.88,32859.06,32255.86
87,27124.76,31788.9,32255.86
88,26566.54,31134.74,32255.86
89,26358.28,30890.6,32255.86
90,26702.26,31293.86,32255.86
91,27195.48,31871.84,32255.86
92,28065.18,32891.3,32255.86
93,28879.5,33447.44,32255.86
94,27372.02,32079.06,32255.86
95,27733.68,32502.86,32255.86
96,25677.6,30092.92,32255.86
97,63068.85,73913.45,80639.65
98,58986.85,69130.1,78239.85
99,57341.05,67201.55,77062.05
100,55508.7,65053.95,74598.55
101,56578.6,66307.8,76037.0
102,61862.45,72500.35,80217.8
103,73143.2,84184.75,80639.65
104,82671.55,85193.55,80639.65
105,85193.55,85193.55,80639.65
106,85193.55,85193.55,80639.65
107,85193.55,85193.55,80639.65
108,85193.55,85193.55,80639.65
109,85193.55,85193.55,80639.65
110,85193.55,85193.55,80639.65
111,85193.55,85193.55,80639.65
112,85193.55,85193.55,80639.65
113,84721.0,85193.55,80639.65
114,84205.55,85193.55,80639.65
115,83089.5,85193.55,80639.65
116,80454.4,85193.55,80639.65
117,77511.85,85193.55,80639.65
118,76519.3,85193.55,80639.65
119,74459.45,84973.85,80639.65
120,67958.15,79643.85,80639.65
121,24270.48,28444.0,31760.56
122,22556.56,26435.24,30313.92
123,21713.64,25447.24,29180.84
124,20787.0,24361.74,27935.96
125,20503.08,24028.68,27554.28
126,20771.4,24343.54,27915.16
127,22044.88,25835.94,29626.48
128,24069.24,28208.18,31622.24
129,26256.88,30771.52,32255.86
130,27926.08,32728.54,32255.86
131,29072.16,33562.62,32255.86
132,29915.6,34068.58,32255.86
133,28877.16,33445.88,32255.86
134,28012.4,32829.16,32255.86
135,27231.1,31913.7,32255.86
136,26913.38,31541.38,32255.86
137,26686.14,31274.62,32255.86
138,26876.2,31497.7,32255.86
139,26718.12,31312.32,32255.86
140,26320.84,30846.66,32255.86
141,26168.48,30668.3,32255.86
142,26217.62,30725.76,32255.86
143,26221.52,30730.44,32255.86
144,24164.14,28319.46,31687.5
145,68126.5,79841.45,80639.65
146,64499.5,75589.8,80639.65
147,62888.8,73702.85,80639.65
148,61066.2,71566.95,79669.85
149,62639.85,73411.0,80639.65
150,70164.25,82230.2,80639.65
151,83043.35,85193.55,80639.65
152,85193.55,85193.55,80639.65
153,85193.55,85193.55,80639.65
154,85193.55,85193.55,80639.65
155,85193.55,85193.55,80639.65
156,85193.55,85193.55,80639.65
157,85193.55,85193.55,80639.65
158,85193.55,85193.55,80639.65
159,85193.55,85193.55,80639.65
160,85193.55,85193.55,80639.65
161,85193.55,85193.55,80639.65
162,85193.55,85193.55,80639.65
163,85193.55,85193.55,80639.65
164,85193.55,85193.55,80639.65
165,85193.55,85193.55,80639.65
166,82084.6,85193.55,80639.65
167,80052.05,85193.55,80639.65
168,73733.4,84538.35,80639.65
169,26318.76,30844.32,32255.86
170,24649.82,28888.34,32021.6
171,23805.34,27899.04,31441.02
172,22735.7,26645.32,30554.94
173,22668.62,26566.54,30464.46
174,23578.1,27632.54,31284.76
175,24977.68,29272.36,32246.76
176,27056.64,31709.34,32255.86
177,28930.72,33478.12,32255.86
178,30285.58,34077.42,32255.86
179,31327.4,34077.42,32255.86
180,31920.46,34077.42,32255.86
181,30504.5,34077.42,32255.86
182,29327.22,33715.76,32255.86
183,28519.14,33231.12,32255.86
184,28133.3,32970.86,32255.86
185,28272.66,33083.18,32255.86
186,29570.32,33861.62,32255.86
187,31377.32,34077.42,32255.86
188,31695.3,34077.42,32255.86
189,30161.04,34077.42,32255.86
190,28102.88,32935.24,32255.86
191,28383.94,33150.0,32255.86
192,26414.18,30956.38,32255.86
