,2010,2015,2020
1,1204.81,1310.67,1240.61
2,1151.56,1310.67,1240.61
3,1119.64,1291.76,1240.61
4,1083.89,1270.28,1240.61
5,1096.2,1277.71,1240.61
6,1189.4,1310.67,1240.61
7,1308.26,1310.67,1240.61
8,1310.67,1310.67,1240.61
9,1310.67,1310.67,1240.61
10,1310.67,1310.67,1240.61
11,1310.67,1310.67,1240.61
12,1310.67,1310.67,1240.61
13,1310.67,1310.67,1240.61
14,1310.67,1310.67,1240.61
15,1310.67,1310.67,1240.61
16,1310.67,1310.67,1240.61
17,1310.67,1310.67,1240.61
18,1310.67,1310.67,1240.61
19,1310.67,1310.67,1240.61
20,1310.67,1310.67,1240.61
21,1310.67,1310.67,1240.61
22,1310.67,1310.67,1240.61
23,1310.67,1310.67,1240.61
24,1274.55,1310.67,1240.61
25,1151.78,1310.67,1240.61
26,1095.7,1277.41,1240.61
27,1060.22,1242.53,1240.61
28,1016.1,1190.83,1240.61
29,1007.75,1181.04,1240.61
30,1034.21,1212.05,1240.61
31,1048.22,1228.47,1240.61
32,1142.9,1305.71,1240.61
33,1221.2,1310.67,1240.61
34,1285.0,1310.67,1240.61
35,1310.67,1310.67,1240.61
36,1310.67,1310.67,1240.61
37,1302.76,1310.67,1240.61
38,1287.12,1310.67,1240.61
39,1273.95,1310.67,1240.61
40,1270.38,1310.67,1240.61
41,1291.43,1310.67,1240.61
42,1310.67,1310.67,1240.61
43,1310.67,1310.67,1240.61
44,1310.67,1310.67,1240.61
45,1286.28,1310.67,1240.61
46,1224.29,1310.67,1240.61
47,1267.42,1310.67,1240.61
48,1195.8,1310.67,1240.61
49,1019.98,1195.38,1240.61
50,959.06,1123.98,1239.16
51,933.94,1094.54,1221.88
52,909.05,1065.37,1204.77
53,932.62,1092.98,1220.97
54,1043.75,1223.23,1240.61
55,1210.1,1310.67,1240.61
56,1309.04,1310.67,1240.61
57,1310.67,1310.67,1240.61
58,1310.67,1310.67,1240.61
59,1310.67,1310.67,1240.61
60,1310.67,1310.67,1240.61
61,1310.67,1310.67,1240.61
62,1310.67,1310.67,1240.61
63,1310.67,1310.67,1240.61
64,1310.67,1310.67,1240.61
65,1299.48,1310.67,1240.61
66,1293.71,1310.67,1240.61
67,1289.73,1310.67,1240.61
68,1291.51,1310.67,1240.61
69,1292.64,1310.67,1240.61
70,1226.22,1310.67,1240.61
71,1199.9,1310.67,1240.61
72,1097.93,1278.75,1240.61
73,980.85,1149.51,1240.61
74,913.26,1070.29,1207.66
75,885.97,1038.32,1188.9
76,848.43,994.32,1140.21
77,845.36,990.72,1136.08
78,876.89,1027.68,1178.47
79,903.9,1059.33,1201.23
80,981.36,1150.11,1240.61
81,1055.78,1237.33,1240.61
82,1114.04,1288.41,1240.61
83,1149.41,1309.61,1240.61
84,1178.77,1310.67,1240.61
85,1124.06,1294.42,1240.61
86,1078.38,1263.81,1240.61
87,1043.26,1222.65,1240.61
88,1021.79,1197.49,1240.61
89,1013.78,1188.1,1240.61
90,1027.01,1203.61,1240.61
91,1045.98,1225.84,1240.61
92,1079.43,1265.05,1240.61
93,1110.75,1286.44,1240.61
94,1052.77,1233.81,1240.61
95,1066.68,1250.11,1240.61
96,987.6,1157.42,1240.61
97,970.29,1137.13,1240.61
98,907.49,1063.54,1203.69
99,882.17,1033.87,1185.57
100,853.98,1000.83,1147.67
101,870.44,1020.12,1169.8
102,951.73,1115.39,1234.12
103,1125.28,1295.15,1240.61
104,1271.87,1310.67,1240.61
105,1310.67,1310.67,1240.61
106,1310.67,1310.67,1240.61
107,1310.67,1310.67,1240.61
108,1310.67,1310.67,1240.61
109,1310.67,1310.67,1240.61
110,1310.67,1310.67,1240.61
111,1310.67,1310.67,1240.61
112,1310.67,1310.67,1240.61
113,1303.4,1310.67,1240.61
114,1295.47,1310.67,1240.61
115,1278.3,1310.67,1240.61
116,1237.76,1310.67,1240.61
117,1192.49,1310.67,1240.61
118,1177.22,1310.67,1240.61
119,1145.53,1307.29,1240.61
120,1045.51,1225.29,1240.61
121,933.48,1094.0,1221.56
122,867.56,1016.74,1165.92
123,835.14,978.74,1122.34
124,799.5,936.99,1074.46
125,788.58,924.18,1059.78
126,798.9,936.29,1073.66
127,847.88,993.69,1139.48
128,925.74,1084.93,1216.24
129,1009.88,1183.52,1240.61
130,1074.08,1258.79,1240.61
131,1118.16,1290.87,1240.61
132,1150.6,1310.33,1240.61
133,1110.66,1286.38,1240.61
134,1077.4,1262.66,1240.61
135,1047.35,1227.45,1240.61
136,1035.13,1213.13,1240.61
137,1026.39,1202.87,1240.61
138,1033.7,1211.45,1240.61
139,1027.62,1204.32,1240.61
140,1012.34,1186.41,1240.61
141,1006.48,1179.55,1240.61
142,1008.37,1181.76,1240.61
143,1008.52,1181.94,1240.61
144,929.39,1089.21,1218.75
145,1048.1,1228.33,1240.61
146,992.3,1162.92,1240.61
147,967.52,1133.89,1240.61
148,939.48,1101.03,1225.69
149,963.69,1129.4,1240.61
150,1079.45,1265.08,1240.61
151,1277.59,1310.67,1240.61
152,1310.67,1310.67,1240.61
153,1310.67,1310.67,1240.61
154,1310.67,1310.67,1240.61
155,1310.67,1310.67,1240.61
156,1310.67,1310.67,1240.61
157,1310.67,1310.67,1240.61
158,1310.67,1310.67,1240.61
159,1310.67,1310.67,1240.61
160,1310.67,1310.67,1240.61
161,1310.67,1310.67,1240.61
162,1310.67,1310.67,1240.61
163,1310.67,1310.67,1240.61
164,1310.67,1310.67,1240.61
165,1310.67,1310.67,1240.61
166,1262.84,1310.67,1240.61
167,1231.57,1310.67,1240.61
168,1134.36,1300.59,1240.61
169,1012.26,1186.32,1240.61
170,948.07,1111.09,1231.6
171,915.59,1073.04,1209.27
172,874.45,1024.82,1175.19
173,871.87,1021.79,1171.71
174,906.85,1062.79,1203.26
175,960.68,1125.86,1240.26
176,1040.64,1219.59,1240.61
177,1112.72,1287.62,1240.61
178,1164.83,1310.67,1240.61
179,1204.9,1310.67,1240.61
180,1227.71,1310.67,1240.61
181,1173.25,1310.67,1240.61
182,1127.97,1296.76,1240.61
183,1096.89,1278.12,1240.61
184,1082.05,1268.11,1240.61
185,1087.41,1272.43,1240.61
186,1137.32,1302.37,1240.61
187,1206.82,1310.67,1240.61
188,1219.05,1310.67,1240.61
189,1160.04,1310.67,1240.61
190,1080.88,1266.74,1240.61
191,1091.69,1275.0,1240.61
192,1015.93,1190.63,1240.61
