,2010,2015,2020
1,524501.9,566311.85,633367.15
2,495205.1,542868.95,601355.3
3,485933.5,524395.95,586470.95
4,458264.3,514833.15,570195.6
5,473309.2,514967.7,572253.5
6,517045.1,561130.05,626792.4
7,569246.6,641063.8,692512.6
8,616227.95,690023.75,784124.25
9,642046.6,714650.3,820571.7
10,656794.45,734312.15,843415.95
11,672587.5,780492.05,858891.15
12,674640.2,782412.15,862327.05
13,649705.55,724428.9,831964.25
14,640377.4,712190.7,818925.9
15,632250.45,710976.5,808351.05
16,632390.85,706212.0,802689.55
17,652588.3,716335.75,822389.1
18,688301.25,758667.0,872860.95
19,680100.2,756529.8,860609.1
20,649988.95,711521.2,822511.95
21,599490.45,664898.65,763386.0
22,575892.2,639130.7,704296.45
23,580292.05,643782.1,707637.45
24,539149.65,602564.3,658934.9
25,199599.92,216010.08,239838.56
26,185079.96,211155.62,232592.36
27,180926.72,202873.58,231715.9
28,173694.82,187728.06,219400.74
29,172326.44,186004.52,216887.06
30,176664.28,197478.84,226478.2
31,178960.08,200846.88,230995.44
32,199037.54,214751.42,237646.5
33,211074.5,232353.68,259356.5
34,228144.8,244024.04,272855.44
35,237283.02,253767.8,286061.36
36,243445.8,257546.9,292509.62
37,232946.74,256426.82,279241.3
38,228112.82,249992.34,275660.32
39,222617.98,243815.26,270016.5
40,221403.78,238644.38,268482.76
41,230659.26,246029.68,270850.84
42,231538.58,260557.7,289429.66
43,232336.26,265235.88,290797.26
44,231852.66,256962.16,282245.34
45,227897.54,246411.36,274453.14
46,210909.4,227544.98,255143.98
47,220625.86,239512.78,263562.26
48,208135.2,224919.24,247496.86
49,442640.9,467415.0,542152.65
50,423925.45,450213.4,528888.1
51,410267.65,440274.25,498733.95
52,397642.05,430439.1,480383.8
53,408733.65,430937.65,515379.8
54,445509.35,506963.6,550321.2
55,523211.65,584934.35,640173.95
56,594938.5,650756.6,712656.1
57,616018.0,672662.25,746866.25
58,627015.35,694656.95,760635.85
59,636043.2,700313.9,776927.45
60,644032.35,708167.2,787166.9
61,624898.3,682532.5,768534.0
62,617345.95,674063.0,757025.75
63,607786.4,658071.7,739267.1
64,597913.55,643947.85,721564.35
65,584088.7,636377.95,698659.65
66,576531.15,620992.45,692045.9
67,571049.7,616210.4,681558.8
68,571906.4,630992.05,693859.4
69,573163.5,624351.0,695078.15
70,528881.6,578559.15,634166.0
71,517139.35,569897.9,626076.75
72,467688.65,527053.8,565395.35
73,172808.74,187705.96,204063.6
74,159932.76,163792.46,186323.54
75,155763.4,158338.96,185248.44
76,150679.88,151100.56,175247.54
77,150187.44,152401.6,175442.8
78,154391.64,158689.7,179639.98
79,158410.2,164506.16,186890.6
80,172092.44,178476.74,212196.14
81,187674.76,198550.3,233927.72
82,197702.7,214400.42,247650.26
83,202349.94,217239.36,255275.8
84,205521.16,226096.0,263044.34
85,198700.58,212252.82,245372.14
86,190580.26,207953.98,233188.28
87,183037.92,196989.78,219570.78
88,178740.38,188033.82,211673.28
89,177504.86,184803.58,210023.58
90,180908.78,197693.86,221363.22
91,185210.22,200772.78,226593.9
92,190318.18,202023.9,235992.12
93,192385.18,205525.06,240444.36
94,186235.66,200178.42,220366.38
95,188091.8,203390.98,230595.56
96,173902.04,189698.08,205341.24
97,430218.1,466157.25,524970.55
98,403199.55,425723.35,501456.15
99,393339.7,414189.1,480473.5
100,382200.0,413570.3,457392.0
101,388788.4,410273.5,473387.2
102,422851.65,459567.55,518268.4
103,487300.45,549342.3,602706.0
104,551048.55,627256.5,686953.15
105,596336.65,664125.8,730609.1
