,2010,2015,2020
1,8069.26,8712.49,9744.11
2,7618.54,8351.83,9251.62
3,7475.9,8067.63,9022.63
4,7050.22,7920.51,8772.24
5,7281.68,7922.58,8803.9
6,7954.54,8632.77,9642.96
7,8757.64,9862.52,10654.04
8,9480.43,10615.75,12063.45
9,9877.64,10994.62,12624.18
10,10104.53,11297.11,12975.63
11,10347.5,12007.57,13213.71
12,10379.08,12037.11,13266.57
13,9995.47,11145.06,12799.45
14,9851.96,10956.78,12598.86
15,9726.93,10938.1,12436.17
16,9729.09,10864.8,12349.07
17,10039.82,11020.55,12652.14
18,10589.25,11671.8,13428.63
19,10463.08,11638.92,13240.14
20,9999.83,10946.48,12654.03
21,9222.93,10229.21,11744.4
22,8859.88,9832.78,10835.33
23,8927.57,9904.34,10886.73
24,8294.61,9270.22,10137.46
25,7676.92,8308.08,9224.56
26,7118.46,8121.37,8945.86
27,6958.72,7802.83,8912.15
28,6680.57,7220.31,8438.49
29,6627.94,7154.02,8341.81
30,6794.78,7595.34,8710.7
31,6883.08,7724.88,8884.44
32,7655.29,8259.67,9140.25
33,8118.25,8936.68,9975.25
34,8774.8,9385.54,10494.44
35,9126.27,9760.3,11002.36
36,9363.3,9905.65,11250.37
37,8959.49,9862.57,10740.05
38,8773.57,9615.09,10602.32
39,8562.23,9377.51,10385.25
40,8515.53,9178.63,10326.26
41,8871.51,9462.68,10417.34
42,8905.33,10021.45,11131.91
43,8936.01,10201.38,11184.51
44,8917.41,9883.16,10855.59
45,8765.29,9477.36,10555.89
46,8111.9,8751.73,9813.23
47,8485.61,9212.03,10137.01
48,8005.2,8650.74,9519.11
49,6809.86,7191.0,8340.81
50,6521.93,6926.36,8136.74
51,6311.81,6773.45,7672.83
52,6117.57,6622.14,7390.52
53,6288.21,6629.81,7928.92
54,6853.99,7799.44,8466.48
55,8049.41,8998.99,9848.83
56,9152.9,10011.64,10963.94
57,9477.2,10348.65,11490.25
58,9646.39,10687.03,11702.09
59,9785.28,10774.06,11952.73
60,9908.19,10894.88,12110.26
61,9613.82,10500.5,11823.6
62,9497.63,10370.2,11646.55
63,9350.56,10124.18,11373.34
64,9198.67,9906.89,11100.99
65,8985.98,9790.43,10748.61
66,8869.71,9553.73,10646.86
67,8785.38,9480.16,10485.52
68,8798.56,9707.57,10674.76
69,8817.9,9605.4,10693.51
70,8136.64,8900.91,9756.4
71,7955.99,8767.66,9631.95
72,7195.21,8108.52,8698.39
73,6646.49,7219.46,7848.6
74,6151.26,6299.71,7166.29
75,5990.9,6089.96,7124.94
76,5795.38,5811.56,6740.29
77,5776.44,5861.6,6747.8
78,5938.14,6103.45,6909.23
79,6092.7,6327.16,7188.1
80,6618.94,6864.49,8161.39
81,7218.26,7636.55,8997.22
82,7603.95,8246.17,9525.01
83,7782.69,8355.36,9818.3
84,7904.66,8696.0,10117.09
85,7642.33,8163.57,9437.39
86,7330.01,7998.23,8968.78
87,7039.92,7576.53,8445.03
88,6874.63,7232.07,8141.28
89,6827.11,7107.83,8077.83
90,6958.03,7603.61,8513.97
91,7123.47,7722.03,8715.15
92,7319.93,7770.15,9076.62
93,7399.43,7904.81,9247.86
94,7162.91,7699.17,8475.63
95,7234.3,7822.73,8869.06
96,6688.54,7296.08,7897.74
97,6618.74,7171.65,8076.47
98,6203.07,6549.59,7714.71
99,6051.38,6372.14,7391.9
100,5880.0,6362.62,7036.8
101,5981.36,6311.9,7282.88
102,6505.41,7070.27,7973.36
103,7496.93,8451.42,9272.4
104,8477.67,9650.1,10568.51
105,9174.41,10217.32,11240.14
106,9429.18,10645.94,11645.09
107,9585.8,10868.82,11961.77
108,9714.25,10975.97,12155.54
109,9550.86,10790.98,11921.1
110,9495.13,10692.01,11749.78
111,9303.92,10478.77,11471.58
112,9124.71,10322.16,11299.09
113,8976.57,10085.45,10762.69
114,8944.44,9752.11,10598.67
115,8543.36,9487.28,10272.19
116,8351.86,9121.58,9985.74
117,8046.46,8815.17,9740.2
118,7826.47,8803.39,9472.45
119,7551.48,8594.42,9607.72
120,7027.07,7909.3,8824.83
121,6439.39,6521.42,7701.9
122,5976.78,6120.78,6893.76
