,2010,2015,2020
1,169.416,0.0,200.0
2,97.575,143.984,200.0
3,165.838,52.978,200.0
4,200.0,0.0,200.0
5,200.0,0.0,200.0
6,193.069,0.0,200.0
7,0.0,0.0,200.0
8,82.871,200.0,200.0
9,193.795,200.0,200.0
10,178.535,200.0,200.0
11,176.641,200.0,200.0
12,200.0,0.0,200.0
13,184.443,200.0,200.0
14,200.0,200.0,200.0
15,118.217,200.0,200.0
16,127.99,200.0,200.0
17,0.0,200.0,200.0
18,75.68,14.664,200.0
19,24.714,53.34,200.0
20,22.283,200.0,200.0
21,98.71,66.469,200.0
22,0.0,145.775,200.0
23,0.0,141.949,200.0
24,0.0,75.399,200.0
25,200.0,41.137,200.0
26,173.82,115.296,200.0
27,148.838,37.798,200.0
28,37.537,164.246,200.0
29,17.713,182.786,174.64
30,85.728,101.557,200.0
31,120.85,62.364,200.0
32,200.0,3.031,200.0
33,200.0,79.384,200.0
34,200.0,0.0,200.0
35,200.0,0.0,200.0
36,200.0,0.0,200.0
37,200.0,194.374,200.0
38,200.0,200.0,200.0
39,200.0,157.322,200.0
40,134.967,0.0,200.0
41,200.0,0.0,200.0
42,0.0,74.016,200.0
43,0.0,126.799,200.0
44,0.0,54.255,200.0
45,97.575,138.495,200.0
46,122.52,42.433,142.227
47,99.458,152.104,200.0
48,186.579,71.53,200.0
49,32.973,200.0,73.322
50,161.878,200.0,200.0
51,53.616,200.0,200.0
52,38.484,200.0,200.0
53,44.446,200.0,200.0
54,11.58,0.0,118.732
55,188.97,48.866,200.0
56,153.095,54.091,200.0
57,182.805,165.913,200.0
58,158.718,0.0,200.0
59,200.0,7.955,200.0
60,191.15,0.0,200.0
61,200.0,200.0,200.0
62,200.0,200.0,200.0
63,192.206,200.0,200.0
64,200.0,198.721,200.0
65,117.845,0.0,200.0
66,85.827,0.0,200.0
67,107.94,0.0,200.0
68,109.194,0.0,200.0
69,110.263,0.0,200.0
70,162.562,86.105,200.0
71,178.778,9.94,200.0
72,116.313,0.0,59.119
73,6.831,200.0,200.0
74,123.446,200.0,200.0
75,172.336,200.0,200.0
76,200.0,200.0,200.0
77,200.0,200.0,200.0
78,173.524,200.0,200.0
79,115.384,200.0,200.0
80,20.99,200.0,46.099
81,124.807,200.0,20.766
82,171.208,200.0,126.786
83,200.0,200.0,62.957
84,200.0,200.0,38.456
85,149.657,200.0,200.0
86,109.73,200.0,200.0
87,52.308,200.0,200.0
88,19.067,200.0,200.0
89,16.163,200.0,200.0
90,51.34,200.0,200.0
91,137.889,200.0,91.871
92,97.414,200.0,71.919
93,46.595,200.0,69.9
94,134.242,200.0,200.0
95,152.339,200.0,108.855
96,6.926,200.0,200.0
97,92.948,51.8,0.0
98,68.496,200.0,200.0
99,119.503,200.0,200.0
100,176.217,200.0,200.0
101,139.354,200.0,200.0
102,73.267,0.0,0.0
103,69.28,12.69,200.0
104,200.0,0.0,200.0
105,200.0,0.0,200.0
106,200.0,26.68,200.0
107,200.0,14.165,200.0
108,200.0,0.0,200.0
109,200.0,109.577,200.0
110,200.0,89.357,200.0
111,200.0,0.0,200.0
112,200.0,0.0,200.0
113,163.359,0.0,200.0
114,200.0,0.0,200.0
115,169.269,0.0,200.0
116,200.0,0.0,86.288
117,150.922,79.186,200.0
118,111.1,153.712,200.0
119,7.374,164.67,200.0
120,24.14,0.0,200.0
121,160.268,200.0,133.904
122,200.0,200.0,200.0
123,200.0,200.0,200.0
124,200.0,200.0,200.0
125,200.0,200.0,200.0
126,200.0,200.0,200.0
127,200.0,200.0,200.0
128,106.208,200.0,51.17
129,8.808,200.0,142.389
130,1.409,200.0,150.092
131,89.949,200.0,24.531
132,157.354,200.0,13.516
133,67.342,200.0,147.318
134,88.97,200.0,44.018
135,23.283,200.0,140.02
136,21.835,200.0,161.935
137,23.227,200.0,35.766
138,9.968,200.0,44.448
139,54.214,200.0,16.526
140,50.583,200.0,76.861
141,31.795,200.0,45.821
142,22.112,200.0,66.916
143,22.244,200.0,77.362
144,98.982,200.0,165.6
145,22.644,169.931,200.0
146,59.972,200.0,141.694
147,117.906,200.0,187.034
148,108.184,200.0,200.0
149,124.358,200.0,163.115
150,112.344,0.0,71.928
151,97.575,0.0,200.0
152,100.772,0.0,80.416
153,159.163,0.0,200.0
154,97.575,115.246,200.0
155,200.0,200.0,200.0
156,200.0,200.0,200.0
157,200.0,200.0,200.0
158,200.0,200.0,200.0
159,200.0,200.0,200.0
160,97.575,56.982,200.0
161,172.591,38.081,200.0
162,107.394,0.0,200.0
163,0.0,0.0,200.0
164,0.0,0.0,200.0
165,151.646,74.608,200.0
166,115.031,66.391,200.0
167,186.48,63.761,200.0
168,200.0,0.0,200.0
169,88.014,200.0,149.346
170,18.97,200.0,200.0
171,112.094,200.0,200.0
172,194.032,200.0,200.0
173,196.489,200.0,200.0
174,123.097,200.0,200.0
175,95.277,200.0,74.764
176,148.195,200.0,0.0
177,186.471,200.0,200.0
178,200.0,200.0,45.431
179,200.0,200.0,192.252
180,200.0,183.435,200.0
181,200.0,200.0,0.0
182,200.0,200.0,0.0
183,200.0,200.0,164.826
184,200.0,200.0,153.026
185,77.035,200.0,26.097
186,46.874,200.0,200.0
187,5.432,200.0,200.0
188,34.916,200.0,200.0
189,58.131,200.0,200.0
190,197.148,200.0,18.885
191,200.0,200.0,67.974
192,82.114,200.0,152.932
