encrops,2010,2015,2020
1,31261.603,43615.823,58154.43
2,25047.806,43615.823,58154.43
3,21321.561,41408.692,58154.43
4,17150.591,38901.561,58154.43
5,18586.498,39768.692,58154.43
6,29463.249,43615.823,58154.43
7,43334.135,43615.823,58154.43
8,43615.823,43615.823,58154.43
9,43615.823,43615.823,58154.43
10,43615.823,43615.823,58154.43
11,43615.823,43615.823,58154.43
12,43615.823,43615.823,58154.43
13,43615.823,43615.823,58154.43
14,43615.823,43615.823,58154.43
15,43615.823,43615.823,58154.43
16,43615.823,43615.823,58154.43
17,43615.823,43615.823,58154.43
18,43615.823,43615.823,58154.43
19,43615.823,43615.823,58154.43
20,43615.823,43615.823,58154.43
21,43615.823,43615.823,58154.43
22,43615.823,43615.823,58154.43
23,43615.823,43615.823,58154.43
24,39399.873,43615.823,58154.43
25,10028.903,17446.329,23261.772
26,7411.35,15893.544,23261.772
27,5754.852,14265.148,23261.772
28,3695.485,11851.646,23261.772
29,3477.595,11394.641,23261.772
30,4540.97,12842.532,23261.772
31,5194.937,13608.945,23261.772
32,9614.81,17214.726,23261.772
33,13269.367,17446.329,23261.772
34,16247.806,17446.329,23261.772
35,17446.329,17446.329,23261.772
36,17446.329,17446.329,23261.772
37,17076.793,17446.329,23261.772
38,16346.709,17446.329,23261.772
39,15732.278,17446.329,23261.772
40,15565.106,17446.329,23261.772
41,16547.975,17446.329,23261.772
42,17446.329,17446.329,23261.772
43,17446.329,17446.329,23261.772
44,17446.329,17446.329,23261.772
45,16307.426,17446.329,23261.772
46,13413.46,17446.329,23261.772
47,15427.131,17446.329,23261.772
48,12083.966,17446.329,23261.772
49,9692.236,30160.675,58154.43
50,5787.257,21828.27,57984.219
51,4287.511,18392.827,55968.65
52,2801.266,14988.397,53971.308
53,4208.27,18211.266,55862.152
54,12465.781,33411.139,58154.43
55,31877.553,43615.823,58154.43
56,43425.401,43615.823,58154.43
57,43615.823,43615.823,58154.43
58,43615.823,43615.823,58154.43
59,43615.823,43615.823,58154.43
60,43615.823,43615.823,58154.43
61,43615.823,43615.823,58154.43
62,43615.823,43615.823,58154.43
63,43615.823,43615.823,58154.43
64,43615.823,43615.823,58154.43
65,42309.325,43615.823,58154.43
66,41636.202,43615.823,58154.43
67,41172.236,43615.823,58154.43
68,41379.367,43615.823,58154.43
69,41511.814,43615.823,58154.43
70,33759.873,43615.823,58154.43
71,30688.354,43615.823,58154.43
72,18788.312,39889.747,58154.43
73,2835.359,9923.502,23261.772
74,1220.928,6225.359,21723.46
75,569.325,4732.743,20847.764
76,0.0,3157.046,18574.979
77,0.0,3071.055,18382.236
78,352.447,4236.034,20360.548
79,997.468,5713.544,21423.165
80,2847.51,9951.308,23261.772
81,5547.595,14022.236,23261.772
82,8267.384,16406.835,23261.772
83,9918.481,17396.835,23261.772
84,11289.156,17446.329,23261.772
85,8735.443,16687.468,23261.772
86,6602.321,15258.312,23261.772
87,4963.08,13337.257,23261.772
88,3961.224,12163.08,23261.772
89,3621.603,11724.557,23261.772
90,4204.937,12448.734,23261.772
91,5090.338,13486.371,23261.772
92,6651.899,15316.456,23261.772
93,8114.262,16315.021,23261.772
94,5407.384,13857.975,23261.772
95,6056.624,14618.776,23261.772
96,2996.498,10292.532,23261.772
97,6457.426,23363.333,58154.43
98,2707.975,14774.726,53845.907
99,1196.667,11312.785,51730.169
100,0.0,8281.181,47308.397
101,495.949,9707.679,49889.536
102,5349.873,20826.371,57396.413
103,21980.464,41803.798,58154.43
104,39087.595,43615.823,58154.43
105,43615.823,43615.823,58154.43
106,43615.823,43615.823,58154.43
107,43615.823,43615.823,58154.43
108,43615.823,43615.823,58154.43
109,43615.823,43615.823,58154.43
110,43615.823,43615.823,58154.43
111,43615.823,43615.823,58154.43
112,43615.823,43615.823,58154.43
113,42767.3,43615.823,58154.43
114,41841.35,43615.823,58154.43
115,39837.975,43615.823,58154.43
116,35105.949,43615.823,58154.43
117,29823.629,43615.823,58154.43
118,28041.308,43615.823,58154.43
119,24343.249,43220.506,58154.43
120,12670.675,33651.266,58154.43
121,1703.882,7331.688,22372.532
122,129.578,3725.443,19775.021
123,0.0,2784.852,17740.802
124,0.0,1787.595,15505.654
125,0.0,1481.814,14820.295
126,0.0,1770.928,15468.27
127,0.0,3141.814,18540.844
128,1518.987,6908.144,22124.051
129,3528.354,11510.928,23261.772
130,6402.321,15023.924,23261.772
131,8459.494,16522.025,23261.772
132,9974.051,17430.169,23261.772
133,8109.578,16312.236,23261.772
134,6556.624,15204.81,23261.772
135,5154.219,13561.224,23261.772
136,4583.84,12892.743,23261.772
137,4175.485,12414.177,23261.772
138,4516.751,12814.135,23261.772
139,4232.954,12481.561,23261.772
140,3587.215,11645.738,23261.772
141,3447.468,11325.57,23261.772
142,3492.574,11428.903,23261.772
143,3495.992,11436.793,23261.772
144,1606.287,7108.144,22241.392
145,12973.502,34006.118,58154.43
146,7771.561,26373.502,58154.43
147,6292.321,22985.148,58154.43
148,4618.144,19150.169,56412.996
149,6063.713,22461.519,58154.43
150,16631.941,38293.671,58154.43
151,39754.557,43615.823,58154.43
152,43615.823,43615.823,58154.43
153,43615.823,43615.823,58154.43
