,2010,2015,2020
COA_SUB_HC,0.0,0.0,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,2200.0,2200.0,1600.0
COA_SC_LN,500.0,500.0,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,1500.0,1200.0,2600.0
GAS_CC,600.0,1200.0,1900.0
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,4745.0,4745.0,5245.0
REW_HYD_LG,3000.0,3000.0,2000.0
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,350.0,350.0,350.0
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,0.0,0.0,0.0
REW_WND_ON_3035,1800.0,2088.0,1830.0
REW_WND_ON_3540,0.0,1764.0,1764.0
REW_WND_ON_40UP,0.0,1764.0,1764.0
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,600.0,600.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,2200.0,2500.0,2500.0
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,300.0,300.0,300.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,500.0,500.0,500.0
BIO_CHP,180.0,180.0,240.0
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,750.0,750.0,450.0
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,150.0,150.0,150.0
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,200.0
OIL_ST,460.0,390.0,390.0
