,2010,2015,2020
COA_SUB_HC,0.0,0.0,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,59.4,59.4,43.2
COA_SC_LN,15.5,15.5,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,28.5,22.8,67.6
GAS_CC,9.6,19.2,38.411
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,332.15,332.15,384.4
REW_HYD_LG,87.0,87.0,58.0
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,16.8,16.8,16.8
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,0.0,0.0,0.0
REW_WND_ON_3035,46.8,53.483,45.47
REW_WND_ON_3540,0.0,40.934,40.934
REW_WND_ON_40UP,0.0,40.934,40.934
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,75.6,75.6
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,41.8,47.5,47.5
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,12.3,12.3,12.3
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,20.5,20.5,20.5
BIO_CHP,9.18,9.18,12.24
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,30.0,30.0,18.0
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,3.45,3.45,3.45
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,11.142
OIL_ST,36.8,31.2,31.2
