,2010,2015,2020
COA_SUB_HC,0.0,0.0,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,748.468,394.304,330.373
COA_SC_LN,246.368,138.447,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,121.879,84.016,447.455
GAS_CC,78.979,322.038,792.809
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,1994.724,1970.342,2229.16
REW_HYD_LG,413.829,413.829,275.886
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,78.413,78.413,78.413
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,0.0,0.0,0.0
REW_WND_ON_3035,269.086,305.072,256.257
REW_WND_ON_3540,0.0,221.029,221.029
REW_WND_ON_40UP,0.0,221.761,221.761
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,256.752,256.752
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,387.043,439.8,439.8
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,51.53,51.53,51.53
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,100.982,100.982,100.982
BIO_CHP,230.38,341.928,608.111
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,500.671,693.286,509.243
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,118.174,118.795,142.229
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,168.999
OIL_ST,96.647,81.94,81.94
