,2010,2015,2020
1,144242.15,169045.5,193849.5
2,137867.6,161575.05,185283.15
3,134044.95,157095.9,180146.2
4,129766.65,152080.5,174395.65
5,131239.55,153806.9,176374.9
6,142397.45,166883.6,191370.4
7,160955.6,188633.25,216310.9
8,180952.2,212069.65,243185.15
9,188428.5,220830.35,253232.2
10,192102.3,225136.6,258169.6
11,194780.3,228274.15,261768.0
12,195807.3,229477.95,263147.95
13,190555.3,223323.1,256090.9
14,188548.75,220972.05,253394.05
15,186239.95,218264.8,250290.95
16,185004.95,216818.55,248631.5
17,189075.9,221588.9,254101.25
18,198969.55,233184.9,267397.65
19,197622.75,231606.05,265588.05
20,189331.35,221888.55,254445.1
21,176424.95,206763.05,237101.15
22,163528.95,191649.9,219768.9
23,164257.6,192503.35,220748.45
24,153067.2,179388.3,205710.05
25,55157.18,64641.46,74126.52
26,52472.16,61495.2,70517.98
27,50772.54,59503.08,68234.14
28,48659.78,57027.36,65394.94
29,48259.64,56558.32,64857.26
30,49527.14,58043.44,66560.26
31,50197.68,58829.68,67461.68
32,54732.6,64144.34,73555.82
33,58481.8,68538.34,78594.88
34,62205.78,72902.7,83599.36
35,64673.96,75795.46,86916.44
36,66081.08,77444.12,88807.68
37,63867.44,74850.36,85833.02
38,62403.64,73134.62,83865.6
39,61171.5,71690.58,82209.66
40,60836.62,71298.24,81759.6
41,62807.16,73607.3,84407.7
42,67094.82,78632.32,90169.82
43,67393.04,78982.02,90570.74
44,65525.98,76793.86,88061.74
45,62324.86,73041.8,83759.26
46,58629.74,68711.76,78793.78
47,60695.44,71132.62,81569.8
48,57265.52,67112.76,76960.26
49,122114.85,143112.45,164111.35
50,114820.55,134565.6,154310.0
51,111813.65,131041.3,150268.3
52,108832.75,127547.55,146262.35
53,111655.7,130855.4,150055.75
54,124959.9,146448.25,167935.95
55,144875.25,169788.45,194700.35
56,161139.55,188849.05,216557.9
57,168606.1,197599.35,226593.25
58,170547.0,199873.05,229200.4
59,173187.95,202969.0,232750.7
60,175533.15,205716.55,235901.25
61,169918.45,199137.9,228356.7
62,167703.9,196542.45,225380.35
63,164900.45,193256.7,221612.3
64,162136.0,190016.45,217897.55
65,158900.95,186225.0,213549.7
66,157550.9,184642.9,211735.55
67,156621.4,183554.15,210486.25
68,157036.75,184041.0,211044.6
69,157303.25,184353.65,211402.75
70,146806.4,172051.75,197295.8
71,143654.55,168357.8,193060.4
