,2010,2015,2020
1,2219.11,2600.7,2982.3
2,2121.04,2485.77,2850.51
3,2062.23,2416.86,2771.48
4,1996.41,2339.7,2683.01
5,2019.07,2366.26,2713.46
6,2190.73,2567.44,2944.16
7,2476.24,2902.05,3327.86
8,2783.88,3262.61,3741.31
9,2898.9,3397.39,3895.88
10,2955.42,3463.64,3971.84
11,2996.62,3511.91,4027.2
12,3012.42,3530.43,4048.43
13,2931.62,3435.74,3939.86
14,2900.75,3399.57,3898.37
15,2865.23,3357.92,3850.63
16,2846.23,3335.67,3825.1
17,2908.86,3409.06,3909.25
18,3061.07,3587.46,4113.81
19,3040.35,3563.17,4085.97
20,2912.79,3413.67,3914.54
21,2714.23,3180.97,3647.71
22,2515.83,2948.46,3381.06
23,2527.04,2961.59,3396.13
24,2354.88,2759.82,3164.77
25,2121.43,2486.21,2851.02
26,2018.16,2365.2,2712.23
27,1952.79,2288.58,2624.39
28,1871.53,2193.36,2515.19
29,1856.14,2175.32,2494.51
30,1904.89,2232.44,2560.01
31,1930.68,2262.68,2594.68
32,2105.1,2467.09,2829.07
33,2249.3,2636.09,3022.88
34,2392.53,2803.95,3215.36
35,2487.46,2915.21,3342.94
36,2541.58,2978.62,3415.68
37,2456.44,2878.86,3301.27
38,2400.14,2812.87,3225.6
39,2352.75,2757.33,3161.91
40,2339.87,2742.24,3144.6
41,2415.66,2831.05,3246.45
42,2580.57,3024.32,3468.07
43,2592.04,3037.77,3483.49
44,2520.23,2953.61,3386.99
45,2397.11,2809.3,3221.51
46,2254.99,2642.76,3030.53
47,2334.44,2735.87,3137.3
48,2202.52,2581.26,2960.01
49,1878.69,2201.73,2524.79
50,1766.47,2070.24,2374.0
51,1720.21,2016.02,2311.82
52,1674.35,1962.27,2250.19
53,1717.78,2013.16,2308.55
54,1922.46,2253.05,2583.63
55,2228.85,2612.13,2995.39
56,2479.07,2905.37,3331.66
57,2593.94,3039.99,3486.05
58,2623.8,3074.97,3526.16
59,2664.43,3122.6,3580.78
60,2700.51,3164.87,3629.25
61,2614.13,3063.66,3513.18
62,2580.06,3023.73,3467.39
63,2536.93,2973.18,3409.42
64,2494.4,2923.33,3352.27
65,2444.63,2865.0,3285.38
66,2423.86,2840.66,3257.47
67,2409.56,2823.91,3238.25
68,2415.95,2831.4,3246.84
69,2420.05,2836.21,3252.35
70,2258.56,2646.95,3035.32
71,2210.07,2590.12,2970.16
72,2022.26,2370.01,2717.76
73,1806.61,2117.27,2427.93
74,1682.1,1971.36,2260.61
75,1631.86,1912.47,2193.08
76,1562.71,1831.42,2100.14
77,1557.05,1824.8,2092.54
78,1615.13,1892.87,2170.6
79,1664.88,1951.18,2237.46
80,1807.56,2118.38,2429.2
81,1944.6,2279.0,2613.4
82,2051.92,2404.77,2757.61
83,2117.09,2481.14,2845.19
84,2171.15,2544.49,2917.85
85,2070.39,2426.41,2782.44
86,1986.23,2327.77,2669.33
87,1921.53,2251.95,2582.39
88,1882.01,2205.65,2529.27
89,1867.26,2188.35,2509.43
90,1891.64,2216.92,2542.19
91,1926.58,2257.88,2589.17
92,1988.18,2330.07,2671.96
93,2045.9,2397.71,2749.52
94,1939.08,2272.53,2605.97
95,1964.69,2302.55,2640.4
96,1819.04,2131.84,2444.65
97,1787.14,2094.46,2401.77
98,1671.49,1958.93,2246.35
99,1624.85,1904.26,2183.67
100,1572.94,1843.42,2113.9
101,1603.23,1878.93,2154.62
102,1752.97,2054.41,2355.86
103,2072.63,2429.04,2785.44
104,2345.26,2748.54,3151.83
105,2496.99,2926.37,3355.76
106,2571.31,3013.48,3455.63
107,2645.56,3100.48,3555.4
108,2706.71,3172.16,3637.6
109,2625.46,3076.93,3528.4
110,2597.35,3043.99,3490.63
111,2550.22,2988.75,3427.28
112,2509.84,2941.42,3373.02
113,2458.77,2881.57,3304.38
114,2430.21,2848.11,3266.0
115,2368.41,2775.68,3182.93
116,2279.78,2671.81,3063.85
117,2196.44,2574.13,2951.83
118,2168.29,2541.15,2914.0
119,2109.94,2472.77,2835.58
120,1925.69,2256.82,2587.96
121,1719.36,2015.02,2310.67
122,1597.94,1872.72,2147.5
123,1538.2,1802.71,2067.22
124,1472.58,1725.8,1979.04
125,1452.46,1702.24,1951.99
126,1471.5,1724.54,1977.57
127,1561.69,1830.23,2098.78
128,1705.1,1998.3,2291.51
129,1860.07,2179.93,2499.78
130,1978.34,2318.55,2658.74
131,2059.51,2413.67,2767.81
132,2119.28,2483.72,2848.14
133,2045.72,2397.49,2749.27
134,1984.43,2325.67,2666.9
135,1929.09,2260.81,2592.54
136,1906.58,2234.43,2562.27
137,1890.48,2215.55,2540.64
138,1903.93,2231.33,2558.73
139,1892.74,2218.22,2543.68
140,1864.59,2185.22,2505.86
141,1853.82,2172.6,2491.38
142,1857.3,2176.67,2496.05
143,1857.57,2176.98,2496.41
144,1711.82,2006.18,2300.55
145,1930.47,2262.43,2594.39
146,1827.67,2141.95,2456.24
147,1782.06,2088.49,2394.93
148,1730.4,2027.95,2325.51
149,1775.0,2080.22,2385.45
150,1988.21,2330.1,2671.99
151,2365.83,2772.65,3179.46
152,2655.62,3112.28,3568.92
153,2724.83,3198.53,3667.82
154,2743.26,3214.99,3686.71
155,2776.27,3253.67,3731.05
156,2755.25,3280.01,3761.26
157,2706.4,3171.79,3637.18
158,2661.62,3119.31,3577.0
159,2611.72,3060.83,3509.93
160,2568.92,3010.66,3452.41
161,2542.6,2979.83,3417.05
162,2584.65,3029.11,3473.55
163,2714.11,3180.82,3647.53
164,2708.1,3184.2,3651.4
165,2552.14,2991.01,3429.86
166,2325.99,2725.96,3125.93
167,2268.4,2658.47,3048.55
168,2089.36,2448.65,2807.92
169,1864.47,2185.07,2505.67
170,1746.21,2046.48,2346.77
171,1686.41,1976.4,2266.4
172,1610.62,1887.58,2164.54
173,1605.88,1882.03,2158.17
174,1670.31,1957.54,2244.76
175,1769.43,2073.7,2377.97
176,1916.74,2246.34,2575.94
177,2049.49,2401.9,2754.34
178,2145.48,2514.42,2883.35
179,2219.26,2600.87,2982.51
180,2261.28,2650.12,3038.97
181,2160.99,2532.6,2904.19
182,2077.59,2434.85,2792.11
183,2020.32,2367.73,2715.14
184,1992.99,2335.71,2678.42
185,2002.85,2347.26,2691.67
186,2094.81,2455.03,2815.27
187,2222.81,2605.05,2987.28
188,2245.35,2631.46,3017.55
189,2136.66,2504.09,2871.5
190,1990.85,2333.19,2675.53
191,2010.77,2356.55,2702.31
192,1871.22,2192.99,2514.76
