REW_HYD_PS,2010,2015,2020
1,-95.0,-95.0,-95.0
2,-95.0,-95.0,-95.0
3,-95.0,-95.0,-95.0
4,-95.0,-95.0,-95.0
5,-95.0,-95.0,-95.0
6,-95.0,-95.0,-95.0
7,-47.5,-47.5,-47.5
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,-95.0,-95.0,-95.0
25,-63.428,0.0,0.0
26,-95.0,-95.0,-95.0
27,-95.0,-95.0,-95.0
28,-95.0,-95.0,-95.0
29,-95.0,-95.0,-95.0
30,-95.0,-95.0,-95.0
31,-95.0,-95.0,-95.0
32,-71.955,0.0,-86.245
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,-47.5,0.0
39,-7.117,-95.0,-56.255
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,-95.0,-95.0,-95.0
50,-95.0,-95.0,-95.0
51,-95.0,-95.0,-95.0
52,-95.0,-95.0,-95.0
53,-95.0,-95.0,-95.0
54,-95.0,-95.0,-95.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,-6.046,0.0
63,0.0,-22.608,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,-0.812,0.0,0.0
72,-95.0,-95.0,-95.0
73,0.0,0.0,0.0
74,-75.588,0.0,0.0
75,-95.0,0.0,-95.0
76,-95.0,-95.0,-95.0
77,-95.0,-95.0,-95.0
78,-95.0,-53.944,-95.0
79,-85.303,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,-88.556,0.0
86,0.0,-95.0,-95.0
87,-76.568,-95.0,-95.0
88,-31.599,-95.0,-47.5
89,-63.443,-95.0,-95.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,-95.0,-95.0,-95.0
98,-95.0,-95.0,-95.0
99,-95.0,-95.0,-95.0
100,-95.0,-95.0,-95.0
101,-95.0,-95.0,-95.0
102,-95.0,-95.0,-95.0
103,-44.137,0.0,-26.04
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,-3.363,0.0,-10.25
120,-95.0,-95.0,-95.0
121,-6.086,0.0,0.0
122,-91.206,0.0,-95.0
123,-95.0,-93.375,-95.0
124,-95.0,-95.0,-95.0
125,-95.0,-95.0,-95.0
126,-95.0,-95.0,-95.0
127,-95.0,-70.5,-95.0
128,-28.212,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,-74.635,0.0
135,-11.532,-95.0,-76.654
136,-11.383,-91.033,-65.846
137,0.0,-2.957,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,-14.128,0.0,0.0
145,-95.0,-95.0,-95.0
146,-95.0,-95.0,-95.0
147,-95.0,-95.0,-95.0
148,-95.0,-95.0,-95.0
149,-95.0,-95.0,-95.0
150,-95.0,-95.0,-95.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,-5.344,0.0
160,0.0,-3.451,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,-47.5,-32.965,-47.5
168,-95.0,-95.0,-95.0
169,-10.094,0.0,0.0
170,-95.0,-47.5,-95.0
171,-95.0,-95.0,-95.0
172,-95.0,-95.0,-95.0
173,-95.0,-95.0,-95.0
174,-95.0,-95.0,-95.0
175,-95.0,0.0,-47.5
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,-95.0,0.0
183,-65.729,-95.0,-95.0
184,-66.677,-95.0,-95.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
