,2010,2015,2020
1,1332.46,1748.14,1733.82
2,1332.46,1748.14,1733.82
3,1332.46,1748.14,1733.82
4,1332.46,1748.14,1733.82
5,1332.46,1748.14,1733.82
6,1332.46,1748.14,1733.82
7,1332.46,1748.14,1733.82
8,1332.46,1748.14,1733.82
9,1332.46,1748.14,1733.82
10,1332.46,1748.14,1733.82
11,1332.46,1748.14,1733.82
12,1332.46,1748.14,1733.82
13,1332.46,1748.14,1733.82
14,1332.46,1748.14,1733.82
15,1332.46,1748.14,1733.82
16,1332.46,1748.14,1733.82
17,1332.46,1748.14,1733.82
18,1332.46,1748.14,1733.82
19,1332.46,1748.14,1733.82
20,1332.46,1748.14,1733.82
21,1332.46,1748.14,1733.82
22,1332.46,1748.14,1733.82
23,1332.46,1748.14,1733.82
24,1332.46,1748.14,1733.82
25,1421.25,1852.04,1825.57
26,1421.25,1852.04,1825.57
27,1421.25,1852.04,1825.57
28,1421.25,1852.04,1825.57
29,1421.25,1852.04,1825.57
30,1421.25,1852.04,1825.57
31,1421.25,1852.04,1825.57
32,1421.25,1852.04,1825.57
33,1421.25,1852.04,1825.57
34,1421.25,1852.04,1825.57
35,1421.25,1852.04,1825.57
36,1421.25,1852.04,1825.57
37,1421.25,1852.04,1825.57
38,1421.25,1852.04,1825.57
39,1421.25,1852.04,1825.57
40,1421.25,1852.04,1825.57
41,1421.25,1852.04,1825.57
42,1421.25,1852.04,1825.57
43,1421.25,1852.04,1825.57
44,1421.25,1852.04,1825.57
45,1421.25,1852.04,1825.57
46,1421.25,1852.04,1825.57
47,1421.25,1852.04,1825.57
48,1421.25,1852.04,1825.57
49,1414.61,1909.48,1888.57
50,1414.61,1909.48,1888.57
51,1414.61,1909.48,1888.57
52,1414.61,1909.48,1888.57
53,1414.61,1909.48,1888.57
54,1414.61,1909.48,1888.57
55,1414.61,1909.48,1888.57
56,1414.61,1909.48,1888.57
57,1414.61,1909.48,1888.57
58,1414.61,1909.48,1888.57
59,1414.61,1909.48,1888.57
60,1414.61,1909.48,1888.57
61,1414.61,1909.48,1888.57
62,1414.61,1909.48,1888.57
63,1414.61,1909.48,1888.57
64,1414.61,1909.48,1888.57
65,1414.61,1909.48,1888.57
66,1414.61,1909.48,1888.57
67,1414.61,1909.48,1888.57
68,1414.61,1909.48,1888.57
69,1414.61,1909.48,1888.57
70,1414.61,1909.48,1888.57
71,1414.61,1909.48,1888.57
72,1414.61,1909.48,1888.57
73,1843.11,1944.81,1895.24
74,1843.11,1944.81,1895.24
75,1843.11,1944.81,1895.24
76,1843.11,1944.81,1895.24
77,1843.11,1944.81,1895.24
78,1843.11,1944.81,1895.24
79,1843.11,1944.81,1895.24
80,1843.11,1944.81,1895.24
81,1843.11,1944.81,1895.24
82,1843.11,1944.81,1895.24
83,1843.11,1944.81,1895.24
84,1843.11,1944.81,1895.24
85,1843.11,1944.81,1895.24
86,1843.11,1944.81,1895.24
