,2010,2015,2020
1,356.52,424.48,483.79
2,356.52,424.48,483.79
3,356.52,424.48,483.79
4,356.52,424.48,483.79
5,356.52,424.48,483.79
6,356.52,424.48,483.79
7,356.52,424.48,483.79
8,356.52,424.48,483.79
9,356.52,424.48,483.79
10,356.52,424.48,483.79
11,356.52,424.48,483.79
12,356.52,424.48,483.79
13,356.52,424.48,483.79
14,356.52,424.48,483.79
15,356.52,424.48,483.79
16,356.52,424.48,483.79
17,356.52,424.48,483.79
18,356.52,424.48,483.79
19,356.52,424.48,483.79
20,356.52,424.48,483.79
21,356.52,424.48,483.79
22,356.52,424.48,483.79
23,356.52,424.48,483.79
24,356.52,424.48,483.79
25,309.2,360.38,410.82
26,309.2,360.38,410.82
27,309.2,360.38,410.82
28,309.2,360.38,410.82
29,309.2,360.38,410.82
30,309.2,360.38,410.82
31,309.2,360.38,410.82
32,309.2,360.38,410.82
33,309.2,360.38,410.82
34,309.2,360.38,410.82
35,309.2,360.38,410.82
36,309.2,360.38,410.82
37,309.2,360.38,410.82
38,309.2,360.38,410.82
39,309.2,360.38,410.82
40,309.2,360.38,410.82
41,309.2,360.38,410.82
42,309.2,360.38,410.82
43,309.2,360.38,410.82
44,309.2,360.38,410.82
45,309.2,360.38,410.82
46,309.2,360.38,410.82
47,309.2,360.38,410.82
48,309.2,360.38,410.82
49,312.76,372.66,436.04
50,312.76,372.66,436.04
51,312.76,372.66,436.04
52,312.76,372.66,436.04
53,312.76,372.66,436.04
54,312.76,372.66,436.04
55,312.76,372.66,436.04
56,312.76,372.66,436.04
57,312.76,372.66,436.04
58,312.76,372.66,436.04
59,312.76,372.66,436.04
60,312.76,372.66,436.04
61,312.76,372.66,436.04
62,312.76,372.66,436.04
63,312.76,372.66,436.04
64,312.76,372.66,436.04
65,312.76,372.66,436.04
66,312.76,372.66,436.04
67,312.76,372.66,436.04
68,312.76,372.66,436.04
69,312.76,372.66,436.04
70,312.76,372.66,436.04
71,312.76,372.66,436.04
72,312.76,372.66,436.04
73,257.77,315.07,344.16
74,257.77,315.07,344.16
75,257.77,315.07,344.16
76,257.77,315.07,344.16
77,257.77,315.07,344.16
78,257.77,315.07,344.16
79,257.77,315.07,344.16
80,257.77,315.07,344.16
81,257.77,315.07,344.16
82,257.77,315.07,344.16
83,257.77,315.07,344.16
84,257.77,315.07,344.16
85,257.77,315.07,344.16
86,257.77,315.07,344.16
87,257.77,315.07,344.16
88,257.77,315.07,344.16
89,257.77,315.07,344.16
90,257.77,315.07,344.16
91,257.77,315.07,344.16
92,257.77,315.07,344.16
93,257.77,315.07,344.16
94,257.77,315.07,344.16
95,257.77,315.07,344.16
96,257.77,315.07,344.16
97,315.84,385.8,426.39
98,315.84,385.8,426.39
99,315.84,385.8,426.39
100,315.84,385.8,426.39
101,315.84,385.8,426.39
102,315.84,385.8,426.39
103,315.84,385.8,426.39
104,315.84,385.8,426.39
105,315.84,385.8,426.39
106,315.84,385.8,426.39
107,315.84,385.8,426.39
108,315.84,385.8,426.39
109,315.84,385.8,426.39
110,315.84,385.8,426.39
111,315.84,385.8,426.39
112,315.84,385.8,426.39
113,315.84,385.8,426.39
114,315.84,385.8,426.39
115,315.84,385.8,426.39
116,315.84,385.8,426.39
117,315.84,385.8,426.39
118,315.84,385.8,426.39
119,315.84,385.8,426.39
120,315.84,385.8,426.39
121,257.21,305.67,346.42
122,257.21,305.67,346.42
123,257.21,305.67,346.42
124,257.21,305.67,346.42
125,257.21,305.67,346.42
126,257.21,305.67,346.42
127,257.21,305.67,346.42
128,257.21,305.67,346.42
129,257.21,305.67,346.42
130,257.21,305.67,346.42
131,257.21,305.67,346.42
132,257.21,305.67,346.42
133,257.21,305.67,346.42
134,257.21,305.67,346.42
135,257.21,305.67,346.42
136,257.21,305.67,346.42
137,257.21,305.67,346.42
138,257.21,305.67,346.42
139,257.21,305.67,346.42
140,257.21,305.67,346.42
141,257.21,305.67,346.42
142,257.21,305.67,346.42
143,257.21,305.67,346.42
144,257.21,305.67,346.42
145,336.95,395.2,455.36
146,336.95,395.2,455.36
147,336.95,395.2,455.36
148,336.95,395.2,455.36
149,336.95,395.2,455.36
150,336.95,395.2,455.36
151,336.95,395.2,455.36
152,336.95,395.2,455.36
153,336.95,395.2,455.36
154,336.95,395.2,455.36
155,336.95,395.2,455.36
156,336.95,395.2,455.36
157,336.95,395.2,455.36
158,336.95,395.2,455.36
159,336.95,395.2,455.36
160,336.95,395.2,455.36
161,336.95,395.2,455.36
162,336.95,395.2,455.36
163,336.95,395.2,455.36
164,336.95,395.2,455.36
165,336.95,395.2,455.36
166,336.95,395.2,455.36
167,336.95,395.2,455.36
168,336.95,395.2,455.36
169,272.0,324.57,355.92
170,272.0,324.57,355.92
171,272.0,324.57,355.92
172,272.0,324.57,355.92
173,272.0,324.57,355.92
174,272.0,324.57,355.92
175,272.0,324.57,355.92
176,272.0,324.57,355.92
177,272.0,324.57,355.92
178,272.0,324.57,355.92
179,272.0,324.57,355.92
180,272.0,324.57,355.92
181,272.0,324.57,355.92
182,272.0,324.57,355.92
183,272.0,324.57,355.92
184,272.0,324.57,355.92
185,272.0,324.57,355.92
186,272.0,324.57,355.92
187,272.0,324.57,355.92
188,272.0,324.57,355.92
189,272.0,324.57,355.92
190,272.0,324.57,355.92
191,272.0,324.57,355.92
192,272.0,324.57,355.92
