encrops,2010,2015,2020
1,84569.873,96924.093,111462.701
2,78356.076,96924.093,111462.701
3,74629.831,94716.962,111462.701
4,70458.861,92209.831,111462.701
5,71894.768,93076.962,111462.701
6,82771.519,96924.093,111462.701
7,96642.405,96924.093,111462.701
8,96924.093,96924.093,111462.701
9,96924.093,96924.093,111462.701
10,96924.093,96924.093,111462.701
11,96924.093,96924.093,111462.701
12,96924.093,96924.093,111462.701
13,96924.093,96924.093,111462.701
14,96924.093,96924.093,111462.701
15,96924.093,96924.093,111462.701
16,96924.093,96924.093,111462.701
17,96924.093,96924.093,111462.701
18,96924.093,96924.093,111462.701
19,96924.093,96924.093,111462.701
20,96924.093,96924.093,111462.701
21,96924.093,96924.093,111462.701
22,96924.093,96924.093,111462.701
23,96924.093,96924.093,111462.701
24,92708.144,96924.093,111462.701
25,31352.194,38769.62,44585.063
26,28734.641,37216.836,44585.063
27,27078.143,35588.439,44585.063
28,23890.633,33174.937,44585.063
29,23455.106,32717.932,44585.063
30,25208.017,34165.823,44585.063
31,26227.004,34932.236,44585.063
32,30938.101,38538.017,44585.063
33,34592.658,38769.62,44585.063
34,37571.097,38769.62,44585.063
35,38769.62,38769.62,44585.063
36,38769.62,38769.62,44585.063
37,38400.084,38769.62,44585.063
38,37670.0,38769.62,44585.063
39,37055.57,38769.62,44585.063
40,36888.397,38769.62,44585.063
41,37871.266,38769.62,44585.063
42,38769.62,38769.62,44585.063
43,38769.62,38769.62,44585.063
44,38769.62,38769.62,44585.063
45,37630.717,38769.62,44585.063
46,34736.751,38769.62,44585.063
47,36750.422,38769.62,44585.063
48,33407.257,38769.62,44585.063
49,60433.291,83468.945,111462.701
50,52560.042,75136.54,110378.987
51,49424.177,71701.097,106164.599
52,46316.582,68296.667,101988.312
53,49258.481,71519.536,105941.941
54,64754.852,86719.409,111462.701
55,85185.823,96924.093,111462.701
56,96733.671,96924.093,111462.701
57,96924.093,96924.093,111462.701
58,96924.093,96924.093,111462.701
59,96924.093,96924.093,111462.701
60,96924.093,96924.093,111462.701
61,96924.093,96924.093,111462.701
62,96924.093,96924.093,111462.701
63,96924.093,96924.093,111462.701
64,96924.093,96924.093,111462.701
65,95617.595,96924.093,111462.701
66,94944.473,96924.093,111462.701
67,94480.506,96924.093,111462.701
68,94687.637,96924.093,111462.701
69,94820.084,96924.093,111462.701
70,87068.143,96924.093,111462.701
71,83996.625,96924.093,111462.701
72,72096.582,93198.017,111462.701
73,22112.236,31246.793,44585.063
74,18736.582,27548.65,41077.468
75,17037.932,25506.835,39246.456
76,14512.405,22099.24,35602.321
77,14352.236,21825.612,35194.388
78,16347.975,24732.911,38441.308
79,18269.367,27035.021,40449.578
80,22137.637,31274.599,44585.063
81,26776.498,35345.527,44585.063
82,29590.675,37730.127,44585.063
83,31241.772,38720.127,44585.063
84,32612.447,38769.62,44585.063
85,30058.734,38010.76,44585.063
86,27925.612,36581.603,44585.063
87,25865.738,34660.549,44585.063
88,24304.684,33486.371,44585.063
89,23756.203,33047.848,44585.063
90,24684.43,33772.025,44585.063
91,26064.008,34809.662,44585.063
92,27975.19,36639.747,44585.063
93,29437.553,37638.312,44585.063
94,26558.017,35181.266,44585.063
95,27379.916,35942.068,44585.063
96,22449.114,31615.823,44585.063
97,53961.266,76671.603,111462.701
98,46121.519,68082.996,101726.118
99,41873.798,62958.355,97394.684
100,37004.388,56484.473,90504.937
101,39644.219,60423.586,94526.709
102,51645.527,74134.641,109149.916
103,75288.734,95112.068,111462.701
104,92395.865,96924.093,111462.701
105,96924.093,96924.093,111462.701
106,96924.093,96924.093,111462.701
107,96924.093,96924.093,111462.701
108,96924.093,96924.093,111462.701
109,96924.093,96924.093,111462.701
110,96924.093,96924.093,111462.701
111,96924.093,96924.093,111462.701
112,96924.093,96924.093,111462.701
113,96075.57,96924.093,111462.701
114,95149.62,96924.093,111462.701
115,93146.245,96924.093,111462.701
116,88414.22,96924.093,111462.701
117,83131.899,96924.093,111462.701
118,81349.578,96924.093,111462.701
119,77651.519,96528.776,111462.701
120,65074.135,86959.536,111462.701
121,19746.414,28654.979,42434.641
122,15638.734,23835.823,37528.987
123,13819.494,20915.021,33837.004
124,11962.954,17741.983,29106.751
125,11393.671,16769.029,27656.329
126,11931.899,17688.945,29027.679
127,14484.051,22050.802,35530.042
128,19359.831,28231.435,41915.063
129,23561.224,32834.219,44585.063
130,27725.612,36347.215,44585.063
131,29782.785,37845.317,44585.063
132,31297.342,38753.46,44585.063
133,29432.869,37635.527,44585.063
134,27879.916,36528.101,44585.063
135,26163.544,34884.515,44585.063
136,25274.81,34216.034,44585.063
137,24638.523,33737.468,44585.063
138,25170.253,34137.426,44585.063
139,24728.101,33804.852,44585.063
140,23684.304,32969.03,44585.063
141,23392.068,32648.861,44585.063
142,23486.414,32752.194,44585.063
143,23493.544,32760.084,44585.063
144,19542.363,28431.435,42160.38
145,65545.949,87314.388,111462.701
146,56709.03,79681.772,111462.701
147,53616.076,76293.418,111289.62
148,50115.485,72458.439,107093.671
149,53138.101,75769.789,110954.515
150,69940.211,91601.941,111462.701
151,93062.827,96924.093,111462.701
152,96924.093,96924.093,111462.701
153,96924.093,96924.093,111462.701
154,96924.093,96924.093,111462.701
155,96924.093,96924.093,111462.701
156,96924.093,96924.093,111462.701
157,96924.093,96924.093,111462.701
158,96924.093,96924.093,111462.701
159,96924.093,96924.093,111462.701
160,96924.093,96924.093,111462.701
161,96924.093,96924.093,111462.701
162,96924.093,96924.093,111462.701
163,96924.093,96924.093,111462.701
164,96924.093,96924.093,111462.701
165,96924.093,96924.093,111462.701
166,91341.435,96924.093,111462.701
167,87692.194,96924.093,111462.701
168,76348.144,95747.257,111462.701
169,23680.295,32964.641,44585.063
170,20474.937,29453.08,43413.713
171,18853.333,27676.582,41234.388
172,16162.574,24524.937,38202.869
173,15965.949,24304.43,37949.916
174,18416.793,27198.312,40647.722
175,21104.388,30142.658,44259.62
176,25675.823,34517.722,44585.063
177,29529.24,37693.291,44585.063
178,31961.308,38769.62,44585.063
179,33831.73,38769.62,44585.063
180,34896.329,38769.62,44585.063
181,32354.684,38769.62,44585.063
182,30240.97,38120.042,44585.063
183,28789.831,37249.958,44585.063
184,28097.047,36782.574,44585.063
185,28347.257,36984.557,44585.063
186,30677.511,38381.814,44585.063
187,33921.435,38769.62,44585.063
188,34492.574,38769.62,44585.063
189,31737.806,38769.62,44585.063
190,28042.7,36718.861,44585.063
191,28547.426,37104.557,44585.063
192,23878.523,33165.865,44585.063
hardcoal,2010,2015,2020
1,299055.615,245006.203,129050.506
2,294320.232,177444.438,129050.506
3,283464.291,177444.438,129050.506
4,299055.615,177444.438,129050.506
5,299055.615,177444.438,129050.506
