,2010,2015,2020
1,149358.3,160656.6,169354.9
2,145897.05,160656.6,169354.9
3,143822.25,159427.45,169354.9
4,141498.5,158031.25,169354.9
5,142298.65,158514.2,169354.9
6,148356.65,160656.6,169354.9
7,156082.55,160656.6,169354.9
8,156239.2,160656.6,169354.9
9,156239.2,160656.6,169354.9
10,156239.2,160656.6,169354.9
11,156239.2,160656.6,169354.9
12,156239.2,160656.6,169354.9
13,156239.2,160656.6,169354.9
14,156239.2,160656.6,169354.9
15,156239.2,160656.6,169354.9
16,156239.2,160656.6,169354.9
17,156239.2,160656.6,169354.9
18,156239.2,160656.6,169354.9
19,156239.2,160656.6,169354.9
20,156239.2,160656.6,169354.9
21,156239.2,160656.6,169354.9
22,156239.2,160656.6,169354.9
23,156239.2,160656.6,169354.9
24,153891.4,160656.6,169354.9
25,58364.54,64262.64,67741.96
26,56906.46,63397.88,67741.96
27,55983.98,62491.0,67741.96
28,54208.7,61146.8,67741.96
29,53870.18,60892.26,67741.96
30,54942.42,61698.52,67741.96
31,55510.0,62125.44,67741.96
32,58133.66,64133.68,67741.96
33,60169.46,64262.64,67741.96
34,61828.26,64262.64,67741.96
35,62495.68,64262.64,67741.96
36,62495.68,64262.64,67741.96
37,62290.02,64262.64,67741.96
38,61883.38,64262.64,67741.96
39,61540.96,64262.64,67741.96
40,61448.14,64262.64,67741.96
41,61995.44,64262.64,67741.96
42,62495.68,64262.64,67741.96
43,62495.68,64262.64,67741.96
44,62495.68,64262.64,67741.96
45,61861.54,64262.64,67741.96
46,60249.8,64262.64,67741.96
47,61371.18,64262.64,67741.96
48,59509.06,64262.64,67741.96
49,135915.0,153162.75,169354.9
50,129744.55,148521.75,168752.35
51,127200.45,146608.15,166403.9
52,124679.75,144712.1,164078.2
53,127066.55,146506.75,166280.4
54,138321.95,154973.0,169354.9
55,149702.15,160656.6,169354.9
56,156133.25,160656.6,169354.9
57,156239.2,160656.6,169354.9
58,156239.2,160656.6,169354.9
59,156239.2,160656.6,169354.9
60,156239.2,160656.6,169354.9
61,156239.2,160656.6,169354.9
62,156239.2,160656.6,169354.9
63,156239.2,160656.6,169354.9
64,156239.2,160656.6,169354.9
65,155511.85,160656.6,169354.9
66,155136.8,160656.6,169354.9
67,154878.1,160656.6,169354.9
68,154993.8,160656.6,169354.9
69,155067.25,160656.6,169354.9
70,150749.95,160656.6,169354.9
71,149039.15,160656.6,169354.9
72,142411.1,158581.8,169354.9
73,52780.52,60072.48,67741.96
74,50042.2,58012.76,65788.58
75,48749.48,56875.78,64768.6
76,46683.78,54711.28,62738.78
77,46515.04,54513.16,62511.54
78,48250.02,56444.7,64320.36
79,49663.12,57727.02,65438.88
80,52801.32,60088.08,67741.96
81,55816.02,62355.8,67741.96
82,57383.3,63683.88,67741.96
83,58302.92,64235.08,67741.96
84,59066.28,64262.64,67741.96
85,57643.82,63840.14,67741.96
86,56456.14,63044.28,67741.96
87,55308.76,61974.12,67741.96
88,54439.06,61319.96,67741.96
89,54114.58,61075.82,67741.96
90,54650.7,61479.08,67741.96
91,55419.0,62057.06,67741.96
92,56483.44,63076.52,67741.96
93,57297.76,63632.66,67741.96
94,55694.34,62264.28,67741.96
95,56151.94,62688.08,67741.96
96,53054.04,60278.14,67741.96
97,130882.05,149376.5,169354.9
98,124521.15,144593.15,163931.95
99,121351.75,141739.0,161519.8
100,117473.2,137673.9,157682.2
101,119737.8,140327.2,159922.75
102,129002.25,147963.4,168067.25
103,144188.85,159647.8,169354.9
104,153717.2,160656.6,169354.9
105,156239.2,160656.6,169354.9
106,156239.2,160656.6,169354.9
107,156239.2,160656.6,169354.9
108,156239.2,160656.6,169354.9
109,156239.2,160656.6,169354.9
110,156239.2,160656.6,169354.9
111,156239.2,160656.6,169354.9
112,156239.2,160656.6,169354.9
113,155766.65,160656.6,169354.9
114,155251.2,160656.6,169354.9
115,154135.15,160656.6,169354.9
116,151500.05,160656.6,169354.9
117,148557.5,160656.6,169354.9
118,147564.95,160656.6,169354.9
119,145505.1,160436.9,169354.9
120,138500.05,155106.9,169354.9
121,50861.46,58629.22,66544.4
122,47736.52,55944.98,63812.06
123,45952.4,53854.06,61755.72
124,43992.0,51556.7,59120.88
125,43390.88,50851.84,58313.32
126,43958.72,51518.22,59077.2
127,46653.88,54676.7,62698.48
128,50547.9,58393.4,66255.02
129,53956.5,60956.74,67741.96
130,56344.34,62913.76,67741.96
131,57490.42,63747.84,67741.96
132,58333.86,64253.8,67741.96
133,57295.42,63631.1,67741.96
134,56430.66,63014.38,67741.96
135,55474.64,62098.92,67741.96
136,54979.6,61726.6,67741.96
137,54625.48,61459.84,67741.96
138,54921.62,61682.92,67741.96
139,54675.14,61497.54,67741.96
140,54056.34,61031.88,67741.96
141,53818.96,60853.52,67741.96
142,53895.4,60910.98,67741.96
143,53901.38,60915.66,67741.96
144,50695.84,58504.68,66391.52
145,138762.65,155304.5,169354.9
146,133110.9,151052.85,169354.9
147,130601.25,149165.9,169258.7
148,127761.4,147030.0,166921.95
149,130213.85,148874.05,169072.15
150,141209.9,157693.25,169354.9
151,154089.0,160656.6,169354.9
152,156239.2,160656.6,169354.9
153,156239.2,160656.6,169354.9
154,156239.2,160656.6,169354.9
155,156239.2,160656.6,169354.9
156,156239.2,160656.6,169354.9
157,156239.2,160656.6,169354.9
158,156239.2,160656.6,169354.9
159,156239.2,160656.6,169354.9
160,156239.2,160656.6,169354.9
161,156239.2,160656.6,169354.9
162,156239.2,160656.6,169354.9
163,156239.2,160656.6,169354.9
164,156239.2,160656.6,169354.9
165,156239.2,160656.6,169354.9
166,153130.25,160656.6,169354.9
167,151097.7,160656.6,169354.9
168,144779.05,160001.4,169354.9
169,54052.96,61029.54,67741.96
170,51452.44,59073.56,67089.88
171,50136.84,58084.26,65875.94
172,48115.86,56328.74,64187.5
173,47973.38,56206.02,64046.58
174,49782.72,57817.76,65549.12
175,51963.34,59457.58,67560.74
176,55202.94,61894.56,67741.96
177,57348.98,63663.34,67741.96
178,58703.84,64262.64,67741.96
179,59745.66,64262.64,67741.96
180,60338.72,64262.64,67741.96
181,58922.76,64262.64,67741.96
182,57745.48,63900.98,67741.96
183,56937.4,63416.34,67741.96
184,56551.56,63156.08,67741.96
185,56690.92,63268.4,67741.96
186,57988.58,64046.84,67741.96
187,59795.58,64262.64,67741.96
188,60113.56,64262.64,67741.96
189,58579.3,64262.64,67741.96
190,56521.14,63120.46,67741.96
191,56802.2,63335.22,67741.96
192,54201.68,61141.6,67741.96
