,2010,2015,2020
1,2297.82,2471.64,2605.46
2,2244.57,2471.64,2605.46
3,2212.65,2452.73,2605.46
4,2176.9,2431.25,2605.46
5,2189.21,2438.68,2605.46
6,2282.41,2471.64,2605.46
7,2401.27,2471.64,2605.46
8,2403.68,2471.64,2605.46
9,2403.68,2471.64,2605.46
10,2403.68,2471.64,2605.46
11,2403.68,2471.64,2605.46
12,2403.68,2471.64,2605.46
13,2403.68,2471.64,2605.46
14,2403.68,2471.64,2605.46
15,2403.68,2471.64,2605.46
16,2403.68,2471.64,2605.46
17,2403.68,2471.64,2605.46
18,2403.68,2471.64,2605.46
19,2403.68,2471.64,2605.46
20,2403.68,2471.64,2605.46
21,2403.68,2471.64,2605.46
22,2403.68,2471.64,2605.46
23,2403.68,2471.64,2605.46
24,2367.56,2471.64,2605.46
25,2244.79,2471.64,2605.46
26,2188.71,2438.38,2605.46
27,2153.23,2403.5,2605.46
28,2084.95,2351.8,2605.46
29,2071.93,2342.01,2605.46
30,2113.17,2373.02,2605.46
31,2135.0,2389.44,2605.46
32,2235.91,2466.68,2605.46
33,2314.21,2471.64,2605.46
34,2378.01,2471.64,2605.46
35,2403.68,2471.64,2605.46
36,2403.68,2471.64,2605.46
37,2395.77,2471.64,2605.46
38,2380.13,2471.64,2605.46
39,2366.96,2471.64,2605.46
40,2363.39,2471.64,2605.46
41,2384.44,2471.64,2605.46
42,2403.68,2471.64,2605.46
43,2403.68,2471.64,2605.46
44,2403.68,2471.64,2605.46
45,2379.29,2471.64,2605.46
46,2317.3,2471.64,2605.46
47,2360.43,2471.64,2605.46
48,2288.81,2471.64,2605.46
49,2091.0,2356.35,2605.46
50,1996.07,2284.95,2596.19
51,1956.93,2255.51,2560.06
52,1918.15,2226.34,2524.28
53,1954.87,2253.95,2558.16
54,2128.03,2384.2,2605.46
55,2303.11,2471.64,2605.46
56,2402.05,2471.64,2605.46
57,2403.68,2471.64,2605.46
58,2403.68,2471.64,2605.46
59,2403.68,2471.64,2605.46
60,2403.68,2471.64,2605.46
61,2403.68,2471.64,2605.46
62,2403.68,2471.64,2605.46
63,2403.68,2471.64,2605.46
64,2403.68,2471.64,2605.46
65,2392.49,2471.64,2605.46
66,2386.72,2471.64,2605.46
67,2382.74,2471.64,2605.46
68,2384.52,2471.64,2605.46
69,2385.65,2471.64,2605.46
70,2319.23,2471.64,2605.46
71,2292.91,2471.64,2605.46
72,2190.94,2439.72,2605.46
73,2030.02,2310.48,2605.46
74,1924.7,2231.26,2530.33
75,1874.98,2187.53,2491.1
76,1795.53,2104.28,2413.03
77,1789.04,2096.66,2404.29
78,1855.77,2170.95,2473.86
79,1910.12,2220.27,2516.88
80,2030.82,2311.08,2605.46
81,2146.77,2398.3,2605.46
82,2207.05,2449.38,2605.46
83,2242.42,2470.58,2605.46
84,2271.78,2471.64,2605.46
85,2217.07,2455.39,2605.46
86,2171.39,2424.78,2605.46
87,2127.26,2383.62,2605.46
88,2093.81,2358.46,2605.46
89,2081.33,2349.07,2605.46
90,2101.95,2364.58,2605.46
91,2131.5,2386.81,2605.46
92,2172.44,2426.02,2605.46
93,2203.76,2447.41,2605.46
94,2142.09,2394.78,2605.46
95,2159.69,2411.08,2605.46
96,2040.54,2318.39,2605.46
97,2013.57,2298.1,2605.46
98,1915.71,2224.51,2522.03
99,1866.95,2180.6,2484.92
100,1807.28,2118.06,2425.88
101,1842.12,2158.88,2460.35
102,1984.65,2276.36,2585.65
103,2218.29,2456.12,2605.46
104,2364.88,2471.64,2605.46
105,2403.68,2471.64,2605.46
106,2403.68,2471.64,2605.46
107,2403.68,2471.64,2605.46
108,2403.68,2471.64,2605.46
109,2403.68,2471.64,2605.46
110,2403.68,2471.64,2605.46
111,2403.68,2471.64,2605.46
112,2403.68,2471.64,2605.46
113,2396.41,2471.64,2605.46
114,2388.48,2471.64,2605.46
115,2371.31,2471.64,2605.46
116,2330.77,2471.64,2605.46
117,2285.5,2471.64,2605.46
118,2270.23,2471.64,2605.46
119,2238.54,2468.26,2605.46
120,2130.77,2386.26,2605.46
121,1956.21,2254.97,2559.4
122,1836.02,2151.73,2454.31
123,1767.4,2071.31,2375.22
124,1692.0,1982.95,2273.88
125,1668.88,1955.84,2242.82
126,1690.72,1981.47,2272.2
127,1794.38,2102.95,2411.48
128,1944.15,2245.9,2548.27
129,2075.25,2344.49,2605.46
130,2167.09,2419.76,2605.46
131,2211.17,2451.84,2605.46
132,2243.61,2471.3,2605.46
133,2203.67,2447.35,2605.46
134,2170.41,2423.63,2605.46
135,2133.64,2388.42,2605.46
136,2114.6,2374.1,2605.46
137,2100.98,2363.84,2605.46
138,2112.37,2372.42,2605.46
139,2102.89,2365.29,2605.46
140,2079.09,2347.38,2605.46
141,2069.96,2340.52,2605.46
142,2072.9,2342.73,2605.46
143,2073.13,2342.91,2605.46
144,1949.84,2250.18,2553.52
145,2134.81,2389.3,2605.46
146,2047.86,2323.89,2605.46
