,2010,2015,2020
1,824336.5,965623.1,1107267.2
2,787814.3,923038.35,1058365.75
3,766073.1,897432.9,1028998.75
4,741607.1,868754.25,996182.2
5,750042.8,878611.5,1007514.3
6,813804.55,953251.65,1093114.1
7,919532.25,1077579.1,1235971.1
8,1033271.2,1211620.15,1389403.6
9,1075994.4,1261705.25,1446757.0
10,1097010.2,1286229.75,1474876.65
11,1112352.15,1304193.15,1495401.05
12,1118195.65,1311069.5,1503288.15
13,1088439.95,1275914.25,1463047.3
14,1076895.3,1262530.75,1447689.75
15,1063484.5,1247006.15,1429978.55
16,1056434.6,1238736.2,1420498.95
17,1079668.85,1266036.85,1451723.0
18,1136192.85,1332090.5,1527590.35
19,1128446.15,1323075.0,1517319.7
20,1081085.85,1267808.75,1453697.05
21,1007412.9,1181313.9,1354671.5
22,934194.3,1094804.1,1255622.55
23,938378.35,1099664.15,1261225.55
24,874459.95,1024712.0,1175233.15
25,315225.04,369267.6,423432.1
26,299864.76,351288.34,402828.4
27,290138.94,339881.62,389787.58
28,278046.6,325844.22,373514.44
29,275758.34,323174.28,370441.5
30,283011.56,331568.38,380203.98
31,286850.98,336046.1,385397.22
32,312807.56,366408.9,420176.64
33,334208.16,391492.4,448939.92
34,355511.52,416418.08,477502.74
35,369612.36,432937.18,496420.86
36,377661.96,442364.26,507230.62
37,364993.46,427559.34,490261.46
38,356636.8,417768.78,479023.22
39,349588.98,409504.16,469554.28
40,347661.08,407261.92,466988.6
41,358953.66,420447.04,482198.6
42,383243.9,449184.58,515124.48
43,384944.3,451159.8,517408.06
44,374344.88,438657.96,503082.58
45,356161.78,417236.56,478400.52
46,335024.3,392524.86,450060.52
47,346841.04,406340.48,465949.38
48,327272.92,383378.58,439642.06
49,697838.7,817787.1,937314.95
50,656340.75,776185.15,881751.0
51,639064.4,759602.35,858620.75
52,622012.95,743368.6,835715.4
53,638142.05,756512.25,857396.15
54,714006.15,836570.15,959158.2
55,827920.6,969839.0,1112146.1
56,920925.85,1078600.9,1237016.3
57,963533.35,1128606.05,1294417.15
58,974646.4,1141827.05,1309259.25
59,989749.8,1159412.15,1329491.15
60,1003135.25,1175114.85,1347494.2
61,971081.15,1137624.15,1304460.3
62,958434.1,1122776.85,1287462.8
63,942425.9,1104017.85,1265896.45
64,926641.3,1085420.05,1244603.1
65,908090.95,1063646.35,1219790.0
66,900334.5,1054657.5,1209382.2
67,895017.5,1048444.8,1202358.95
68,897383.5,1051162.45,1205464.65
69,898903.2,1052983.1,1207464.7
70,838921.85,982808.45,1127079.2
71,820929.85,961683.45,1102869.95
72,751107.5,879971.3,1009172.45
73,268450.78,322585.12,360668.88
74,249979.86,292942.52,336365.12
75,242534.5,284509.16,327323.88
76,232287.38,273543.4,314200.12
77,231447.06,273545.74,312931.32
78,240054.1,281299.46,322821.98
79,247418.86,289917.42,332729.8
80,268586.5,314750.28,360732.84
81,288993.38,340438.54,388178.44
82,304942.3,358844.98,409605.3
83,314609.88,371243.08,422584.76
