,2010,2015,2020
1,0.081,0.079,0.08
2,0.08,0.075,0.079
3,0.079,0.075,0.079
4,0.078,0.075,0.078
5,0.078,0.075,0.079
6,0.081,0.08,0.08
7,0.082,0.085,0.088
8,0.083,0.116,0.105
9,0.088,0.114,0.107
10,0.093,0.115,0.109
11,0.096,0.123,0.111
12,0.088,0.121,0.111
13,0.088,0.112,0.106
14,0.087,0.113,0.109
15,0.091,0.116,0.108
16,0.091,0.116,0.107
17,0.102,0.115,0.108
18,0.13,0.121,0.114
19,0.122,0.119,0.11
20,0.106,0.108,0.104
21,0.083,0.094,0.093
22,0.081,0.08,0.086
23,0.081,0.079,0.085
24,0.083,0.08,0.084
25,0.076,0.073,0.077
26,0.076,0.074,0.076
27,0.076,0.074,0.076
28,0.074,0.074,0.075
29,0.074,0.074,0.075
30,0.075,0.074,0.076
31,0.075,0.074,0.076
32,0.077,0.073,0.078
33,0.078,0.073,0.077
34,0.081,0.076,0.081
35,0.081,0.076,0.081
36,0.082,0.077,0.083
37,0.083,0.078,0.082
38,0.083,0.077,0.082
39,0.08,0.076,0.081
40,0.078,0.074,0.078
41,0.076,0.071,0.077
42,0.077,0.073,0.079
43,0.077,0.075,0.078
44,0.076,0.072,0.076
45,0.076,0.069,0.075
46,0.076,0.07,0.075
47,0.076,0.07,0.076
48,0.076,0.071,0.075
49,0.072,0.073,0.074
50,0.071,0.073,0.073
51,0.071,0.073,0.073
52,0.071,0.073,0.073
53,0.071,0.073,0.073
54,0.074,0.074,0.076
55,0.076,0.073,0.077
56,0.079,0.073,0.08
57,0.079,0.076,0.082
58,0.081,0.077,0.083
59,0.082,0.078,0.084
60,0.083,0.078,0.084
61,0.083,0.078,0.082
62,0.083,0.078,0.082
63,0.081,0.077,0.082
64,0.08,0.075,0.08
65,0.078,0.073,0.079
66,0.076,0.071,0.078
67,0.075,0.07,0.076
68,0.075,0.069,0.075
69,0.075,0.069,0.075
70,0.074,0.07,0.074
71,0.074,0.07,0.074
72,0.074,0.072,0.076
73,0.068,0.069,0.07
74,0.068,0.07,0.072
75,0.068,0.071,0.072
76,0.068,0.071,0.073
77,0.068,0.071,0.073
78,0.068,0.072,0.073
79,0.07,0.073,0.074
80,0.072,0.074,0.074
81,0.074,0.076,0.075
82,0.076,0.078,0.076
83,0.078,0.078,0.077
84,0.078,0.079,0.077
85,0.078,0.08,0.079
86,0.079,0.08,0.08
87,0.078,0.079,0.079
88,0.074,0.077,0.077
89,0.071,0.073,0.073
90,0.068,0.069,0.07
91,0.066,0.067,0.068
92,0.065,0.066,0.067
93,0.066,0.066,0.067
94,0.066,0.066,0.067
95,0.066,0.066,0.067
96,0.067,0.068,0.07
97,0.07,0.073,0.075
98,0.07,0.072,0.073
99,0.069,0.072,0.073
100,0.068,0.072,0.073
101,0.068,0.072,0.074
102,0.072,0.074,0.076
103,0.073,0.074,0.078
104,0.077,0.076,0.082
105,0.079,0.077,0.083
106,0.08,0.077,0.083
107,0.081,0.078,0.084
108,0.08,0.078,0.086
109,0.082,0.078,0.084
110,0.08,0.078,0.083
111,0.079,0.077,0.083
112,0.079,0.076,0.082
113,0.077,0.074,0.081
114,0.075,0.072,0.08
115,0.073,0.071,0.079
116,0.072,0.07,0.076
117,0.072,0.07,0.075
118,0.07,0.07,0.075
119,0.07,0.071,0.075
120,0.071,0.073,0.076
121,0.065,0.069,0.071
122,0.066,0.07,0.072
123,0.066,0.07,0.072
124,0.066,0.07,0.072
125,0.066,0.07,0.072
126,0.068,0.072,0.074
127,0.071,0.075,0.077
128,0.074,0.077,0.078
129,0.075,0.078,0.079
130,0.076,0.079,0.078
131,0.078,0.079,0.078
132,0.078,0.08,0.078
133,0.078,0.08,0.079
134,0.078,0.08,0.08
135,0.077,0.079,0.079
136,0.073,0.076,0.077
137,0.071,0.074,0.074
138,0.067,0.069,0.07
139,0.064,0.066,0.069
140,0.064,0.066,0.068
141,0.064,0.066,0.068
142,0.064,0.066,0.068
143,0.064,0.066,0.068
144,0.066,0.069,0.071
145,0.074,0.073,0.075
146,0.072,0.073,0.074
147,0.072,0.073,0.073
148,0.071,0.073,0.073
149,0.072,0.073,0.073
150,0.075,0.074,0.076
151,0.077,0.072,0.078
152,0.079,0.082,0.086
153,0.079,0.084,0.089
154,0.082,0.085,0.09
155,0.082,0.082,0.088
156,0.083,0.081,0.09
157,0.084,0.082,0.086
158,0.084,0.082,0.086
159,0.082,0.08,0.086
160,0.081,0.081,0.085
161,0.079,0.079,0.084
162,0.078,0.08,0.083
163,0.078,0.08,0.086
164,0.078,0.083,0.085
165,0.077,0.074,0.08
166,0.076,0.07,0.076
167,0.077,0.071,0.077
168,0.077,0.074,0.077
169,0.069,0.07,0.071
170,0.07,0.072,0.073
171,0.069,0.072,0.073
172,0.069,0.072,0.073
173,0.069,0.072,0.073
174,0.069,0.073,0.073
175,0.07,0.072,0.073
176,0.07,0.071,0.072
177,0.072,0.073,0.074
178,0.074,0.074,0.075
179,0.076,0.076,0.076
180,0.077,0.076,0.077
181,0.077,0.078,0.078
182,0.078,0.079,0.078
183,0.076,0.077,0.076
184,0.072,0.074,0.074
185,0.07,0.071,0.072
186,0.068,0.068,0.07
187,0.068,0.066,0.07
188,0.068,0.066,0.07
189,0.068,0.067,0.069
190,0.068,0.068,0.069
191,0.067,0.068,0.069
192,0.07,0.07,0.07
