A1_A2,2010,2015,2020
1,0.0,0.0,61.598
2,0.0,0.0,0.0
3,0.0,0.0,30.462
4,0.0,0.0,110.812
5,0.0,0.0,80.684
6,0.0,0.0,102.027
7,0.0,0.0,500.0
8,0.0,0.0,500.0
9,0.0,0.0,500.0
10,23.455,0.0,500.0
11,0.0,0.0,500.0
12,0.0,0.0,500.0
13,67.912,0.0,500.0
14,65.251,0.0,500.0
15,30.329,0.0,500.0
16,0.0,0.0,500.0
17,0.0,0.0,500.0
18,7.093,0.0,500.0
19,27.732,0.0,500.0
20,0.0,0.0,500.0
21,0.0,0.0,500.0
22,0.0,0.0,370.356
23,0.0,0.0,382.673
24,0.0,0.0,221.817
25,0.0,0.0,44.354
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,58.99
33,0.0,0.0,77.834
34,0.0,0.0,0.0
35,0.0,0.0,19.504
36,0.0,0.0,61.575
37,0.0,0.0,3.152
38,0.0,0.0,107.922
39,0.0,0.0,44.924
40,0.0,0.0,55.828
41,0.0,0.0,145.845
42,0.0,0.0,214.532
43,0.0,0.0,193.632
44,0.0,0.0,184.817
45,0.0,0.0,0.0
46,0.0,0.0,28.428
47,0.0,0.0,0.0
48,0.0,0.0,92.763
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,112.649
56,0.0,0.0,246.403
57,0.0,0.0,408.842
58,0.0,0.0,249.968
59,0.0,0.0,145.553
60,0.0,0.0,155.715
61,0.0,0.0,133.371
62,0.0,0.0,149.211
63,0.0,0.0,136.479
64,0.0,0.0,83.53
65,0.0,0.0,106.235
66,0.0,0.0,21.488
67,0.0,0.0,99.084
68,0.0,0.0,138.321
69,0.0,0.0,78.121
70,0.0,0.0,116.64
71,0.0,0.0,172.097
72,0.0,0.0,207.684
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,223.755
105,0.0,0.0,241.418
106,0.0,0.0,194.111
107,0.0,0.0,263.16
108,0.0,0.0,397.652
109,0.0,0.0,131.754
110,0.0,0.0,139.141
111,0.0,0.0,142.682
112,0.0,0.0,203.054
