,2010,2015,2020
1,207.62,203.19,225.24
2,207.62,203.19,225.24
3,207.62,203.19,225.24
4,207.62,203.19,225.24
5,207.62,203.19,225.24
6,207.62,203.19,225.24
7,207.62,203.19,225.24
8,207.62,203.19,225.24
9,207.62,203.19,225.24
10,207.62,203.19,225.24
11,207.62,203.19,225.24
12,207.62,203.19,225.24
13,207.62,203.19,225.24
14,207.62,203.19,225.24
15,207.62,203.19,225.24
16,207.62,203.19,225.24
17,207.62,203.19,225.24
18,207.62,203.19,225.24
19,207.62,203.19,225.24
20,207.62,203.19,225.24
21,207.62,203.19,225.24
22,207.62,203.19,225.24
23,207.62,203.19,225.24
24,207.62,203.19,225.24
25,234.12,200.11,216.78
26,234.12,200.11,216.78
27,234.12,200.11,216.78
28,234.12,200.11,216.78
29,234.12,200.11,216.78
30,234.12,200.11,216.78
31,234.12,200.11,216.78
32,234.12,200.11,216.78
33,234.12,200.11,216.78
34,234.12,200.11,216.78
35,234.12,200.11,216.78
36,234.12,200.11,216.78
37,234.12,200.11,216.78
38,234.12,200.11,216.78
39,234.12,200.11,216.78
40,234.12,200.11,216.78
41,234.12,200.11,216.78
42,234.12,200.11,216.78
43,234.12,200.11,216.78
44,234.12,200.11,216.78
45,234.12,200.11,216.78
46,234.12,200.11,216.78
47,234.12,200.11,216.78
48,234.12,200.11,216.78
49,216.45,212.03,215.07
50,216.45,212.03,215.07
51,216.45,212.03,215.07
52,216.45,212.03,215.07
53,216.45,212.03,215.07
54,216.45,212.03,215.07
55,216.45,212.03,215.07
56,216.45,212.03,215.07
57,216.45,212.03,215.07
58,216.45,212.03,215.07
59,216.45,212.03,215.07
60,216.45,212.03,215.07
61,216.45,212.03,215.07
62,216.45,212.03,215.07
63,216.45,212.03,215.07
64,216.45,212.03,215.07
65,216.45,212.03,215.07
66,216.45,212.03,215.07
67,216.45,212.03,215.07
68,216.45,212.03,215.07
69,216.45,212.03,215.07
70,216.45,212.03,215.07
71,216.45,212.03,215.07
72,216.45,212.03,215.07
73,251.79,205.86,349.54
74,251.79,205.86,349.54
75,251.79,205.86,349.54
76,251.79,205.86,349.54
77,251.79,205.86,349.54
78,251.79,205.86,349.54
79,251.79,205.86,349.54
80,251.79,205.86,349.54
81,251.79,205.86,349.54
82,251.79,205.86,349.54
83,251.79,205.86,349.54
84,251.79,205.86,349.54
85,251.79,205.86,349.54
86,251.79,205.86,349.54
87,251.79,205.86,349.54
88,251.79,205.86,349.54
89,251.79,205.86,349.54
90,251.79,205.86,349.54
91,251.79,205.86,349.54
92,251.79,205.86,349.54
93,251.79,205.86,349.54
94,251.79,205.86,349.54
95,251.79,205.86,349.54
96,251.79,205.86,349.54
97,242.96,203.19,215.07
98,242.96,203.19,215.07
99,242.96,203.19,215.07
100,242.96,203.19,215.07
101,242.96,203.19,215.07
102,242.96,203.19,215.07
103,242.96,203.19,215.07
104,242.96,203.19,215.07
105,242.96,203.19,215.07
106,242.96,203.19,215.07
107,242.96,203.19,215.07
108,242.96,203.19,215.07
109,242.96,203.19,215.07
110,242.96,203.19,215.07
111,242.96,203.19,215.07
112,242.96,203.19,215.07
113,242.96,203.19,215.07
114,242.96,203.19,215.07
115,242.96,203.19,215.07
116,242.96,203.19,215.07
117,242.96,203.19,215.07
118,242.96,203.19,215.07
119,242.96,203.19,215.07
120,242.96,203.19,215.07
121,251.79,205.86,349.54
122,251.79,205.86,349.54
123,251.79,205.86,349.54
124,251.79,205.86,349.54
125,251.79,205.86,349.54
126,251.79,205.86,349.54
127,251.79,205.86,349.54
128,251.79,205.86,349.54
129,251.79,205.86,349.54
130,251.79,205.86,349.54
131,251.79,205.86,349.54
132,251.79,205.86,349.54
133,251.79,205.86,349.54
134,251.79,205.86,349.54
135,251.79,205.86,349.54
136,251.79,205.86,349.54
137,251.79,205.86,349.54
138,251.79,205.86,349.54
139,251.79,205.86,349.54
140,251.79,205.86,349.54
141,251.79,205.86,349.54
142,251.79,205.86,349.54
143,251.79,205.86,349.54
144,251.79,205.86,349.54
145,291.56,203.19,225.24
146,291.56,203.19,225.24
147,291.56,203.19,225.24
148,291.56,203.19,225.24
149,291.56,203.19,225.24
150,291.56,203.19,225.24
151,291.56,203.19,225.24
152,291.56,203.19,225.24
153,291.56,203.19,225.24
154,291.56,203.19,225.24
155,291.56,203.19,225.24
156,291.56,203.19,225.24
157,291.56,203.19,225.24
158,291.56,203.19,225.24
159,291.56,203.19,225.24
160,291.56,203.19,225.24
161,291.56,203.19,225.24
162,291.56,203.19,225.24
163,291.56,203.19,225.24
164,291.56,203.19,225.24
165,291.56,203.19,225.24
166,291.56,203.19,225.24
167,291.56,203.19,225.24
168,291.56,203.19,225.24
169,216.45,200.11,209.28
170,216.45,200.11,209.28
171,216.45,200.11,209.28
172,216.45,200.11,209.28
173,216.45,200.11,209.28
174,216.45,200.11,209.28
175,216.45,200.11,209.28
176,216.45,200.11,209.28
177,216.45,200.11,209.28
178,216.45,200.11,209.28
179,216.45,200.11,209.28
180,216.45,200.11,209.28
181,216.45,200.11,209.28
182,216.45,200.11,209.28
183,216.45,200.11,209.28
184,216.45,200.11,209.28
185,216.45,200.11,209.28
186,216.45,200.11,209.28
187,216.45,200.11,209.28
188,216.45,200.11,209.28
189,216.45,200.11,209.28
190,216.45,200.11,209.28
191,216.45,200.11,209.28
192,216.45,200.11,209.28
