encrops,2010,2015,2020
1,24231.055,24231.055,24231.055
2,24231.055,24231.055,24231.055
3,24231.055,24231.055,24231.055
4,24231.055,24231.055,24231.055
5,24231.055,24231.055,24231.055
6,24231.055,24231.055,24231.055
7,24231.055,24231.055,24231.055
8,24231.055,24231.055,24231.055
9,24231.055,24231.055,24231.055
10,24231.055,24231.055,24231.055
11,24231.055,24231.055,24231.055
12,24231.055,24231.055,24231.055
13,24231.055,24231.055,24231.055
14,24231.055,24231.055,24231.055
15,24231.055,24231.055,24231.055
16,24231.055,24231.055,24231.055
17,24231.055,24231.055,24231.055
18,24231.055,24231.055,24231.055
19,24231.055,24231.055,24231.055
20,24231.055,24231.055,24231.055
21,24231.055,24231.055,24231.055
22,24231.055,24231.055,24231.055
23,24231.055,24231.055,24231.055
24,24231.055,24231.055,24231.055
25,9692.405,9692.405,9692.405
26,9692.405,9692.405,9692.405
27,9692.405,9692.405,9692.405
28,9692.405,9692.405,9692.405
29,9692.405,9692.405,9692.405
30,9692.405,9692.405,9692.405
31,9692.405,9692.405,9692.405
32,9692.405,9692.405,9692.405
33,9692.405,9692.405,9692.405
34,9692.405,9692.405,9692.405
35,9692.405,9692.405,9692.405
36,9692.405,9692.405,9692.405
37,9692.405,9692.405,9692.405
38,9692.405,9692.405,9692.405
39,9692.405,9692.405,9692.405
40,9692.405,9692.405,9692.405
41,9692.405,9692.405,9692.405
42,9692.405,9692.405,9692.405
43,9692.405,9692.405,9692.405
44,9692.405,9692.405,9692.405
45,9692.405,9692.405,9692.405
46,9692.405,9692.405,9692.405
47,9692.405,9692.405,9692.405
48,9692.405,9692.405,9692.405
49,24231.055,24231.055,24231.055
50,24231.055,24231.055,24231.055
51,24231.055,24231.055,24231.055
52,24231.055,24231.055,24231.055
53,24231.055,24231.055,24231.055
54,24231.055,24231.055,24231.055
55,24231.055,24231.055,24231.055
56,24231.055,24231.055,24231.055
57,24231.055,24231.055,24231.055
58,24231.055,24231.055,24231.055
59,24231.055,24231.055,24231.055
60,24231.055,24231.055,24231.055
61,24231.055,24231.055,24231.055
62,24231.055,24231.055,24231.055
63,24231.055,24231.055,24231.055
64,24231.055,24231.055,24231.055
65,24231.055,24231.055,24231.055
66,24231.055,24231.055,24231.055
67,24231.055,24231.055,24231.055
68,24231.055,24231.055,24231.055
69,24231.055,24231.055,24231.055
70,24231.055,24231.055,24231.055
