COA_SUB_HC,2010,2015,2020
1,88.35,88.35,0.0
2,88.35,88.35,0.0
3,88.35,88.35,0.0
4,88.35,88.35,0.0
5,88.35,88.35,0.0
6,88.35,88.35,0.0
7,88.35,88.35,0.0
8,88.35,88.35,0.0
9,88.35,88.35,0.0
10,88.35,88.35,0.0
11,88.35,88.35,0.0
12,88.35,88.35,0.0
13,88.35,88.35,0.0
14,88.35,88.35,0.0
15,88.35,88.35,0.0
16,88.35,88.35,0.0
17,88.35,88.35,0.0
18,88.35,88.35,0.0
19,88.35,88.35,0.0
20,88.35,88.35,0.0
21,88.35,88.35,0.0
22,88.35,88.35,0.0
23,88.35,88.35,0.0
24,88.35,88.35,0.0
25,88.35,0.0,0.0
26,88.35,0.0,0.0
27,88.35,0.0,0.0
28,88.35,0.0,0.0
29,88.35,0.0,0.0
30,88.35,0.0,0.0
31,88.35,0.0,0.0
32,88.35,0.0,0.0
33,88.35,0.0,0.0
34,88.35,0.0,0.0
35,88.35,0.0,0.0
36,88.35,0.0,0.0
37,88.35,0.0,0.0
38,88.35,0.0,0.0
39,88.35,0.0,0.0
40,88.35,0.0,0.0
41,88.35,0.0,0.0
42,88.35,0.0,0.0
43,88.35,0.0,0.0
44,88.35,0.0,0.0
45,88.35,0.0,0.0
46,88.35,0.0,0.0
47,88.35,0.0,0.0
48,88.35,0.0,0.0
49,88.35,0.0,0.0
50,88.35,0.0,0.0
51,88.35,0.0,0.0
52,88.35,0.0,0.0
53,88.35,0.0,0.0
54,88.35,0.0,0.0
55,88.35,0.0,0.0
56,88.35,0.0,0.0
57,88.35,0.0,0.0
58,88.35,0.0,0.0
59,88.35,0.0,0.0
60,88.35,0.0,0.0
61,88.35,0.0,0.0
62,88.35,0.0,0.0
63,88.35,0.0,0.0
64,88.35,0.0,0.0
65,88.35,0.0,0.0
66,88.35,0.0,0.0
67,88.35,0.0,0.0
68,88.35,0.0,0.0
69,88.35,0.0,0.0
70,88.35,0.0,0.0
71,88.35,0.0,0.0
72,88.35,0.0,0.0
73,88.35,0.0,0.0
74,88.35,0.0,0.0
75,88.35,0.0,0.0
76,88.35,0.0,0.0
77,88.35,0.0,0.0
78,88.35,0.0,0.0
79,88.35,0.0,0.0
80,88.35,0.0,0.0
81,88.35,0.0,0.0
82,88.35,0.0,0.0
83,88.35,0.0,0.0
84,88.35,0.0,0.0
85,88.35,0.0,0.0
86,88.35,0.0,0.0
87,88.35,0.0,0.0
88,88.35,0.0,0.0
89,88.35,0.0,0.0
90,88.35,0.0,0.0
91,88.35,0.0,0.0
92,88.35,0.0,0.0
93,88.35,0.0,0.0
94,88.35,0.0,0.0
95,88.35,0.0,0.0
96,88.35,0.0,0.0
97,88.35,0.0,0.0
98,88.35,0.0,0.0
99,88.35,0.0,0.0
100,88.35,0.0,0.0
101,88.35,0.0,0.0
102,88.35,0.0,0.0
103,88.35,0.0,0.0
104,88.35,0.0,0.0
105,88.35,0.0,0.0
106,88.35,0.0,0.0
107,88.35,0.0,0.0
108,88.35,0.0,0.0
109,88.35,0.0,0.0
110,88.35,0.0,0.0
111,88.35,0.0,0.0
