,2010,2015,2020
1,0.11,0.135,0.102
2,0.11,0.111,0.101
3,0.111,0.112,0.101
4,0.11,0.112,0.101
5,0.11,0.112,0.101
6,0.11,0.136,0.102
7,0.107,0.124,0.117
8,0.105,0.125,0.108
9,0.103,0.12,0.106
10,0.104,0.121,0.107
11,0.108,0.12,0.108
12,0.109,0.128,0.112
13,0.109,0.124,0.109
14,0.109,0.123,0.109
15,0.108,0.124,0.11
16,0.106,0.119,0.106
17,0.113,0.116,0.104
18,0.211,0.122,0.11
19,0.21,0.121,0.108
20,0.149,0.115,0.102
21,0.105,0.122,0.104
22,0.104,0.123,0.112
23,0.104,0.121,0.11
24,0.109,0.132,0.108
25,0.107,0.106,0.099
26,0.11,0.112,0.099
27,0.11,0.112,0.099
28,0.11,0.114,0.098
29,0.11,0.114,0.098
30,0.11,0.113,0.098
31,0.11,0.113,0.098
32,0.11,0.108,0.099
33,0.106,0.105,0.096
34,0.108,0.104,0.097
35,0.109,0.105,0.096
36,0.11,0.102,0.097
37,0.111,0.107,0.099
38,0.11,0.107,0.099
39,0.109,0.105,0.098
40,0.106,0.103,0.094
41,0.099,0.093,0.09
42,0.099,0.196,0.096
43,0.099,0.195,0.096
44,0.099,0.199,0.09
45,0.098,0.092,0.091
46,0.103,0.101,0.094
47,0.098,0.096,0.094
48,0.104,0.101,0.094
49,0.109,0.112,0.097
50,0.11,0.114,0.092
51,0.11,0.115,0.092
52,0.111,0.116,0.092
53,0.11,0.115,0.092
54,0.109,0.112,0.098
55,0.104,0.101,0.094
56,0.1,0.097,0.091
57,0.102,0.099,0.092
58,0.109,0.101,0.095
59,0.11,0.105,0.098
60,0.11,0.102,0.098
61,0.111,0.106,0.098
62,0.11,0.106,0.097
63,0.109,0.105,0.096
64,0.107,0.104,0.095
65,0.105,0.098,0.092
66,0.098,0.096,0.091
67,0.097,0.091,0.087
68,0.097,0.091,0.087
69,0.097,0.091,0.09
70,0.102,0.099,0.092
71,0.103,0.1,0.092
72,0.109,0.109,0.099
73,0.101,0.098,0.08
74,0.102,0.108,0.086
75,0.11,0.112,0.089
76,0.11,0.116,0.092
77,0.11,0.116,0.092
78,0.11,0.113,0.089
79,0.112,0.112,0.089
80,0.106,0.108,0.086
81,0.108,0.107,0.088
82,0.11,0.108,0.09
83,0.111,0.109,0.09
84,0.112,0.109,0.091
85,0.113,0.115,0.095
86,0.119,0.118,0.097
87,0.118,0.118,0.097
88,0.113,0.114,0.092
89,0.106,0.105,0.086
90,0.097,0.097,0.08
91,0.094,0.091,0.075
92,0.094,0.09,0.075
93,0.094,0.09,0.077
94,0.094,0.09,0.075
95,0.094,0.09,0.075
96,0.1,0.098,0.08
97,0.108,0.112,0.096
98,0.109,0.114,0.092
99,0.11,0.115,0.092
100,0.107,0.116,0.092
101,0.107,0.116,0.092
102,0.109,0.114,0.097
103,0.106,0.104,0.093
104,0.104,0.102,0.092
105,0.106,0.099,0.093
106,0.108,0.101,0.094
107,0.109,0.101,0.095
108,0.104,0.102,0.096
109,0.109,0.102,0.097
110,0.108,0.105,0.097
111,0.108,0.104,0.096
112,0.102,0.099,0.093
113,0.1,0.098,0.093
114,0.098,0.092,0.089
115,0.096,0.091,0.088
116,0.095,0.094,0.09
117,0.1,0.098,0.092
118,0.1,0.098,0.092
119,0.1,0.099,0.09
120,0.107,0.109,0.096
121,0.1,0.097,0.081
122,0.098,0.106,0.086
123,0.106,0.109,0.088
124,0.106,0.113,0.089
125,0.106,0.113,0.089
126,0.107,0.114,0.09
127,0.11,0.114,0.091
128,0.113,0.113,0.091
129,0.108,0.11,0.091
130,0.109,0.109,0.091
131,0.11,0.109,0.09
132,0.11,0.109,0.091
133,0.111,0.111,0.092
134,0.116,0.113,0.094
135,0.114,0.113,0.093
136,0.107,0.108,0.09
137,0.106,0.103,0.085
138,0.096,0.094,0.078
139,0.094,0.089,0.079
140,0.093,0.088,0.074
141,0.092,0.089,0.074
142,0.092,0.089,0.074
143,0.092,0.089,0.074
144,0.1,0.1,0.081
145,0.109,0.112,0.098
146,0.11,0.113,0.097
147,0.11,0.114,0.093
148,0.11,0.115,0.094
149,0.11,0.114,0.093
150,0.109,0.111,0.1
151,0.103,0.099,0.095
152,0.099,0.112,0.104
153,0.101,0.113,0.106
154,0.107,0.118,0.109
155,0.108,0.119,0.105
156,0.109,0.123,0.112
157,0.109,0.124,0.103
158,0.109,0.125,0.102
159,0.108,0.124,0.104
160,0.106,0.123,0.104
161,0.104,0.121,0.102
162,0.098,0.116,0.102
163,0.098,0.111,0.107
164,0.098,0.111,0.107
165,0.098,0.116,0.094
166,0.102,0.099,0.094
167,0.104,0.102,0.096
168,0.109,0.11,0.1
169,0.101,0.103,0.085
170,0.109,0.112,0.092
171,0.11,0.115,0.092
172,0.11,0.116,0.093
173,0.11,0.116,0.093
174,0.11,0.115,0.092
175,0.105,0.11,0.09
176,0.103,0.102,0.088
177,0.105,0.103,0.09
178,0.107,0.103,0.091
179,0.109,0.104,0.094
180,0.109,0.105,0.095
181,0.11,0.111,0.097
182,0.116,0.113,0.096
183,0.115,0.113,0.094
184,0.106,0.108,0.091
185,0.103,0.102,0.091
186,0.095,0.091,0.083
187,0.096,0.09,0.084
188,0.096,0.09,0.087
189,0.095,0.09,0.083
190,0.094,0.095,0.082
191,0.094,0.095,0.084
192,0.101,0.102,0.083
