,2010,2015,2020
COA_SUB_HC,0.095,0.244,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
GAS_GT,1.41,2.582,0.265
GAS_CC,0.108,0.095,0.114
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.0,0.0,0.057
REW_HYD_LG,0.042,0.042,0.043
REW_HYD_PS,0.0,0.0,0.0
REW_WND_ON_2530,0.096,0.096,0.096
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,0.05
REW_WND_ON_40UP,0.0,0.045,0.043
REW_PV_UTI,0.151,0.151,0.151
REW_PV_RFT,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,0.237,0.283,0.332
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,0.086,0.119,0.146
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,0.102,0.103,0.123
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.102,0.111
OIL_ST,0.0,0.0,0.0
