,2010,2015,2020
COA_SUB_HC,27.02,4.359,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
GAS_GT,0.084,0.017,0.505
GAS_CC,9.856,21.698,11.3
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.0,0.0,3.805
REW_HYD_LG,1.15,1.808,2.793
REW_HYD_PS,0.207,0.415,0.415
REW_WND_ON_2530,0.438,1.727,1.727
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,2.358
REW_WND_ON_40UP,0.0,0.243,2.735
REW_PV_UTI,0.912,0.912,0.912
REW_PV_RFT,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,0.766,0.769,0.77
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,1.544,1.544,1.544
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,0.772,0.772,0.772
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.772,1.544
OIL_ST,0.0,0.0,0.0
