REW_HYD_PS,2010,2015,2020
1,-95.0,-190.0,-190.0
2,-95.0,-190.0,-190.0
3,-95.0,-190.0,-190.0
4,-95.0,-190.0,-190.0
5,-95.0,-190.0,-190.0
6,-95.0,-190.0,-190.0
7,-47.5,-47.5,-47.5
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,-47.5,-47.5
23,0.0,0.0,0.0
24,-95.0,-190.0,-190.0
25,-47.5,-104.407,-142.5
26,-95.0,-190.0,-190.0
27,-95.0,-190.0,-190.0
28,-95.0,-190.0,-190.0
29,-95.0,-190.0,-190.0
30,-95.0,-190.0,-190.0
31,-95.0,-190.0,-190.0
32,-95.0,-129.137,-142.5
33,0.0,-36.454,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,-15.002,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,-95.0,-190.0,-190.0
50,-95.0,-190.0,-190.0
51,-95.0,-190.0,-190.0
52,-95.0,-190.0,-190.0
53,-95.0,-190.0,-190.0
54,-95.0,-190.0,-190.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,-95.0,-168.962,-190.0
73,0.0,0.0,0.0
74,0.0,-83.121,-95.0
75,-95.0,-134.194,-147.851
76,-95.0,-190.0,-190.0
77,-95.0,-190.0,-190.0
78,-95.0,-148.1,-135.709
79,-95.0,-120.819,-95.0
80,0.0,-46.837,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,-87.215,-106.249
86,-95.0,-148.403,-180.191
87,-95.0,-157.128,-190.0
88,-47.5,-111.51,-95.0
89,0.0,-7.674,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,-95.0,-190.0,-190.0
98,-95.0,-190.0,-190.0
99,-95.0,-190.0,-190.0
100,-95.0,-190.0,-190.0
101,-95.0,-190.0,-190.0
102,-95.0,-190.0,-190.0
103,-47.5,-60.367,-20.514
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,-95.0,-172.974,-190.0
121,0.0,0.0,0.0
122,0.0,-80.886,-99.874
123,-91.649,-131.87,-157.928
124,-95.0,-188.524,-190.0
125,-95.0,-190.0,-190.0
126,-95.0,-190.0,-190.0
127,-95.0,-158.005,-131.989
128,-95.0,-117.528,-100.082
129,0.0,-64.358,-58.786
130,0.0,-28.775,-25.478
131,0.0,-3.918,0.0
132,0.0,0.0,0.0
133,0.0,-42.156,-46.355
134,-79.418,-77.252,-90.084
135,-66.434,-83.271,-99.959
136,0.0,-32.362,-44.465
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,-95.0,-190.0,-190.0
146,-95.0,-190.0,-190.0
147,-95.0,-190.0,-190.0
148,-95.0,-190.0,-190.0
149,-95.0,-190.0,-190.0
150,-95.0,-190.0,-190.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,-13.461
167,-29.989,-55.999,-76.584
168,-95.0,-190.0,-190.0
169,0.0,-36.119,-52.581
170,-95.0,-160.144,-185.69
171,-95.0,-190.0,-190.0
172,-95.0,-190.0,-190.0
173,-95.0,-190.0,-190.0
174,-95.0,-190.0,-190.0
175,-47.5,-134.852,-143.507
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,-57.49,-54.826
182,-95.0,-95.0,-95.0
183,-95.0,-114.912,-114.369
184,0.0,-53.905,-19.027
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,-12.579,0.0
