,2010,2015,2020
1,32611.15,37028.55,41445.95
2,32611.15,37028.55,41445.95
3,32611.15,37028.55,41445.95
4,32611.15,37028.55,41445.95
5,32611.15,37028.55,41445.95
6,32611.15,37028.55,41445.95
7,32611.15,37028.55,41445.95
8,32611.15,37028.55,41445.95
9,32611.15,37028.55,41445.95
10,32611.15,37028.55,41445.95
11,32611.15,37028.55,41445.95
12,32611.15,37028.55,41445.95
13,32611.15,37028.55,41445.95
14,32611.15,37028.55,41445.95
15,32611.15,37028.55,41445.95
16,32611.15,37028.55,41445.95
17,32611.15,37028.55,41445.95
18,32611.15,37028.55,41445.95
19,32611.15,37028.55,41445.95
20,32611.15,37028.55,41445.95
21,32611.15,37028.55,41445.95
22,32611.15,37028.55,41445.95
23,32611.15,37028.55,41445.95
24,32611.15,37028.55,41445.95
25,13044.46,14811.42,16578.38
26,13044.46,14811.42,16578.38
27,13044.46,14811.42,16578.38
28,13044.46,14811.42,16578.38
29,13044.46,14811.42,16578.38
30,13044.46,14811.42,16578.38
31,13044.46,14811.42,16578.38
32,13044.46,14811.42,16578.38
33,13044.46,14811.42,16578.38
34,13044.46,14811.42,16578.38
35,13044.46,14811.42,16578.38
36,13044.46,14811.42,16578.38
37,13044.46,14811.42,16578.38
38,13044.46,14811.42,16578.38
39,13044.46,14811.42,16578.38
40,13044.46,14811.42,16578.38
41,13044.46,14811.42,16578.38
42,13044.46,14811.42,16578.38
43,13044.46,14811.42,16578.38
44,13044.46,14811.42,16578.38
45,13044.46,14811.42,16578.38
46,13044.46,14811.42,16578.38
47,13044.46,14811.42,16578.38
48,13044.46,14811.42,16578.38
49,32611.15,37028.55,41445.95
50,32611.15,37028.55,41445.95
51,32611.15,37028.55,41445.95
52,32611.15,37028.55,41445.95
53,32611.15,37028.55,41445.95
54,32611.15,37028.55,41445.95
55,32611.15,37028.55,41445.95
56,32611.15,37028.55,41445.95
57,32611.15,37028.55,41445.95
58,32611.15,37028.55,41445.95
59,32611.15,37028.55,41445.95
60,32611.15,37028.55,41445.95
61,32611.15,37028.55,41445.95
62,32611.15,37028.55,41445.95
63,32611.15,37028.55,41445.95
64,32611.15,37028.55,41445.95
65,32611.15,37028.55,41445.95
66,32611.15,37028.55,41445.95
67,32611.15,37028.55,41445.95
68,32611.15,37028.55,41445.95
69,32611.15,37028.55,41445.95
70,32611.15,37028.55,41445.95
71,32611.15,37028.55,41445.95
72,32611.15,37028.55,41445.95
73,13044.46,14811.42,16578.38
74,13044.46,14811.42,16578.38
75,12857.26,14811.42,16578.38
76,12312.3,14429.48,16546.66
77,12267.84,14377.22,16486.86
78,12725.44,14811.42,16578.38
79,13044.46,14811.42,16578.38
80,13044.46,14811.42,16578.38
81,13044.46,14811.42,16578.38
82,13044.46,14811.42,16578.38
83,13044.46,14811.42,16578.38
84,13044.46,14811.42,16578.38
85,13044.46,14811.42,16578.38
86,13044.46,14811.42,16578.38
87,13044.46,14811.42,16578.38
88,13044.46,14811.42,16578.38
89,13044.46,14811.42,16578.38
90,13044.46,14811.42,16578.38
91,13044.46,14811.42,16578.38
92,13044.46,14811.42,16578.38
93,13044.46,14811.42,16578.38
94,13044.46,14811.42,16578.38
95,13044.46,14811.42,16578.38
96,13044.46,14811.42,16578.38
97,32611.15,37028.55,41445.95
98,32611.15,37028.55,41445.95
99,32005.35,37028.55,41445.95
100,30982.25,36310.3,41445.95
101,31579.6,37009.7,41445.95
102,32611.15,37028.55,41445.95
103,32611.15,37028.55,41445.95
104,32611.15,37028.55,41445.95
105,32611.15,37028.55,41445.95
106,32611.15,37028.55,41445.95
107,32611.15,37028.55,41445.95
108,32611.15,37028.55,41445.95
109,32611.15,37028.55,41445.95
110,32611.15,37028.55,41445.95
111,32611.15,37028.55,41445.95
112,32611.15,37028.55,41445.95
113,32611.15,37028.55,41445.95
114,32611.15,37028.55,41445.95
115,32611.15,37028.55,41445.95
116,32611.15,37028.55,41445.95
117,32611.15,37028.55,41445.95
118,32611.15,37028.55,41445.95
119,32611.15,37028.55,41445.95
120,32611.15,37028.55,41445.95
121,13044.46,14811.42,16578.38
122,12589.98,14755.0,16578.38
123,12119.38,14203.54,16287.44
124,11602.5,13597.48,15592.46
125,11443.9,13411.58,15379.52
126,11593.66,13587.34,15581.02
127,12304.5,14420.38,16536.0
128,13044.46,14811.42,16578.38
129,13044.46,14811.42,16578.38
130,13044.46,14811.42,16578.38
131,13044.46,14811.42,16578.38
132,13044.46,14811.42,16578.38
133,13044.46,14811.42,16578.38
134,13044.46,14811.42,16578.38
135,13044.46,14811.42,16578.38
136,13044.46,14811.42,16578.38
137,13044.46,14811.42,16578.38
138,13044.46,14811.42,16578.38
139,13044.46,14811.42,16578.38
140,13044.46,14811.42,16578.38
141,13044.46,14811.42,16578.38
142,13044.46,14811.42,16578.38
143,13044.46,14811.42,16578.38
144,13044.46,14811.42,16578.38
145,32611.15,37028.55,41445.95
146,32611.15,37028.55,41445.95
147,32611.15,37028.55,41445.95
148,32611.15,37028.55,41445.95
149,32611.15,37028.55,41445.95
150,32611.15,37028.55,41445.95
151,32611.15,37028.55,41445.95
152,32611.15,37028.55,41445.95
153,32611.15,37028.55,41445.95
154,32611.15,37028.55,41445.95
155,32611.15,37028.55,41445.95
156,32611.15,37028.55,41445.95
157,32611.15,37028.55,41445.95
158,32611.15,37028.55,41445.95
159,32611.15,37028.55,41445.95
160,32611.15,37028.55,41445.95
161,32611.15,37028.55,41445.95
162,32611.15,37028.55,41445.95
163,32611.15,37028.55,41445.95
164,32611.15,37028.55,41445.95
165,32611.15,37028.55,41445.95
166,32611.15,37028.55,41445.95
167,32611.15,37028.55,41445.95
168,32611.15,37028.55,41445.95
169,13044.46,14811.42,16578.38
170,13044.46,14811.42,16578.38
171,13044.46,14811.42,16578.38
172,12690.08,14811.42,16578.38
173,12652.38,14811.42,16578.38
174,13044.46,14811.42,16578.38
175,13044.46,14811.42,16578.38
176,13044.46,14811.42,16578.38
177,13044.46,14811.42,16578.38
178,13044.46,14811.42,16578.38
179,13044.46,14811.42,16578.38
180,13044.46,14811.42,16578.38
181,13044.46,14811.42,16578.38
182,13044.46,14811.42,16578.38
183,13044.46,14811.42,16578.38
184,13044.46,14811.42,16578.38
185,13044.46,14811.42,16578.38
186,13044.46,14811.42,16578.38
187,13044.46,14811.42,16578.38
188,13044.46,14811.42,16578.38
189,13044.46,14811.42,16578.38
190,13044.46,14811.42,16578.38
191,13044.46,14811.42,16578.38
192,13044.46,14811.42,16578.38
