,2010,2015,2020
1,1736.87,2120.66,3061.05
2,1638.23,2005.06,2824.97
3,1579.09,1935.74,2817.85
4,1512.88,1858.16,2809.24
5,1535.67,1884.86,2809.74
6,1708.32,2087.2,3063.1
7,1995.48,2423.74,3846.99
8,2738.08,2786.32,4262.79
9,2910.44,2921.92,4418.28
10,2995.85,2988.52,4494.65
11,2974.47,3037.09,4550.34
12,3018.03,3066.27,4571.69
13,3016.35,2960.45,4462.46
14,2982.64,2924.07,4420.74
15,2912.01,2882.21,4372.74
16,2816.18,2859.82,4347.06
17,2862.61,2933.63,4431.7
18,3085.74,3113.04,4637.44
19,3085.54,3088.64,4609.45
20,2903.49,2938.27,4437.02
21,2722.37,2704.25,4168.67
22,2035.27,2470.37,3770.83
23,2046.56,2483.6,3798.31
24,1873.41,2280.67,3404.74
25,1638.62,2005.51,2911.76
26,1534.75,1883.79,2547.06
27,1469.0,1806.73,2464.94
28,1387.29,1710.96,2349.11
29,1371.82,1692.83,2345.79
30,1420.84,1750.28,2348.64
31,1446.78,1780.69,2367.61
32,1622.19,1986.25,2904.32
33,1767.21,2156.22,3118.06
34,1911.26,2325.03,3194.97
35,2006.75,2436.94,3381.65
36,2061.18,2537.8,3496.86
37,1975.55,2400.39,3323.37
38,1918.93,2334.02,3352.04
39,1871.26,2278.16,3224.98
40,1858.32,2262.99,3218.48
41,1934.54,2369.04,3410.94
42,2100.39,2546.68,3702.51
43,2111.92,2560.2,3697.11
44,2039.7,2475.57,3591.25
45,1915.88,2330.45,3240.02
46,1772.93,2162.91,3076.33
47,1852.85,2256.59,3085.63
48,1720.18,2101.1,3069.77
49,1394.49,1719.4,2430.9
50,1281.63,1587.14,1842.81
51,1235.09,1532.59,1829.63
52,1188.98,1478.54,1817.25
53,1232.63,1529.71,1815.45
54,1438.52,1771.01,2598.48
55,1746.65,2132.11,3125.22
56,1998.31,2555.81,3597.2
57,2113.84,2678.8,3914.9
58,2143.87,2660.77,3796.4
59,2184.74,2756.61,3746.88
60,2221.03,2818.11,3805.84
61,2134.14,2586.24,3666.71
62,2099.87,2546.08,3636.49
63,2056.5,2495.25,3565.47
64,2013.73,2445.12,3455.05
65,1963.68,2386.47,3410.49
66,1942.79,2361.99,3297.67
67,1928.42,2345.14,3355.96
68,1934.83,2352.66,3403.8
69,1938.94,2357.47,3349.12
70,1776.53,2167.14,3169.38
71,1727.77,2110.0,3159.31
72,1538.88,1888.63,2941.04
73,1321.99,1634.43,2152.55
74,1196.77,1487.69,1984.47
75,1146.22,1428.46,1916.35
76,1076.67,1346.94,1855.9
77,1070.98,1340.27,1846.08
78,1129.4,1408.74,1904.13
79,1179.44,1467.36,1963.52
80,1322.93,1635.53,2163.07
81,1460.78,1797.09,2331.13
82,1568.71,1923.59,2479.14
83,1634.24,2000.37,2569.79
84,1688.64,2064.13,2621.52
85,1587.3,1945.37,2509.1
86,1502.63,1846.14,2395.31
87,1437.59,1769.91,2309.48
88,1397.82,1723.31,2293.26
89,1382.97,1705.91,2253.15
90,1407.5,1734.65,2246.25
91,1442.65,1775.85,2308.66
92,1504.6,1848.44,2332.96
93,1562.64,1916.46,2530.04
94,1455.23,1790.58,2331.61
95,1480.99,1820.78,2336.47
96,1334.5,1649.08,2169.34
97,1302.42,1611.5,2311.85
98,1186.09,1475.16,1819.96
99,1139.19,1420.21,1806.87
100,1086.95,1359.0,1793.99
101,1117.45,1394.73,1788.77
102,1268.06,1571.23,2246.11
103,1589.54,1947.99,2801.45
104,1963.03,2269.33,3393.68
105,2068.42,2448.18,3616.44
106,2153.98,2535.77,3669.58
107,2215.72,2623.3,3839.0
108,2340.13,2738.56,4056.13
109,2234.8,2599.59,3680.41
110,2202.56,2566.49,3649.84
111,2148.43,2510.9,3589.64
112,2169.84,2463.34,3595.46
113,2082.46,2403.12,3717.36
114,1979.39,2589.04,3551.16
115,1928.05,2531.67,3468.22
116,1883.35,2381.04,3415.05
117,1714.05,2093.92,3148.5
118,1685.76,2060.76,3150.01
119,1627.05,1991.95,2851.85
120,1441.77,1774.81,2438.81
121,1234.23,1579.3,2098.91
122,1112.12,1436.18,1969.15
123,1052.04,1365.77,1888.4
124,986.03,1288.43,1826.9
125,965.8,1277.47,1808.25
126,984.94,1289.7,1798.61
127,1075.67,1393.46,1920.14
128,1219.9,1562.48,2113.97
129,1375.75,1745.14,2323.43
130,1494.71,1884.56,2483.31
131,1576.34,1980.23,2592.94
132,1636.44,2019.29,2636.25
133,1562.45,1963.95,2574.36
134,1500.82,1891.73,2491.54
135,1445.19,1826.53,2417.72
136,1422.55,1799.99,2386.32
137,1406.33,1753.58,2339.73
138,1419.87,1796.86,2382.73
139,1408.61,1764.73,2359.9
140,1380.31,1740.85,2300.45
141,1369.48,1737.81,2313.78
142,1372.98,1741.91,2319.72
143,1373.24,1742.2,2320.06
144,1226.66,1536.03,2098.61
145,1446.56,1780.43,2367.35
146,1343.18,1659.27,2151.19
147,1297.3,1605.5,1765.91
148,1245.35,1544.6,1757.63
149,1290.21,1597.19,1759.46
150,1504.64,1848.5,2831.4
151,1884.42,2293.59,3269.64
152,2244.72,2635.15,4089.43
153,2293.1,2721.89,4188.91
154,2386.6,2738.43,4207.88
155,2379.12,2777.34,4252.48
156,2436.39,2803.84,4282.87
157,2258.3,2695.02,3899.61
158,2181.91,2642.23,3837.58
159,2131.73,2583.42,3824.75
160,2088.67,2532.95,3876.28
161,2062.21,2501.93,3748.66
162,2104.48,2551.48,3910.56
163,2299.41,2704.1,4168.5
164,2295.77,2707.51,4172.4
165,2071.8,2513.18,3595.34
166,1844.37,2246.65,3082.59
167,1786.44,2178.76,3032.3
168,1606.37,1967.72,2861.77
169,1380.16,1702.61,1980.34
170,1261.25,1563.25,1820.53
171,1201.1,1492.75,1801.02
172,1124.88,1403.43,1787.38
173,1120.08,1397.81,1782.47
174,1184.91,1473.79,1790.7
175,1284.61,1590.64,1851.94
176,1432.76,1764.25,2292.73
177,1566.28,1920.72,2796.41
178,1662.79,2033.84,2926.48
179,1737.02,2120.82,2958.67
180,1779.28,2170.36,3008.29
181,1678.41,2052.14,2924.28
182,1594.52,1953.83,2546.66
183,1536.94,1886.35,2191.04
184,1509.45,1854.14,2301.77
185,1519.39,1865.77,2671.62
186,1611.85,1974.14,2840.57
187,1740.58,2125.01,3026.9
188,1763.25,2151.58,3085.74
189,1653.92,2023.45,2849.88
190,1507.3,1851.61,2279.42
191,1527.31,1875.07,2542.28
192,1386.99,1710.61,2031.32
