,2010,2015,2020
1,78.58,96.96,111.28
2,78.58,96.96,111.28
3,78.58,96.96,111.28
4,78.58,96.96,111.28
5,78.58,96.96,111.28
6,78.58,96.96,111.28
7,78.58,96.96,111.28
8,78.58,96.96,111.28
9,78.58,96.96,111.28
10,78.58,96.96,111.28
11,78.58,96.96,111.28
12,78.58,96.96,111.28
13,78.58,96.96,111.28
14,78.58,96.96,111.28
15,78.58,96.96,111.28
16,78.58,96.96,111.28
17,78.58,96.96,111.28
18,78.58,96.96,111.28
19,78.58,96.96,111.28
20,78.58,96.96,111.28
21,78.58,96.96,111.28
22,78.58,96.96,111.28
23,78.58,96.96,111.28
24,78.58,96.96,111.28
25,68.09,82.85,90.32
26,68.09,82.85,90.32
27,68.09,82.85,90.32
28,68.09,82.85,90.32
29,68.09,82.85,90.32
30,68.09,82.85,90.32
31,68.09,82.85,90.32
32,68.09,82.85,90.32
33,68.09,82.85,90.32
34,68.09,82.85,90.32
35,68.09,82.85,90.32
36,68.09,82.85,90.32
37,68.09,82.85,90.32
38,68.09,82.85,90.32
39,68.09,82.85,90.32
40,68.09,82.85,90.32
41,68.09,82.85,90.32
42,68.09,82.85,90.32
43,68.09,82.85,90.32
44,68.09,82.85,90.32
45,68.09,82.85,90.32
46,68.09,82.85,90.32
47,68.09,82.85,90.32
48,68.09,82.85,90.32
49,70.32,82.85,102.2
50,70.32,82.85,102.2
51,70.32,82.85,102.2
52,70.32,82.85,102.2
53,70.32,82.85,102.2
54,70.32,82.85,102.2
55,70.32,82.85,102.2
56,70.32,82.85,102.2
57,70.32,82.85,102.2
58,70.32,82.85,102.2
59,70.32,82.85,102.2
60,70.32,82.85,102.2
61,70.32,82.85,102.2
62,70.32,82.85,102.2
63,70.32,82.85,102.2
64,70.32,82.85,102.2
65,70.32,82.85,102.2
66,70.32,82.85,102.2
67,70.32,82.85,102.2
68,70.32,82.85,102.2
69,70.32,82.85,102.2
70,70.32,82.85,102.2
71,70.32,82.85,102.2
72,70.32,82.85,102.2
73,56.5,75.25,75.84
74,56.5,75.25,75.84
75,56.5,75.25,75.84
76,56.5,75.25,75.84
77,56.5,75.25,75.84
78,56.5,75.25,75.84
79,56.5,75.25,75.84
80,56.5,75.25,75.84
81,56.5,75.25,75.84
82,56.5,75.25,75.84
83,56.5,75.25,75.84
84,56.5,75.25,75.84
85,56.5,75.25,75.84
86,56.5,75.25,75.84
87,56.5,75.25,75.84
88,56.5,75.25,75.84
89,56.5,75.25,75.84
90,56.5,75.25,75.84
91,56.5,75.25,75.84
92,56.5,75.25,75.84
93,56.5,75.25,75.84
94,56.5,75.25,75.84
95,56.5,75.25,75.84
96,56.5,75.25,75.84
97,70.32,89.36,102.2
98,70.32,89.36,102.2
99,70.32,89.36,102.2
100,70.32,89.36,102.2
101,70.32,89.36,102.2
102,70.32,89.36,102.2
103,70.32,89.36,102.2
104,70.32,89.36,102.2
105,70.32,89.36,102.2
106,70.32,89.36,102.2
107,70.32,89.36,102.2
108,70.32,89.36,102.2
109,70.32,89.36,102.2
110,70.32,89.36,102.2
111,70.32,89.36,102.2
112,70.32,89.36,102.2
113,70.32,89.36,102.2
114,70.32,89.36,102.2
115,70.32,89.36,102.2
116,70.32,89.36,102.2
117,70.32,89.36,102.2
118,70.32,89.36,102.2
119,70.32,89.36,102.2
120,70.32,89.36,102.2
121,55.94,75.25,82.85
122,55.94,75.25,82.85
123,55.94,75.25,82.85
124,55.94,75.25,82.85
125,55.94,75.25,82.85
126,55.94,75.25,82.85
127,55.94,75.25,82.85
128,55.94,75.25,82.85
129,55.94,75.25,82.85
130,55.94,75.25,82.85
131,55.94,75.25,82.85
132,55.94,75.25,82.85
133,55.94,75.25,82.85
134,55.94,75.25,82.85
135,55.94,75.25,82.85
136,55.94,75.25,82.85
137,55.94,75.25,82.85
138,55.94,75.25,82.85
139,55.94,75.25,82.85
140,55.94,75.25,82.85
141,55.94,75.25,82.85
142,55.94,75.25,82.85
143,55.94,75.25,82.85
144,55.94,75.25,82.85
145,73.73,89.36,101.8
146,73.73,89.36,101.8
147,73.73,89.36,101.8
148,73.73,89.36,101.8
149,73.73,89.36,101.8
150,73.73,89.36,101.8
151,73.73,89.36,101.8
152,73.73,89.36,101.8
153,73.73,89.36,101.8
154,73.73,89.36,101.8
155,73.73,89.36,101.8
156,73.73,89.36,101.8
157,73.73,89.36,101.8
158,73.73,89.36,101.8
159,73.73,89.36,101.8
160,73.73,89.36,101.8
161,73.73,89.36,101.8
162,73.73,89.36,101.8
163,73.73,89.36,101.8
164,73.73,89.36,101.8
165,73.73,89.36,101.8
166,73.73,89.36,101.8
167,73.73,89.36,101.8
168,73.73,89.36,101.8
169,58.67,75.25,82.85
170,58.67,75.25,82.85
171,58.67,75.25,82.85
172,58.67,75.25,82.85
173,58.67,75.25,82.85
174,58.67,75.25,82.85
175,58.67,75.25,82.85
176,58.67,75.25,82.85
177,58.67,75.25,82.85
178,58.67,75.25,82.85
179,58.67,75.25,82.85
180,58.67,75.25,82.85
181,58.67,75.25,82.85
182,58.67,75.25,82.85
183,58.67,75.25,82.85
184,58.67,75.25,82.85
185,58.67,75.25,82.85
186,58.67,75.25,82.85
187,58.67,75.25,82.85
188,58.67,75.25,82.85
189,58.67,75.25,82.85
190,58.67,75.25,82.85
191,58.67,75.25,82.85
192,58.67,75.25,82.85
