,2010,2015,2020
1,0.077,0.035,0.036
2,0.077,0.03,0.036
3,0.069,0.03,0.036
4,0.077,0.03,0.031
5,0.069,0.03,0.034
6,0.077,0.038,0.036
7,0.089,0.041,0.043
8,0.094,0.084,0.057
9,0.094,0.089,0.059
10,0.094,0.089,0.059
11,0.094,0.07,0.059
12,0.094,0.069,0.059
13,0.094,0.089,0.059
14,0.094,0.089,0.058
15,0.094,0.083,0.057
16,0.094,0.084,0.057
17,0.094,0.089,0.059
18,0.094,0.089,0.059
19,0.094,0.085,0.059
20,0.094,0.084,0.055
21,0.09,0.071,0.046
22,0.089,0.042,0.042
23,0.089,0.041,0.042
24,0.087,0.041,0.042
25,0.028,0.012,0.015
26,0.031,0.01,0.013
27,0.027,0.01,0.011
28,0.024,0.01,0.011
29,0.024,0.01,0.011
30,0.026,0.01,0.011
31,0.026,0.01,0.011
32,0.028,0.012,0.015
33,0.031,0.013,0.014
34,0.031,0.016,0.017
35,0.031,0.016,0.017
36,0.031,0.017,0.017
37,0.031,0.014,0.017
38,0.031,0.013,0.015
39,0.031,0.013,0.015
40,0.031,0.015,0.015
41,0.031,0.016,0.017
42,0.037,0.017,0.018
43,0.037,0.016,0.018
44,0.034,0.016,0.018
45,0.031,0.012,0.015
46,0.031,0.012,0.015
47,0.031,0.012,0.017
48,0.028,0.012,0.014
49,0.053,0.026,0.027
50,0.037,0.026,0.026
51,0.04,0.026,0.026
52,0.036,0.026,0.025
53,0.04,0.026,0.026
54,0.067,0.026,0.031
55,0.077,0.035,0.037
56,0.073,0.035,0.044
57,0.081,0.041,0.044
58,0.076,0.035,0.044
59,0.078,0.035,0.044
60,0.08,0.035,0.044
61,0.072,0.035,0.037
62,0.07,0.035,0.037
63,0.072,0.035,0.037
64,0.077,0.035,0.039
65,0.077,0.037,0.04
66,0.072,0.038,0.044
67,0.074,0.038,0.044
68,0.074,0.035,0.037
69,0.074,0.035,0.037
70,0.077,0.03,0.035
71,0.077,0.03,0.031
72,0.073,0.026,0.031
73,0.015,0.01,0.011
74,0.013,0.01,0.01
75,0.011,0.01,0.01
76,0.008,0.01,0.009
77,0.008,0.01,0.009
78,0.011,0.01,0.009
79,0.013,0.01,0.01
80,0.015,0.01,0.011
81,0.016,0.01,0.011
82,0.016,0.01,0.011
83,0.02,0.01,0.011
84,0.022,0.01,0.011
85,0.016,0.01,0.011
86,0.016,0.01,0.011
87,0.016,0.01,0.011
88,0.016,0.01,0.011
89,0.016,0.01,0.011
90,0.016,0.01,0.011
91,0.016,0.01,0.011
92,0.016,0.01,0.011
93,0.021,0.01,0.011
94,0.016,0.01,0.011
95,0.019,0.01,0.011
96,0.015,0.01,0.011
97,0.041,0.026,0.027
98,0.031,0.026,0.025
99,0.026,0.025,0.024
100,0.022,0.025,0.023
101,0.025,0.025,0.023
102,0.037,0.026,0.026
103,0.07,0.03,0.037
104,0.078,0.035,0.042
105,0.073,0.039,0.044
106,0.072,0.036,0.044
107,0.082,0.038,0.044
108,0.084,0.041,0.044
109,0.076,0.035,0.043
110,0.071,0.035,0.042
111,0.07,0.034,0.043
112,0.072,0.034,0.04
113,0.07,0.034,0.043
114,0.077,0.035,0.048
115,0.08,0.035,0.049
116,0.069,0.035,0.042
117,0.069,0.035,0.037
118,0.074,0.031,0.037
119,0.074,0.031,0.031
120,0.057,0.026,0.027
121,0.009,0.01,0.01
122,0.008,0.01,0.009
123,0.008,0.01,0.009
124,0.008,0.009,0.008
125,0.008,0.009,0.008
126,0.008,0.009,0.008
127,0.008,0.01,0.009
128,0.009,0.01,0.01
129,0.012,0.01,0.011
130,0.017,0.01,0.011
131,0.017,0.01,0.011
132,0.017,0.01,0.011
133,0.017,0.01,0.011
134,0.017,0.01,0.011
135,0.017,0.01,0.011
136,0.013,0.01,0.011
137,0.012,0.01,0.011
138,0.017,0.01,0.011
139,0.017,0.01,0.011
140,0.012,0.01,0.011
141,0.011,0.01,0.011
142,0.017,0.01,0.011
143,0.017,0.01,0.011
144,0.009,0.01,0.01
145,0.066,0.026,0.027
146,0.045,0.026,0.027
147,0.045,0.026,0.027
148,0.037,0.026,0.026
149,0.044,0.026,0.027
150,0.072,0.027,0.032
151,0.077,0.037,0.042
152,0.09,0.048,0.044
153,0.09,0.045,0.055
154,0.09,0.041,0.053
155,0.09,0.041,0.045
156,0.09,0.041,0.044
157,0.09,0.035,0.042
158,0.09,0.035,0.042
159,0.088,0.035,0.046
160,0.088,0.035,0.042
161,0.085,0.035,0.048
162,0.089,0.04,0.047
163,0.094,0.048,0.044
164,0.094,0.047,0.047
165,0.085,0.041,0.048
166,0.077,0.031,0.04
167,0.077,0.031,0.042
168,0.069,0.028,0.032
169,0.02,0.01,0.011
170,0.015,0.01,0.01
171,0.015,0.01,0.01
172,0.011,0.01,0.009
173,0.011,0.01,0.009
174,0.014,0.01,0.01
175,0.015,0.01,0.011
176,0.02,0.01,0.011
177,0.021,0.01,0.011
178,0.021,0.01,0.011
179,0.023,0.01,0.011
180,0.025,0.01,0.011
181,0.021,0.01,0.011
182,0.021,0.01,0.011
183,0.017,0.01,0.011
184,0.021,0.01,0.011
185,0.021,0.01,0.011
186,0.026,0.01,0.011
187,0.028,0.01,0.011
188,0.028,0.01,0.011
189,0.025,0.01,0.011
190,0.02,0.01,0.011
191,0.021,0.01,0.011
192,0.02,0.01,0.011
