,2010,2015,2020
COA_SC_LN,102.803,68.535,68.535
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,16.123,46.414,80.615
GAS_CC,53.645,53.645,53.645
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,464.888,464.888,464.888
REW_HYD_LG,52.828,116.222,84.525
REW_HYD_PS,13.917,13.917,13.917
REW_WND_ON_2530,74.784,74.784,99.151
REW_WND_ON_3035,0.0,98.688,98.688
REW_WND_ON_3540,0.0,217.888,217.888
REW_WND_ON_40UP,0.0,98.688,98.688
REW_PV_UTI,23.375,37.4,37.4
REW_PV_RFT,0.0,0.0,0.0
BIO_ST,56.337,56.337,56.337
BIO_CHP,23.61,23.61,23.61
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,17.518,17.518,17.518
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,13.338,13.338,13.338
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,27.219
OIL_ST,19.515,19.515,19.515
