,2010,2015,2020
COA_SC_LN,840.0,560.0,560.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,330.0,950.0,1650.0
GAS_CC,800.0,800.0,800.0
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,1600.0,1600.0,1600.0
REW_HYD_LG,500.0,1100.0,800.0
REW_HYD_PS,80.0,80.0,80.0
REW_WND_ON_2530,620.0,620.0,878.0
REW_WND_ON_3035,0.0,999.0,999.0
REW_WND_ON_3540,0.0,1399.0,1399.0
REW_WND_ON_40UP,0.0,999.0,999.0
REW_PV_UTI,150.0,240.0,240.0
REW_PV_RFT,0.0,0.0,0.0
BIO_ST,350.0,350.0,350.0
BIO_CHP,120.0,120.0,120.0
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,150.0,150.0,150.0
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,240.0,240.0,240.0
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,200.0
OIL_ST,150.0,150.0,150.0
