,2010,2015,2020
COA_SC_LN,22.68,15.12,15.12
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,6.27,27.15,49.55
GAS_CC,12.8,12.8,12.8
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,112.0,112.0,112.0
REW_HYD_LG,14.5,35.2,26.5
REW_HYD_PS,3.84,3.84,3.84
REW_WND_ON_2530,16.12,16.12,21.844
REW_WND_ON_3035,0.0,23.182,23.182
REW_WND_ON_3540,0.0,73.582,73.582
REW_WND_ON_40UP,0.0,23.182,23.182
REW_PV_UTI,2.85,4.56,4.56
REW_PV_RFT,0.0,0.0,0.0
BIO_ST,14.35,14.35,14.35
BIO_CHP,6.12,6.12,6.12
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,6.0,6.0,6.0
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,5.52,5.52,5.52
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,11.142
OIL_ST,12.0,12.0,12.0
