COA_SC_LN,2010,2015,2020
1,0.44,8.83,0.0
2,0.44,8.83,0.0
3,0.44,8.83,0.0
4,0.44,8.83,0.0
5,0.44,8.83,0.0
6,0.44,8.83,0.0
7,0.44,8.83,0.0
8,0.44,8.83,0.0
9,0.44,8.83,0.0
10,0.44,8.83,0.0
11,0.44,8.83,0.0
12,0.44,8.83,0.0
13,0.44,8.83,0.0
14,0.44,8.83,0.0
15,0.44,8.83,0.0
16,0.44,8.83,0.0
17,0.44,8.83,0.0
18,0.44,8.83,0.0
19,0.44,8.83,0.0
20,0.44,8.83,0.0
21,0.44,8.83,0.0
22,0.44,8.83,0.0
23,0.44,8.83,0.0
24,0.44,8.83,0.0
25,0.44,0.0,0.0
26,0.44,0.0,0.0
27,0.44,0.0,0.0
28,0.44,0.0,0.0
29,0.44,0.0,0.0
30,0.44,0.0,0.0
31,0.44,0.0,0.0
32,0.44,0.0,0.0
33,0.44,0.0,0.0
34,0.44,0.0,0.0
35,0.44,0.0,0.0
36,0.44,0.0,0.0
37,0.44,0.0,0.0
38,0.44,0.0,0.0
39,0.44,0.0,0.0
40,0.44,0.0,0.0
41,0.44,0.0,0.0
42,0.44,0.0,0.0
43,0.44,0.0,0.0
44,0.44,0.0,0.0
45,0.44,0.0,0.0
46,0.44,0.0,0.0
47,0.44,0.0,0.0
48,0.44,0.0,0.0
49,0.44,0.0,0.0
50,0.44,0.0,0.0
51,0.44,0.0,0.0
52,0.44,0.0,0.0
53,0.44,0.0,0.0
54,0.44,0.0,0.0
55,0.44,0.0,0.0
56,0.44,0.0,0.0
57,0.44,0.0,0.0
58,0.44,0.0,0.0
59,0.44,0.0,0.0
60,0.44,0.0,0.0
61,0.44,0.0,0.0
62,0.44,0.0,0.0
63,0.44,0.0,0.0
64,0.44,0.0,0.0
65,0.44,0.0,0.0
66,0.44,0.0,0.0
67,0.44,0.0,0.0
68,0.44,0.0,0.0
69,0.44,0.0,0.0
70,0.44,0.0,0.0
71,0.44,0.0,0.0
72,0.44,0.0,0.0
73,8.83,0.0,0.0
74,8.83,0.0,0.0
75,8.83,0.0,0.0
76,8.83,0.0,0.0
77,8.83,0.0,0.0
78,8.83,0.0,0.0
79,8.83,0.0,0.0
80,8.83,0.0,0.0
81,8.83,0.0,0.0
82,8.83,0.0,0.0
83,8.83,0.0,0.0
84,8.83,0.0,0.0
85,8.83,0.0,0.0
86,8.83,0.0,0.0
87,8.83,0.0,0.0
88,8.83,0.0,0.0
89,8.83,0.0,0.0
90,8.83,0.0,0.0
91,8.83,0.0,0.0
92,8.83,0.0,0.0
93,8.83,0.0,0.0
94,8.83,0.0,0.0
95,8.83,0.0,0.0
96,8.83,0.0,0.0
97,0.44,0.0,0.0
98,0.44,0.0,0.0
99,0.44,0.0,0.0
100,0.44,0.0,0.0
101,0.44,0.0,0.0
102,0.44,0.0,0.0
103,0.44,0.0,0.0
104,0.44,0.0,0.0
105,0.44,0.0,0.0
106,0.44,0.0,0.0
107,0.44,0.0,0.0
108,0.44,0.0,0.0
109,0.44,0.0,0.0
110,0.44,0.0,0.0
111,0.44,0.0,0.0
112,0.44,0.0,0.0
113,0.44,0.0,0.0
114,0.44,0.0,0.0
115,0.44,0.0,0.0
116,0.44,0.0,0.0
117,0.44,0.0,0.0
118,0.44,0.0,0.0
119,0.44,0.0,0.0
120,0.44,0.0,0.0
121,9.13,0.0,0.0
122,9.13,0.0,0.0
123,9.13,0.0,0.0
124,9.13,0.0,0.0
125,9.13,0.0,0.0
126,9.13,0.0,0.0
127,9.13,0.0,0.0
128,9.13,0.0,0.0
129,9.13,0.0,0.0
130,9.13,0.0,0.0
131,9.13,0.0,0.0
132,9.13,0.0,0.0
133,9.13,0.0,0.0
134,9.13,0.0,0.0
135,9.13,0.0,0.0
136,9.13,0.0,0.0
137,9.13,0.0,0.0
138,9.13,0.0,0.0
139,9.13,0.0,0.0
140,9.13,0.0,0.0
141,9.13,0.0,0.0
142,9.13,0.0,0.0
143,9.13,0.0,0.0
144,9.13,0.0,0.0
145,0.44,0.0,0.0
