COA_SC_LN,2010,2015,2020
1,47997.95,0.0,0.0
2,47997.95,0.0,0.0
3,39958.1,0.0,0.0
4,47997.95,0.0,0.0
5,39958.1,0.0,0.0
6,47997.95,0.0,0.0
7,47997.95,0.0,0.0
8,47997.95,27697.8,0.0
9,47997.95,28943.2,0.0
10,47997.95,28943.2,0.0
11,47997.95,22915.75,0.0
12,47997.95,21557.9,0.0
13,47997.95,28943.2,0.0
14,47997.95,28943.2,0.0
15,47997.95,27044.55,0.0
16,47997.95,27359.15,0.0
17,47997.95,28943.2,0.0
18,47997.95,28943.2,0.0
19,47997.95,28761.2,0.0
20,47997.95,25153.05,0.0
21,47997.95,17540.9,0.0
22,47997.95,0.0,0.0
23,47997.95,0.0,0.0
24,47997.95,0.0,0.0
25,15983.24,0.0,0.0
26,19199.18,0.0,0.0
27,15602.34,0.0,0.0
28,13400.66,0.0,0.0
29,13030.16,0.0,0.0
30,14414.92,0.0,0.0
31,15133.82,0.0,0.0
32,15983.24,0.0,0.0
33,19199.18,0.0,0.0
34,19199.18,0.0,0.0
35,19199.18,0.0,0.0
36,19199.18,0.0,0.0
37,19199.18,0.0,0.0
38,19199.18,0.0,0.0
39,19199.18,0.0,0.0
40,19199.18,0.0,0.0
41,19199.18,0.0,0.0
42,19199.18,0.0,0.0
43,19199.18,0.0,0.0
44,19199.18,0.0,0.0
45,19199.18,0.0,0.0
46,19199.18,0.0,0.0
47,19199.18,0.0,0.0
48,15983.24,0.0,0.0
49,26637.65,0.0,0.0
50,13195.0,0.0,0.0
51,16079.7,0.0,0.0
52,13195.0,0.0,0.0
53,16079.7,0.0,0.0
54,38413.05,0.0,0.0
55,47997.95,0.0,0.0
56,39892.45,0.0,0.0
57,47298.55,0.0,0.0
58,43212.0,0.0,0.0
59,44755.75,0.0,0.0
60,46692.1,0.0,0.0
61,39450.45,0.0,0.0
62,36751.65,0.0,0.0
63,38623.65,0.0,0.0
64,47997.95,0.0,0.0
65,47997.95,0.0,0.0
66,39145.6,0.0,0.0
67,40827.15,0.0,0.0
68,41403.05,0.0,0.0
69,40756.95,0.0,0.0
70,47997.95,0.0,0.0
71,47997.95,0.0,0.0
72,43838.6,0.0,0.0
73,5278.0,0.0,0.0
74,4235.92,0.0,0.0
75,2731.56,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,2593.24,0.0,0.0
79,4430.92,0.0,0.0
80,5278.0,0.0,0.0
81,5278.0,0.0,0.0
82,5278.0,0.0,0.0
83,9047.74,0.0,0.0
84,10683.14,0.0,0.0
85,5278.0,0.0,0.0
86,5278.0,0.0,0.0
87,5278.0,0.0,0.0
88,5278.0,0.0,0.0
89,5278.0,0.0,0.0
90,5278.0,0.0,0.0
91,5278.0,0.0,0.0
92,5278.0,0.0,0.0
93,9825.14,0.0,0.0
94,5278.0,0.0,0.0
95,7874.62,0.0,0.0
96,5278.0,0.0,0.0
97,16079.7,0.0,0.0
98,8353.15,0.0,0.0
99,4700.8,0.0,0.0
100,917.8,0.0,0.0
101,3257.15,0.0,0.0
102,13195.0,0.0,0.0
103,40999.4,0.0,0.0
104,47997.95,0.0,0.0
105,40199.25,0.0,0.0
106,38695.15,0.0,0.0
107,47782.8,0.0,0.0
108,47997.95,0.0,0.0
109,43115.8,0.0,0.0
110,38593.75,0.0,0.0
111,37607.7,0.0,0.0
112,38805.0,0.0,0.0
113,36656.75,0.0,0.0
114,47997.95,0.0,0.0
115,47997.95,0.0,0.0
116,39958.1,0.0,0.0
117,39958.1,0.0,0.0
118,45193.85,0.0,0.0
119,45193.85,0.0,0.0
120,29009.5,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,1613.82,0.0,0.0
130,6431.88,0.0,0.0
131,6431.88,0.0,0.0
132,6431.88,0.0,0.0
133,6431.88,0.0,0.0
134,6431.88,0.0,0.0
135,6431.88,0.0,0.0
136,2529.28,0.0,0.0
137,2143.44,0.0,0.0
138,6431.88,0.0,0.0
139,6431.88,0.0,0.0
140,1650.22,0.0,0.0
141,1082.9,0.0,0.0
142,6431.88,0.0,0.0
143,6431.88,0.0,0.0
144,0.0,0.0,0.0
145,37430.9,0.0,0.0
146,19620.9,0.0,0.0
147,19979.7,0.0,0.0
148,13195.0,0.0,0.0
149,19352.45,0.0,0.0
150,42636.75,0.0,0.0
151,47997.95,0.0,0.0
152,47997.95,0.0,0.0
153,47997.95,0.0,0.0
154,47997.95,0.0,0.0
155,47997.95,0.0,0.0
156,47997.95,0.0,0.0
157,47997.95,0.0,0.0
158,47997.95,0.0,0.0
159,47997.95,0.0,0.0
160,47997.95,0.0,0.0
161,47997.95,0.0,0.0
162,47997.95,0.0,0.0
163,47997.95,0.0,0.0
164,47997.95,0.0,0.0
165,47997.95,0.0,0.0
166,47997.95,0.0,0.0
167,47997.95,0.0,0.0
168,39958.1,0.0,0.0
169,9356.88,0.0,0.0
170,5278.0,0.0,0.0
171,5204.42,0.0,0.0
172,2777.32,0.0,0.0
173,2668.9,0.0,0.0
174,4815.72,0.0,0.0
175,5278.0,0.0,0.0
176,8816.34,0.0,0.0
177,9647.82,0.0,0.0
178,10275.46,0.0,0.0
179,11828.44,0.0,0.0
180,13883.74,0.0,0.0
181,9647.82,0.0,0.0
182,9647.82,0.0,0.0
183,6567.08,0.0,0.0
184,9647.82,0.0,0.0
185,9478.56,0.0,0.0
186,14710.54,0.0,0.0
187,16855.28,0.0,0.0
188,16855.28,0.0,0.0
189,13705.38,0.0,0.0
190,9271.6,0.0,0.0
191,9647.82,0.0,0.0
192,9647.82,0.0,0.0
COA_USC_LN,2010,2015,2020
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
