COA_SC_LN,2010,2015,2020
1,738.43,0.0,0.0
2,738.43,0.0,0.0
3,614.74,0.0,0.0
4,738.43,0.0,0.0
5,614.74,0.0,0.0
6,738.43,0.0,0.0
7,738.43,0.0,0.0
8,738.43,426.12,0.0
9,738.43,445.28,0.0
10,738.43,445.28,0.0
11,738.43,352.55,0.0
12,738.43,331.66,0.0
13,738.43,445.28,0.0
14,738.43,445.28,0.0
15,738.43,416.07,0.0
16,738.43,420.91,0.0
17,738.43,445.28,0.0
18,738.43,445.28,0.0
19,738.43,442.48,0.0
20,738.43,386.97,0.0
21,738.43,269.86,0.0
22,738.43,0.0,0.0
23,738.43,0.0,0.0
24,738.43,0.0,0.0
25,614.74,0.0,0.0
26,738.43,0.0,0.0
27,600.09,0.0,0.0
28,515.41,0.0,0.0
29,501.16,0.0,0.0
30,554.42,0.0,0.0
31,582.07,0.0,0.0
32,614.74,0.0,0.0
33,738.43,0.0,0.0
34,738.43,0.0,0.0
35,738.43,0.0,0.0
36,738.43,0.0,0.0
37,738.43,0.0,0.0
38,738.43,0.0,0.0
39,738.43,0.0,0.0
40,738.43,0.0,0.0
41,738.43,0.0,0.0
42,738.43,0.0,0.0
43,738.43,0.0,0.0
44,738.43,0.0,0.0
45,738.43,0.0,0.0
46,738.43,0.0,0.0
47,738.43,0.0,0.0
48,614.74,0.0,0.0
49,409.81,0.0,0.0
50,203.0,0.0,0.0
51,247.38,0.0,0.0
52,203.0,0.0,0.0
53,247.38,0.0,0.0
54,590.97,0.0,0.0
55,738.43,0.0,0.0
56,613.73,0.0,0.0
57,727.67,0.0,0.0
58,664.8,0.0,0.0
59,688.55,0.0,0.0
60,718.34,0.0,0.0
61,606.93,0.0,0.0
62,565.41,0.0,0.0
63,594.21,0.0,0.0
64,738.43,0.0,0.0
65,738.43,0.0,0.0
66,602.24,0.0,0.0
67,628.11,0.0,0.0
68,636.97,0.0,0.0
69,627.03,0.0,0.0
70,738.43,0.0,0.0
71,738.43,0.0,0.0
72,674.44,0.0,0.0
73,203.0,0.0,0.0
74,162.92,0.0,0.0
75,105.06,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,99.74,0.0,0.0
79,170.42,0.0,0.0
80,203.0,0.0,0.0
81,203.0,0.0,0.0
82,203.0,0.0,0.0
83,347.99,0.0,0.0
84,410.89,0.0,0.0
85,203.0,0.0,0.0
86,203.0,0.0,0.0
87,203.0,0.0,0.0
88,203.0,0.0,0.0
89,203.0,0.0,0.0
90,203.0,0.0,0.0
91,203.0,0.0,0.0
92,203.0,0.0,0.0
93,377.89,0.0,0.0
94,203.0,0.0,0.0
95,302.87,0.0,0.0
96,203.0,0.0,0.0
97,247.38,0.0,0.0
98,128.51,0.0,0.0
99,72.32,0.0,0.0
100,14.12,0.0,0.0
101,50.11,0.0,0.0
102,203.0,0.0,0.0
103,630.76,0.0,0.0
104,738.43,0.0,0.0
105,618.45,0.0,0.0
106,595.31,0.0,0.0
107,735.12,0.0,0.0
108,738.43,0.0,0.0
109,663.32,0.0,0.0
110,593.75,0.0,0.0
111,578.58,0.0,0.0
112,597.0,0.0,0.0
113,563.95,0.0,0.0
114,738.43,0.0,0.0
115,738.43,0.0,0.0
116,614.74,0.0,0.0
117,614.74,0.0,0.0
118,695.29,0.0,0.0
119,695.29,0.0,0.0
120,446.3,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,62.07,0.0,0.0
130,247.38,0.0,0.0
131,247.38,0.0,0.0
132,247.38,0.0,0.0
133,247.38,0.0,0.0
134,247.38,0.0,0.0
135,247.38,0.0,0.0
136,97.28,0.0,0.0
137,82.44,0.0,0.0
138,247.38,0.0,0.0
139,247.38,0.0,0.0
140,63.47,0.0,0.0
141,41.65,0.0,0.0
142,247.38,0.0,0.0
143,247.38,0.0,0.0
144,0.0,0.0,0.0
145,575.86,0.0,0.0
146,301.86,0.0,0.0
147,307.38,0.0,0.0
148,203.0,0.0,0.0
149,297.73,0.0,0.0
150,655.95,0.0,0.0
151,738.43,0.0,0.0
152,738.43,0.0,0.0
153,738.43,0.0,0.0
154,738.43,0.0,0.0
155,738.43,0.0,0.0
156,738.43,0.0,0.0
157,738.43,0.0,0.0
158,738.43,0.0,0.0
159,738.43,0.0,0.0
160,738.43,0.0,0.0
161,738.43,0.0,0.0
162,738.43,0.0,0.0
163,738.43,0.0,0.0
164,738.43,0.0,0.0
165,738.43,0.0,0.0
166,738.43,0.0,0.0
167,738.43,0.0,0.0
168,614.74,0.0,0.0
169,359.88,0.0,0.0
170,203.0,0.0,0.0
171,200.17,0.0,0.0
172,106.82,0.0,0.0
173,102.65,0.0,0.0
174,185.22,0.0,0.0
175,203.0,0.0,0.0
176,339.09,0.0,0.0
177,371.07,0.0,0.0
178,395.21,0.0,0.0
179,454.94,0.0,0.0
180,533.99,0.0,0.0
181,371.07,0.0,0.0
182,371.07,0.0,0.0
183,252.58,0.0,0.0
184,371.07,0.0,0.0
185,364.56,0.0,0.0
186,565.79,0.0,0.0
187,648.28,0.0,0.0
188,648.28,0.0,0.0
189,527.13,0.0,0.0
190,356.6,0.0,0.0
191,371.07,0.0,0.0
192,371.07,0.0,0.0
COA_USC_LN,2010,2015,2020
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
