,2010,2015,2020
1,591.3,591.3,727.22
2,591.3,591.3,727.22
3,591.3,591.3,727.22
4,591.3,591.3,727.22
5,591.3,591.3,727.22
6,591.3,591.3,727.22
7,591.3,591.3,727.22
8,591.3,591.3,727.22
9,591.3,591.3,727.22
10,591.3,591.3,727.22
11,591.3,591.3,727.22
12,591.3,591.3,727.22
13,591.3,591.3,727.22
14,591.3,591.3,727.22
15,591.3,591.3,727.22
16,591.3,591.3,727.22
17,591.3,591.3,727.22
18,591.3,591.3,727.22
19,591.3,591.3,727.22
20,591.3,591.3,727.22
21,591.3,591.3,727.22
22,591.3,591.3,727.22
23,591.3,591.3,727.22
24,591.3,591.3,727.22
25,591.3,591.3,727.22
26,591.3,591.3,727.22
27,591.3,591.3,727.22
28,567.14,591.3,727.22
29,562.47,591.3,727.22
30,577.25,591.3,727.22
31,585.07,591.3,727.22
32,591.3,591.3,727.22
33,591.3,591.3,727.22
34,591.3,591.3,727.22
35,591.3,591.3,727.22
36,591.3,591.3,727.22
37,591.3,591.3,727.22
38,591.3,591.3,727.22
39,591.3,591.3,727.22
40,591.3,591.3,727.22
41,591.3,591.3,727.22
42,591.3,591.3,727.22
43,591.3,591.3,727.22
44,591.3,591.3,727.22
45,591.3,591.3,727.22
46,591.3,591.3,727.22
47,591.3,591.3,727.22
48,591.3,591.3,727.22
49,569.31,591.3,727.22
50,535.3,591.3,719.4
51,521.28,591.3,700.55
52,507.39,591.3,681.88
53,520.54,591.3,699.56
54,582.57,591.3,727.22
55,591.3,591.3,727.22
56,591.3,591.3,727.22
57,591.3,591.3,727.22
58,591.3,591.3,727.22
59,591.3,591.3,727.22
60,591.3,591.3,727.22
61,591.3,591.3,727.22
62,591.3,591.3,727.22
63,591.3,591.3,727.22
64,591.3,591.3,727.22
65,591.3,591.3,727.22
66,591.3,591.3,727.22
67,591.3,591.3,727.22
68,591.3,591.3,727.22
69,591.3,591.3,727.22
70,591.3,591.3,727.22
71,591.3,591.3,727.22
72,591.3,591.3,727.22
73,547.46,591.3,727.22
74,509.73,591.3,685.04
75,494.5,579.54,664.57
76,473.55,554.98,636.41
77,471.84,552.97,634.1
78,489.44,573.6,657.76
79,504.51,591.27,678.02
80,547.75,591.3,727.22
81,589.28,591.3,727.22
82,591.3,591.3,727.22
83,591.3,591.3,727.22
84,591.3,591.3,727.22
85,591.3,591.3,727.22
86,591.3,591.3,727.22
87,582.29,591.3,727.22
88,570.31,591.3,727.22
89,565.84,591.3,727.22
90,573.23,591.3,727.22
91,583.81,591.3,727.22
92,591.3,591.3,727.22
93,591.3,591.3,727.22
94,587.61,591.3,727.22
95,591.3,591.3,727.22
96,551.23,591.3,727.22
97,541.57,591.3,727.22
98,506.51,591.3,680.71
99,492.39,577.06,661.72
100,476.65,558.61,640.58
101,485.84,569.38,652.92
102,531.21,591.3,713.9
103,591.3,591.3,727.22
104,591.3,591.3,727.22
105,591.3,591.3,727.22
106,591.3,591.3,727.22
107,591.3,591.3,727.22
108,591.3,591.3,727.22
109,591.3,591.3,727.22
110,591.3,591.3,727.22
111,591.3,591.3,727.22
112,591.3,591.3,727.22
113,591.3,591.3,727.22
114,591.3,591.3,727.22
115,591.3,591.3,727.22
116,591.3,591.3,727.22
117,591.3,591.3,727.22
118,591.3,591.3,727.22
119,591.3,591.3,727.22
120,583.55,591.3,727.22
121,521.02,591.3,700.21
122,484.23,567.49,650.76
123,466.13,546.28,626.44
124,446.25,522.98,599.71
125,440.15,515.83,591.52
126,445.91,522.59,599.27
127,473.25,554.63,636.0
128,516.7,591.3,694.4
129,563.66,591.3,727.22
130,591.3,591.3,727.22
131,591.3,591.3,727.22
132,591.3,591.3,727.22
133,591.3,591.3,727.22
134,591.3,591.3,727.22
135,584.58,591.3,727.22
136,577.76,591.3,727.22
137,572.88,591.3,727.22
138,576.96,591.3,727.22
139,573.56,591.3,727.22
140,565.04,591.3,727.22
141,561.77,591.3,727.22
142,562.82,591.3,727.22
143,562.9,591.3,727.22
144,518.74,591.3,697.14
145,585.0,591.3,727.22
146,553.85,591.3,727.22
147,540.02,591.3,725.74
148,524.37,591.3,704.71
149,537.89,591.3,722.87
150,591.3,591.3,727.22
151,591.3,591.3,727.22
152,591.3,591.3,727.22
153,591.3,591.3,727.22
154,591.3,591.3,727.22
155,591.3,591.3,727.22
156,591.3,591.3,727.22
157,591.3,591.3,727.22
158,591.3,591.3,727.22
159,591.3,591.3,727.22
160,591.3,591.3,727.22
161,591.3,591.3,727.22
162,591.3,591.3,727.22
163,591.3,591.3,727.22
164,591.3,591.3,727.22
165,591.3,591.3,727.22
166,591.3,591.3,727.22
167,591.3,591.3,727.22
168,591.3,591.3,727.22
169,564.99,591.3,727.22
170,529.16,591.3,711.15
171,511.04,591.3,686.79
172,488.08,572.0,655.93
173,486.63,570.31,653.99
174,506.16,591.3,680.23
175,536.2,591.3,720.6
176,580.84,591.3,727.22
177,591.3,591.3,727.22
178,591.3,591.3,727.22
179,591.3,591.3,727.22
180,591.3,591.3,727.22
181,591.3,591.3,727.22
182,591.3,591.3,727.22
183,591.3,591.3,727.22
184,591.3,591.3,727.22
185,591.3,591.3,727.22
186,591.3,591.3,727.22
187,591.3,591.3,727.22
188,591.3,591.3,727.22
189,591.3,591.3,727.22
190,591.3,591.3,727.22
191,591.3,591.3,727.22
192,567.04,591.3,727.22
