,2010,2015,2020
1,186938.05,261468.35,274931.8
2,186124.25,249840.5,273387.4
3,177498.75,247213.85,259367.55
4,185005.6,233140.7,243386.0
5,176915.05,241127.9,252627.7
6,185718.65,256453.6,267220.2
7,220579.45,278972.2,293404.15
8,239068.05,340485.6,328198.0
9,244769.2,357130.15,338997.1
10,245485.5,357663.8,339308.45
11,246424.1,326290.25,340737.8
12,247383.5,329349.8,343801.25
13,242671.65,359056.1,341023.15
14,242646.3,360275.5,341415.75
15,241953.4,348686.0,337399.4
16,240992.05,346635.9,335250.5
17,241010.9,359015.15,341273.4
18,247318.5,371075.9,353295.8
19,247785.85,365783.6,357096.35
20,242370.05,365300.0,342778.8
21,230968.4,340639.0,320321.95
22,226009.55,295099.35,306222.15
23,225059.9,294448.05,306697.95
24,213538.65,273904.15,294990.15
25,73021.0,101114.26,107887.78
26,74881.3,91154.18,104012.48
27,71018.22,90033.06,93983.24
28,68282.24,93631.2,93036.84
29,67764.58,93156.18,92563.9
30,69405.44,88582.26,92661.14
31,70274.62,88901.28,92843.92
32,71593.08,100014.98,107017.82
33,77186.2,103077.0,108513.86
34,77673.96,111943.26,121578.08
35,80153.84,115808.94,122436.6
36,80625.48,118834.56,123802.64
37,80682.42,108722.38,124612.54
38,78631.8,107091.92,116209.86
39,78318.24,106456.74,115688.3
40,77940.98,109779.8,114825.36
41,77996.36,112822.32,122663.32
42,97095.18,122413.2,129429.56
43,97698.12,119358.72,130485.94
44,89460.02,117330.98,127464.74
45,78451.36,110233.5,119706.86
46,78018.72,108744.22,114931.96
47,78041.08,108156.36,122160.74
48,74413.04,103830.74,112331.18
49,164555.95,238611.1,237153.8
50,149109.35,222807.65,233080.25
51,148515.9,219709.75,240960.85
52,147087.2,216824.4,237210.35
53,149287.45,226143.45,224012.1
54,174993.0,214490.9,239935.8
55,191176.7,246317.5,268832.85
56,196097.2,261716.65,290542.2
57,210115.75,281821.8,293082.4
58,208279.5,274220.05,301857.4
59,211698.5,279918.6,309016.5
60,214735.95,283770.5,312947.7
61,207463.75,286986.05,297590.15
62,204596.6,283218.65,294065.2
63,200967.0,283754.9,294873.8
64,197835.3,282539.4,298460.5
65,196363.05,272147.85,299448.5
66,197522.0,280135.7,302987.75
