encrops,2010,2015,2020
1,10801.266,14538.608,29077.215
2,7766.624,14538.608,29077.215
3,5946.835,14538.608,29077.215
4,3909.831,14532.405,29077.215
5,4611.097,14538.608,29077.215
6,9922.996,14538.608,29077.215
7,14538.608,14538.608,29077.215
8,14538.608,14538.608,29077.215
9,14538.608,14538.608,29077.215
10,14538.608,14538.608,29077.215
11,14538.608,14538.608,29077.215
12,14538.608,14538.608,29077.215
13,14538.608,14538.608,29077.215
14,14538.608,14538.608,29077.215
15,14538.608,14538.608,29077.215
16,14538.608,14538.608,29077.215
17,14538.608,14538.608,29077.215
18,14538.608,14538.608,29077.215
19,14538.608,14538.608,29077.215
20,14538.608,14538.608,29077.215
21,14538.608,14538.608,29077.215
22,14538.608,14538.608,29077.215
23,14538.608,14538.608,29077.215
24,14538.608,14538.608,29077.215
25,3111.435,5815.443,11630.886
26,1833.08,5815.443,11630.886
27,1024.093,5180.295,11630.886
28,18.354,4001.603,11630.886
29,0.0,3778.397,11630.886
30,431.266,4485.527,11630.886
31,750.633,4859.831,11630.886
32,2909.198,5815.443,11630.886
33,4693.966,5815.443,11630.886
34,5815.443,5815.443,11630.886
35,5815.443,5815.443,11630.886
36,5815.443,5815.443,11630.886
37,5815.443,5815.443,11630.886
38,5815.443,5815.443,11630.886
39,5815.443,5815.443,11630.886
40,5815.148,5815.443,11630.886
41,5815.443,5815.443,11630.886
42,5815.443,5815.443,11630.886
43,5815.443,5815.443,11630.886
44,5815.443,5815.443,11630.886
45,5815.443,5815.443,11630.886
46,4764.346,5815.443,11630.886
47,5747.764,5815.443,11630.886
48,4115.063,5815.443,11630.886
49,267.384,10263.586,29077.215
50,0.0,6194.304,29077.215
51,0.0,4516.498,29077.215
52,0.0,2853.882,29077.215
53,0.0,4427.848,29077.215
54,1621.899,11851.055,29077.215
55,11102.067,14538.608,29077.215
56,14538.608,14538.608,29077.215
57,14538.608,14538.608,29077.215
58,14538.608,14538.608,29077.215
59,14538.608,14538.608,29077.215
60,14538.608,14538.608,29077.215
61,14538.608,14538.608,29077.215
62,14538.608,14538.608,29077.215
63,14538.608,14538.608,29077.215
64,14538.608,14538.608,29077.215
65,14538.608,14538.608,29077.215
66,14538.608,14538.608,29077.215
67,14538.608,14538.608,29077.215
68,14538.608,14538.608,29077.215
69,14538.608,14538.608,29077.215
70,12021.35,14538.608,29077.215
71,10521.308,14538.608,29077.215
72,4709.662,14538.608,29077.215
73,0.0,3059.958,11630.886
74,0.0,1253.882,11630.886
75,0.0,524.937,11630.886
76,0.0,0.0,10563.08
77,0.0,0.0,10468.945
78,0.0,282.363,11435.105
79,0.0,1003.924,11630.886
80,0.0,3073.544,11630.886
81,922.869,5061.646,11630.886
82,2251.139,5815.443,11630.886
83,3057.51,5815.443,11630.886
84,3726.878,5815.443,11630.886
85,2479.747,5815.443,11630.886
86,1437.975,5665.316,11630.886
87,637.426,4727.131,11630.886
88,148.143,4153.713,11630.886
89,0.0,3939.536,11630.886
90,267.173,4293.207,11630.886
91,699.578,4799.958,11630.886
92,1462.194,5693.713,11630.886
93,2176.371,5815.443,11630.886
94,854.388,4981.435,11630.886
95,1171.477,5352.996,11630.886
96,0.0,3240.169,11630.886
97,0.0,6943.966,29077.215
98,0.0,2749.536,29077.215
99,0.0,1058.819,28992.532
100,0.0,0.0,26833.08
101,0.0,274.937,28093.629
102,0.0,5704.979,29077.215
103,6268.608,14538.608,29077.215
104,14538.608,14538.608,29077.215
105,14538.608,14538.608,29077.215
106,14538.608,14538.608,29077.215
107,14538.608,14538.608,29077.215
108,14538.608,14538.608,29077.215
109,14538.608,14538.608,29077.215
110,14538.608,14538.608,29077.215
111,14538.608,14538.608,29077.215
112,14538.608,14538.608,29077.215
113,14538.608,14538.608,29077.215
114,14538.608,14538.608,29077.215
115,14538.608,14538.608,29077.215
116,12678.734,14538.608,29077.215
117,10098.987,14538.608,29077.215
118,9228.565,14538.608,29077.215
119,7422.532,14538.608,29077.215
120,1721.983,11968.312,29077.215
121,0.0,1794.177,11630.886
122,0.0,32.996,11149.156
123,0.0,0.0,10155.696
124,0.0,0.0,9064.135
125,0.0,0.0,8729.409
126,0.0,0.0,9045.865
127,0.0,0.0,10546.414
128,0.0,1587.342,11630.886
129,0.0,3835.19,11630.886
130,1340.295,5550.844,11630.886
131,2344.979,5815.443,11630.886
132,3084.641,5815.443,11630.886
133,2174.093,5815.443,11630.886
134,1415.654,5639.198,11630.886
135,730.76,4836.498,11630.886
136,452.194,4510.042,11630.886
137,252.785,4276.329,11630.886
138,419.452,4471.646,11630.886
139,280.844,4309.24,11630.886
140,0.0,3901.055,11630.886
141,0.0,3744.684,11630.886
142,0.0,3795.148,11630.886
143,0.0,3798.987,11630.886
144,0.0,1685.021,11630.886
145,1869.873,12141.603,29077.215
146,0.0,8414.051,29077.215
147,0.0,6759.283,29077.215
148,0.0,4886.371,29077.215
149,0.0,6503.544,29077.215
150,3656.54,14235.527,29077.215
151,14538.608,14538.608,29077.215
152,14538.608,14538.608,29077.215
153,14538.608,14538.608,29077.215
154,14538.608,14538.608,29077.215
155,14538.608,14538.608,29077.215
156,14538.608,14538.608,29077.215
157,14538.608,14538.608,29077.215
158,14538.608,14538.608,29077.215
159,14538.608,14538.608,29077.215
160,14538.608,14538.608,29077.215
161,14538.608,14538.608,29077.215
162,14538.608,14538.608,29077.215
163,14538.608,14538.608,29077.215
164,14538.608,14538.608,29077.215
165,14538.608,14538.608,29077.215
166,14108.312,14538.608,29077.215
167,12326.118,14538.608,29077.215
168,6785.992,14538.608,29077.215
169,0.0,3898.903,11630.886
170,0.0,2183.966,11630.886
171,0.0,1316.371,11630.886
172,0.0,217.173,11360.38
173,0.0,148.059,11281.097
174,0.0,1082.785,11630.886
175,0.0,2520.717,11630.886
176,577.89,4657.384,11630.886
177,2221.139,5815.443,11630.886
178,3408.903,5815.443,11630.886
