,2010,2015,2020
COA_SUB_LN,27.0,27.0,27.0
COA_SC_LN,15.5,15.5,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,11.4,5.7,28.1
GAS_CC,4.8,9.6,28.811
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,164.15,164.15,216.4
REW_HYD_LG,43.5,43.5,29.0
REW_HYD_PS,7.2,7.2,7.2
REW_WND_ON_3035,31.2,31.2,23.187
REW_WND_ON_3540,0.0,20.884,20.884
REW_WND_ON_40UP,0.0,20.884,20.884
REW_WND_OFF_4045,0.0,75.6,75.6
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,41.8,41.8,41.8
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
BIO_ST,8.2,8.2,8.2
BIO_CHP,3.06,3.06,6.12
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,18.0,18.0,12.0
COA_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,0.0
OIL_ST,12.8,19.2,19.2
