REW_HYD_PS,2010,2015,2020
1,-142.5,-142.5,-142.5
2,-142.5,-142.5,-142.5
3,-142.5,-142.5,-142.5
4,-142.5,-142.5,-142.5
5,-142.5,-142.5,-142.5
6,-142.5,-142.5,-142.5
7,-47.5,-23.75,-23.75
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,-23.75,-47.5,-47.5
23,0.0,0.0,0.0
24,-142.5,-142.5,-142.5
25,0.0,-95.0,-95.0
26,-118.75,-142.5,-142.5
27,-142.5,-142.5,-142.5
28,-142.5,-142.5,-142.5
29,-142.5,-142.5,-142.5
30,-142.5,-142.5,-142.5
31,-142.5,-142.5,-142.5
32,0.0,-95.0,-118.75
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,-142.5,-23.75,0.0
38,-95.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,-142.5,-142.5,-142.5
50,-142.5,-142.5,-142.5
51,-142.5,-142.5,-142.5
52,-142.5,-142.5,-142.5
53,-142.5,-142.5,-142.5
54,-71.25,-142.5,-142.5
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,-47.5,0.0,0.0
61,-142.5,-71.25,-38.872
62,-95.0,-47.5,-19.241
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,-95.0,-142.5
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,-47.5
76,0.0,-47.5,-142.5
77,0.0,0.0,-142.5
78,0.0,0.0,-95.0
79,0.0,0.0,-47.5
80,0.0,0.0,0.0
81,-95.0,-23.75,0.0
82,-142.5,-142.5,-23.75
83,-142.5,-142.5,-47.5
84,-142.5,-142.5,0.0
85,-142.5,-142.5,-142.5
86,-142.5,-142.5,-142.5
87,-142.5,-142.5,-142.5
88,-118.75,-142.5,-95.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,-95.0,-142.5,-142.5
98,-142.5,-142.5,-142.5
99,-142.5,-142.5,-142.5
100,-142.5,-142.5,-142.5
101,-142.5,-142.5,-142.5
102,-142.5,-142.5,-142.5
103,0.0,-23.75,-71.25
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,-47.5,0.0,0.0
107,-47.5,0.0,0.0
108,-23.75,0.0,0.0
109,-95.0,-47.5,0.0
110,-47.5,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,-142.5,-142.5
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,-95.0
125,0.0,0.0,-142.5
126,0.0,0.0,-142.5
127,0.0,0.0,-118.75
128,-71.25,-71.25,-142.5
129,-142.5,-142.5,-95.0
130,-142.5,-142.5,-47.5
131,-142.5,-142.5,-47.5
132,-142.5,-142.5,0.0
133,-142.5,-142.5,-95.0
134,-142.5,-142.5,-95.0
135,-142.5,-142.5,-47.5
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
