,2010,2015,2020
1,38246.0,40327.3,37681.8
2,36555.35,40327.3,37681.8
3,35542.0,40327.3,37681.8
4,34407.1,40324.05,37681.8
5,34797.75,40327.3,37681.8
6,37756.55,40327.3,37681.8
7,40327.3,40327.3,37681.8
8,40327.3,40327.3,37681.8
9,40327.3,40327.3,37681.8
10,40327.3,40327.3,37681.8
11,40327.3,40327.3,37681.8
12,40327.3,40327.3,37681.8
13,40327.3,40327.3,37681.8
14,40327.3,40327.3,37681.8
15,40327.3,40327.3,37681.8
16,40327.3,40327.3,37681.8
17,40327.3,40327.3,37681.8
18,40327.3,40327.3,37681.8
19,40327.3,40327.3,37681.8
20,40327.3,40327.3,37681.8
21,40327.3,40327.3,37681.8
22,40327.3,40327.3,37681.8
23,40327.3,40327.3,37681.8
24,40327.3,40327.3,37681.8
25,14625.0,16130.92,15072.72
26,13912.86,16130.92,15072.72
27,13462.28,15777.32,15072.72
28,12901.98,15120.82,15072.72
29,12796.16,14996.54,15072.72
30,13132.08,15390.18,15072.72
31,13309.92,15598.7,15072.72
32,14512.16,16130.92,15072.72
33,15506.4,16130.92,15072.72
34,16130.92,16130.92,15072.72
35,16130.92,16130.92,15072.72
36,16130.92,16130.92,15072.72
37,16130.92,16130.92,15072.72
38,16130.92,16130.92,15072.72
39,16130.92,16130.92,15072.72
40,16130.92,16130.92,15072.72
41,16130.92,16130.92,15072.72
42,16130.92,16130.92,15072.72
43,16130.92,16130.92,15072.72
44,16130.92,16130.92,15072.72
45,16130.92,16130.92,15072.72
46,15545.66,16130.92,15072.72
47,16093.22,16130.92,15072.72
48,15184.0,16130.92,15072.72
49,32378.45,37946.35,37681.8
50,30444.7,35679.8,37681.8
51,29647.15,34745.1,37681.8
52,28857.4,33819.5,37681.8
53,29605.55,34695.7,37681.8
54,33133.1,38830.35,37681.8
55,38413.7,40327.3,37681.8
56,40327.3,40327.3,37681.8
57,40327.3,40327.3,37681.8
58,40327.3,40327.3,37681.8
59,40327.3,40327.3,37681.8
60,40327.3,40327.3,37681.8
61,40327.3,40327.3,37681.8
62,40327.3,40327.3,37681.8
63,40327.3,40327.3,37681.8
64,40327.3,40327.3,37681.8
65,40327.3,40327.3,37681.8
66,40327.3,40327.3,37681.8
67,40327.3,40327.3,37681.8
68,40327.3,40327.3,37681.8
69,40327.3,40327.3,37681.8
70,38925.25,40327.3,37681.8
71,38090.0,40327.3,37681.8
72,34853.0,40327.3,37681.8
73,12454.52,14596.14,15072.72
74,11596.26,13590.2,15072.72
75,11249.68,13184.34,15072.72
76,10773.1,12625.6,14478.1
77,10734.1,12579.84,14425.58
78,11134.5,13049.14,14963.78
79,11477.44,13451.1,15072.72
80,12461.02,14603.68,15072.72
81,13405.86,15711.28,15072.72
82,14145.82,16130.92,15072.72
83,14594.84,16130.92,15072.72
84,14967.68,16130.92,15072.72
85,14272.96,16130.92,15072.72
86,13692.9,16047.46,15072.72
87,13247.0,15524.86,15072.72
88,12974.26,15205.32,15072.72
89,12872.6,15086.24,15072.72
90,13040.56,15283.06,15072.72
91,13281.58,15565.42,15072.72
92,13706.16,16063.32,15072.72
93,14103.96,16130.92,15072.72
94,13367.64,15666.56,15072.72
95,13544.44,15873.52,15072.72
96,12540.32,14696.5,15072.72
97,30800.9,36097.1,37681.8
98,28807.35,33761.0,37681.8
99,28003.95,32819.15,37635.0
100,27108.9,31770.7,36431.85
101,27631.5,32383.0,37134.5
102,30212.0,35407.45,37681.8
103,35721.4,40327.3,37681.8
104,40327.3,40327.3,37681.8
105,40327.3,40327.3,37681.8
106,40327.3,40327.3,37681.8
107,40327.3,40327.3,37681.8
108,40327.3,40327.3,37681.8
109,40327.3,40327.3,37681.8
110,40327.3,40327.3,37681.8
111,40327.3,40327.3,37681.8
112,40327.3,40327.3,37681.8
113,40327.3,40327.3,37681.8
114,40327.3,40327.3,37681.8
115,40327.3,40327.3,37681.8
116,39291.85,40327.3,37681.8
117,37854.7,40327.3,37681.8
118,37369.8,40327.3,37681.8
119,36364.25,40327.3,37681.8
120,33189.0,38896.0,37681.8
121,11853.14,13891.28,15072.72
122,11015.94,12910.3,14804.4
123,10604.36,12427.74,14251.12
124,10151.7,11897.6,13643.24
125,10013.12,11734.84,13456.82
126,10144.16,11888.76,13633.1
127,10766.08,12617.54,14468.74
128,11754.86,13776.1,15072.72
129,12823.2,15028.0,15072.72
130,13638.3,15983.76,15072.72
131,14198.08,16130.92,15072.72
132,14609.92,16130.92,15072.72
133,14102.92,16130.92,15072.72
134,13680.42,16032.9,15072.72
135,13299.0,15585.7,15072.72
136,13143.78,15403.96,15072.72
137,13032.76,15273.7,15072.72
138,13125.58,15382.64,15072.72
139,13048.36,15292.16,15072.72
140,12854.4,15064.66,15072.72
141,12780.04,14977.56,15072.72
142,12803.96,15005.64,15072.72
143,12805.78,15007.98,15072.72
144,11801.14,13830.44,15072.72
145,33270.9,38992.2,37681.8
146,31499.65,36916.1,37681.8
147,30713.15,35994.4,37681.8
148,29823.3,34951.15,37681.8
149,30591.6,35852.05,37681.8
150,34266.05,40158.95,37681.8
151,40327.3,40327.3,37681.8
152,40327.3,40327.3,37681.8
153,40327.3,40327.3,37681.8
154,40327.3,40327.3,37681.8
155,40327.3,40327.3,37681.8
156,40327.3,40327.3,37681.8
157,40327.3,40327.3,37681.8
158,40327.3,40327.3,37681.8
159,40327.3,40327.3,37681.8
160,40327.3,40327.3,37681.8
161,40327.3,40327.3,37681.8
162,40327.3,40327.3,37681.8
163,40327.3,40327.3,37681.8
164,40327.3,40327.3,37681.8
165,40327.3,40327.3,37681.8
166,40088.1,40327.3,37681.8
167,39095.55,40327.3,37681.8
168,36009.35,40327.3,37681.8
169,12853.36,15063.62,15072.72
170,12038.26,14108.38,15072.72
171,11625.9,13625.04,15072.72
172,11103.56,13012.74,14922.18
173,11070.8,12974.26,14877.98
174,11514.88,13495.04,15072.72
175,12198.42,14295.84,15072.72
176,13213.72,15486.12,15072.72
177,14128.92,16130.92,15072.72
178,14790.62,16130.92,15072.72
179,15299.44,16130.92,15072.72
180,15589.08,16130.92,15072.72
181,14897.48,16130.92,15072.72
182,14322.62,16130.92,15072.72
183,13927.94,16130.92,15072.72
184,13739.44,16102.06,15072.72
185,13807.56,16130.92,15072.72
186,14441.44,16130.92,15072.72
187,15323.88,16130.92,15072.72
188,15479.1,16130.92,15072.72
189,14729.78,16130.92,15072.72
190,13724.62,16084.64,15072.72
191,13861.9,16130.92,15072.72
192,12899.9,15118.22,15072.72
