,2010,2015,2020
1,205.99,205.47,203.07
2,205.99,205.47,203.07
3,205.99,205.47,203.07
4,205.99,205.47,203.07
5,205.99,205.47,203.07
6,205.99,205.47,203.07
7,205.99,205.47,203.07
8,205.99,205.47,203.07
9,205.99,205.47,203.07
10,205.99,205.47,203.07
11,205.99,205.47,203.07
12,205.99,205.47,203.07
13,205.99,205.47,203.07
14,205.99,205.47,203.07
15,205.99,205.47,203.07
16,205.99,205.47,203.07
17,205.99,205.47,203.07
18,205.99,205.47,203.07
19,205.99,205.47,203.07
20,205.99,205.47,203.07
21,205.99,205.47,203.07
22,205.99,205.47,203.07
23,205.99,205.47,203.07
24,205.99,205.47,203.07
25,208.9,256.35,221.41
26,208.9,256.35,221.41
27,208.9,256.35,221.41
28,208.9,256.35,221.41
29,208.9,256.35,221.41
30,208.9,256.35,221.41
31,208.9,256.35,221.41
32,208.9,256.35,221.41
33,208.9,256.35,221.41
34,208.9,256.35,221.41
35,208.9,256.35,221.41
36,208.9,256.35,221.41
37,208.9,256.35,221.41
38,208.9,256.35,221.41
39,208.9,256.35,221.41
40,208.9,256.35,221.41
41,208.9,256.35,221.41
42,208.9,256.35,221.41
43,208.9,256.35,221.41
44,208.9,256.35,221.41
45,208.9,256.35,221.41
46,208.9,256.35,221.41
47,208.9,256.35,221.41
48,208.9,256.35,221.41
49,223.91,237.54,221.41
50,223.91,237.54,221.41
51,223.91,237.54,221.41
52,223.91,237.54,221.41
53,223.91,237.54,221.41
54,223.91,237.54,221.41
55,223.91,237.54,221.41
56,223.91,237.54,221.41
57,223.91,237.54,221.41
58,223.91,237.54,221.41
59,223.91,237.54,221.41
60,223.91,237.54,221.41
61,223.91,237.54,221.41
62,223.91,237.54,221.41
63,223.91,237.54,221.41
64,223.91,237.54,221.41
65,223.91,237.54,221.41
66,223.91,237.54,221.41
67,223.91,237.54,221.41
68,223.91,237.54,221.41
69,223.91,237.54,221.41
70,223.91,237.54,221.41
71,223.91,237.54,221.41
72,223.91,237.54,221.41
73,201.02,248.66,231.71
74,201.02,248.66,231.71
75,201.02,248.66,231.71
76,201.02,248.66,231.71
77,201.02,248.66,231.71
78,201.02,248.66,231.71
79,201.02,248.66,231.71
80,201.02,248.66,231.71
81,201.02,248.66,231.71
82,201.02,248.66,231.71
83,201.02,248.66,231.71
84,201.02,248.66,231.71
85,201.02,248.66,231.71
86,201.02,248.66,231.71
87,201.02,248.66,231.71
88,201.02,248.66,231.71
89,201.02,248.66,231.71
90,201.02,248.66,231.71
91,201.02,248.66,231.71
92,201.02,248.66,231.71
93,201.02,248.66,231.71
94,201.02,248.66,231.71
95,201.02,248.66,231.71
96,201.02,248.66,231.71
97,263.67,265.8,221.41
98,263.67,265.8,221.41
99,263.67,265.8,221.41
100,263.67,265.8,221.41
101,263.67,265.8,221.41
102,263.67,265.8,221.41
103,263.67,265.8,221.41
104,263.67,265.8,221.41
105,263.67,265.8,221.41
106,263.67,265.8,221.41
107,263.67,265.8,221.41
108,263.67,265.8,221.41
109,263.67,265.8,221.41
110,263.67,265.8,221.41
111,263.67,265.8,221.41
112,263.67,265.8,221.41
113,263.67,265.8,221.41
114,263.67,265.8,221.41
115,263.67,265.8,221.41
116,263.67,265.8,221.41
117,263.67,265.8,221.41
118,263.67,265.8,221.41
119,263.67,265.8,221.41
120,263.67,265.8,221.41
121,248.28,248.47,212.71
122,248.28,248.47,212.71
123,248.28,248.47,212.71
124,248.28,248.47,212.71
125,248.28,248.47,212.71
126,248.28,248.47,212.71
127,248.28,248.47,212.71
128,248.28,248.47,212.71
129,248.28,248.47,212.71
130,248.28,248.47,212.71
131,248.28,248.47,212.71
132,248.28,248.47,212.71
133,248.28,248.47,212.71
134,248.28,248.47,212.71
135,248.28,248.47,212.71
136,248.28,248.47,212.71
137,248.28,248.47,212.71
138,248.28,248.47,212.71
139,248.28,248.47,212.71
140,248.28,248.47,212.71
141,248.28,248.47,212.71
142,248.28,248.47,212.71
143,248.28,248.47,212.71
144,248.28,248.47,212.71
145,224.1,245.04,205.62
146,224.1,245.04,205.62
147,224.1,245.04,205.62
148,224.1,245.04,205.62
149,224.1,245.04,205.62
150,224.1,245.04,205.62
151,224.1,245.04,205.62
152,224.1,245.04,205.62
153,224.1,245.04,205.62
154,224.1,245.04,205.62
155,224.1,245.04,205.62
156,224.1,245.04,205.62
157,224.1,245.04,205.62
158,224.1,245.04,205.62
159,224.1,245.04,205.62
160,224.1,245.04,205.62
161,224.1,245.04,205.62
162,224.1,245.04,205.62
163,224.1,245.04,205.62
164,224.1,245.04,205.62
165,224.1,245.04,205.62
166,224.1,245.04,205.62
167,224.1,245.04,205.62
168,224.1,245.04,205.62
169,201.21,248.66,231.71
170,201.21,248.66,231.71
171,201.21,248.66,231.71
172,201.21,248.66,231.71
173,201.21,248.66,231.71
174,201.21,248.66,231.71
175,201.21,248.66,231.71
176,201.21,248.66,231.71
177,201.21,248.66,231.71
178,201.21,248.66,231.71
179,201.21,248.66,231.71
180,201.21,248.66,231.71
181,201.21,248.66,231.71
182,201.21,248.66,231.71
183,201.21,248.66,231.71
184,201.21,248.66,231.71
185,201.21,248.66,231.71
186,201.21,248.66,231.71
187,201.21,248.66,231.71
188,201.21,248.66,231.71
189,201.21,248.66,231.71
190,201.21,248.66,231.71
191,201.21,248.66,231.71
192,201.21,248.66,231.71
