,2010,2015,2020
1,103.44,122.25,141.47
2,103.44,122.25,141.47
3,103.44,122.25,141.47
4,103.44,122.25,141.47
5,103.44,122.25,141.47
6,103.44,122.25,141.47
7,103.44,122.25,141.47
8,103.44,122.25,141.47
9,103.44,122.25,141.47
10,103.44,122.25,141.47
11,103.44,122.25,141.47
12,103.44,122.25,141.47
13,103.44,122.25,141.47
14,103.44,122.25,141.47
15,103.44,122.25,141.47
16,103.44,122.25,141.47
17,103.44,122.25,141.47
18,103.44,122.25,141.47
19,103.44,122.25,141.47
20,103.44,122.25,141.47
21,103.44,122.25,141.47
22,103.44,122.25,141.47
23,103.44,122.25,141.47
24,103.44,122.25,141.47
25,94.04,103.44,122.52
26,94.04,103.44,122.52
27,94.04,103.44,122.52
28,94.04,103.44,122.52
29,94.04,103.44,122.52
30,94.04,103.44,122.52
31,94.04,103.44,122.52
32,94.04,103.44,122.52
33,94.04,103.44,122.52
34,94.04,103.44,122.52
35,94.04,103.44,122.52
36,94.04,103.44,122.52
37,94.04,103.44,122.52
38,94.04,103.44,122.52
39,94.04,103.44,122.52
40,94.04,103.44,122.52
41,94.04,103.44,122.52
42,94.04,103.44,122.52
43,94.04,103.44,122.52
44,94.04,103.44,122.52
45,94.04,103.44,122.52
46,94.04,103.44,122.52
47,94.04,103.44,122.52
48,94.04,103.44,122.52
49,94.04,112.85,122.52
50,94.04,112.85,122.52
51,94.04,112.85,122.52
52,94.04,112.85,122.52
53,94.04,112.85,122.52
54,94.04,112.85,122.52
55,94.04,112.85,122.52
56,94.04,112.85,122.52
57,94.04,112.85,122.52
58,94.04,112.85,122.52
59,94.04,112.85,122.52
60,94.04,112.85,122.52
61,94.04,112.85,122.52
62,94.04,112.85,122.52
63,94.04,112.85,122.52
64,94.04,112.85,122.52
65,94.04,112.85,122.52
66,94.04,112.85,122.52
67,94.04,112.85,122.52
68,94.04,112.85,122.52
69,94.04,112.85,122.52
70,94.04,112.85,122.52
71,94.04,112.85,122.52
72,94.04,112.85,122.52
73,75.23,94.04,103.54
74,75.23,94.04,103.54
75,75.23,94.04,103.54
76,75.23,94.04,103.54
77,75.23,94.04,103.54
78,75.23,94.04,103.54
79,75.23,94.04,103.54
80,75.23,94.04,103.54
81,75.23,94.04,103.54
82,75.23,94.04,103.54
83,75.23,94.04,103.54
84,75.23,94.04,103.54
85,75.23,94.04,103.54
86,75.23,94.04,103.54
87,75.23,94.04,103.54
88,75.23,94.04,103.54
89,75.23,94.04,103.54
90,75.23,94.04,103.54
91,75.23,94.04,103.54
92,75.23,94.04,103.54
93,75.23,94.04,103.54
94,75.23,94.04,103.54
95,75.23,94.04,103.54
96,75.23,94.04,103.54
97,94.04,112.85,122.52
98,94.04,112.85,122.52
99,94.04,112.85,122.52
100,94.04,112.85,122.52
101,94.04,112.85,122.52
102,94.04,112.85,122.52
103,94.04,112.85,122.52
104,94.04,112.85,122.52
105,94.04,112.85,122.52
106,94.04,112.85,122.52
107,94.04,112.85,122.52
108,94.04,112.85,122.52
109,94.04,112.85,122.52
110,94.04,112.85,122.52
111,94.04,112.85,122.52
112,94.04,112.85,122.52
113,94.04,112.85,122.52
114,94.04,112.85,122.52
115,94.04,112.85,122.52
116,94.04,112.85,122.52
117,94.04,112.85,122.52
118,94.04,112.85,122.52
119,94.04,112.85,122.52
120,94.04,112.85,122.52
121,75.23,84.64,103.54
122,75.23,84.64,103.54
123,75.23,84.64,103.54
124,75.23,84.64,103.54
125,75.23,84.64,103.54
126,75.23,84.64,103.54
127,75.23,84.64,103.54
128,75.23,84.64,103.54
129,75.23,84.64,103.54
130,75.23,84.64,103.54
131,75.23,84.64,103.54
132,75.23,84.64,103.54
133,75.23,84.64,103.54
134,75.23,84.64,103.54
135,75.23,84.64,103.54
136,75.23,84.64,103.54
137,75.23,84.64,103.54
138,75.23,84.64,103.54
139,75.23,84.64,103.54
140,75.23,84.64,103.54
141,75.23,84.64,103.54
142,75.23,84.64,103.54
143,75.23,84.64,103.54
144,75.23,84.64,103.54
145,103.44,112.85,131.99
146,103.44,112.85,131.99
147,103.44,112.85,131.99
148,103.44,112.85,131.99
149,103.44,112.85,131.99
150,103.44,112.85,131.99
151,103.44,112.85,131.99
152,103.44,112.85,131.99
153,103.44,112.85,131.99
154,103.44,112.85,131.99
155,103.44,112.85,131.99
156,103.44,112.85,131.99
157,103.44,112.85,131.99
158,103.44,112.85,131.99
159,103.44,112.85,131.99
160,103.44,112.85,131.99
161,103.44,112.85,131.99
162,103.44,112.85,131.99
163,103.44,112.85,131.99
164,103.44,112.85,131.99
165,103.44,112.85,131.99
166,103.44,112.85,131.99
167,103.44,112.85,131.99
168,103.44,112.85,131.99
169,84.64,94.04,103.54
170,84.64,94.04,103.54
171,84.64,94.04,103.54
172,84.64,94.04,103.54
173,84.64,94.04,103.54
174,84.64,94.04,103.54
175,84.64,94.04,103.54
176,84.64,94.04,103.54
177,84.64,94.04,103.54
178,84.64,94.04,103.54
179,84.64,94.04,103.54
180,84.64,94.04,103.54
181,84.64,94.04,103.54
182,84.64,94.04,103.54
183,84.64,94.04,103.54
184,84.64,94.04,103.54
185,84.64,94.04,103.54
186,84.64,94.04,103.54
187,84.64,94.04,103.54
188,84.64,94.04,103.54
189,84.64,94.04,103.54
190,84.64,94.04,103.54
191,84.64,94.04,103.54
192,84.64,94.04,103.54
