,2010,2015,2020
1,0.07,0.038,0.035
2,0.057,0.032,0.03
3,0.053,0.031,0.027
4,0.044,0.03,0.025
5,0.044,0.03,0.027
6,0.065,0.038,0.034
7,0.098,0.043,0.047
8,0.102,0.058,0.082
9,0.104,0.065,0.093
10,0.104,0.061,0.091
11,0.105,0.075,0.094
12,0.104,0.077,0.095
13,0.099,0.062,0.092
14,0.098,0.065,0.093
15,0.104,0.062,0.09
16,0.104,0.061,0.089
17,0.113,0.061,0.09
18,0.121,0.077,0.096
19,0.116,0.072,0.093
20,0.113,0.061,0.09
21,0.098,0.043,0.068
22,0.098,0.043,0.047
23,0.098,0.043,0.046
24,0.097,0.043,0.042
25,0.02,0.013,0.011
26,0.01,0.012,0.01
27,0.01,0.012,0.01
28,0.01,0.011,0.01
29,0.009,0.011,0.01
30,0.01,0.011,0.01
31,0.01,0.012,0.01
32,0.02,0.013,0.011
33,0.022,0.013,0.012
34,0.032,0.015,0.016
35,0.032,0.015,0.016
36,0.035,0.015,0.017
37,0.031,0.015,0.016
38,0.031,0.014,0.016
39,0.028,0.014,0.015
40,0.029,0.015,0.015
41,0.03,0.015,0.015
42,0.032,0.015,0.017
43,0.032,0.016,0.017
44,0.032,0.015,0.015
45,0.033,0.014,0.014
46,0.022,0.013,0.012
47,0.029,0.014,0.013
48,0.021,0.013,0.011
49,0.024,0.028,0.025
50,0.023,0.027,0.024
51,0.022,0.026,0.024
52,0.021,0.025,0.023
53,0.022,0.026,0.024
54,0.025,0.029,0.025
55,0.047,0.032,0.03
56,0.089,0.038,0.041
57,0.08,0.038,0.044
58,0.088,0.038,0.043
59,0.089,0.038,0.044
60,0.093,0.038,0.045
61,0.083,0.035,0.039
62,0.086,0.032,0.04
63,0.082,0.032,0.04
64,0.084,0.035,0.039
65,0.082,0.038,0.038
66,0.098,0.038,0.038
67,0.097,0.038,0.037
68,0.098,0.038,0.037
69,0.098,0.038,0.036
70,0.048,0.032,0.028
71,0.047,0.032,0.028
72,0.026,0.031,0.025
73,0.009,0.011,0.01
74,0.009,0.01,0.009
75,0.008,0.01,0.009
76,0.008,0.009,0.008
77,0.008,0.009,0.008
78,0.008,0.01,0.009
79,0.009,0.01,0.009
80,0.009,0.011,0.01
81,0.01,0.012,0.01
82,0.011,0.012,0.01
83,0.011,0.013,0.01
84,0.011,0.013,0.01
85,0.011,0.013,0.01
86,0.01,0.012,0.01
87,0.01,0.012,0.01
88,0.01,0.011,0.01
89,0.01,0.011,0.01
90,0.01,0.011,0.01
91,0.01,0.012,0.01
92,0.01,0.012,0.01
93,0.011,0.012,0.01
94,0.01,0.012,0.01
95,0.01,0.012,0.01
96,0.009,0.011,0.01
97,0.023,0.027,0.025
98,0.021,0.025,0.023
99,0.021,0.025,0.022
100,0.02,0.024,0.021
101,0.021,0.024,0.022
102,0.022,0.026,0.024
103,0.027,0.031,0.025
104,0.049,0.038,0.037
105,0.065,0.038,0.041
106,0.065,0.038,0.041
107,0.065,0.038,0.044
108,0.065,0.038,0.047
109,0.065,0.036,0.042
110,0.065,0.036,0.04
111,0.065,0.038,0.041
112,0.065,0.038,0.042
113,0.065,0.038,0.04
114,0.065,0.038,0.04
115,0.049,0.038,0.038
116,0.048,0.035,0.036
117,0.047,0.032,0.028
118,0.028,0.032,0.027
119,0.027,0.032,0.027
120,0.025,0.029,0.025
121,0.009,0.01,0.01
122,0.008,0.01,0.009
123,0.008,0.009,0.008
124,0.008,0.009,0.008
125,0.008,0.009,0.008
126,0.008,0.009,0.008
127,0.008,0.009,0.008
128,0.009,0.01,0.009
129,0.01,0.011,0.01
130,0.01,0.012,0.01
131,0.011,0.013,0.01
132,0.011,0.013,0.01
133,0.011,0.012,0.01
134,0.01,0.012,0.01
135,0.01,0.012,0.01
136,0.01,0.011,0.01
137,0.01,0.011,0.01
138,0.01,0.011,0.01
139,0.01,0.011,0.01
140,0.01,0.011,0.01
141,0.009,0.011,0.01
142,0.01,0.011,0.01
143,0.01,0.011,0.01
144,0.009,0.01,0.009
145,0.025,0.029,0.025
146,0.024,0.028,0.025
147,0.023,0.027,0.025
148,0.022,0.026,0.024
149,0.023,0.027,0.025
150,0.026,0.03,0.025
151,0.074,0.038,0.037
152,0.08,0.043,0.055
153,0.08,0.043,0.054
154,0.08,0.043,0.053
155,0.08,0.043,0.054
156,0.08,0.043,0.054
157,0.08,0.043,0.05
158,0.08,0.043,0.05
159,0.08,0.043,0.048
160,0.08,0.043,0.046
161,0.08,0.043,0.046
162,0.08,0.043,0.047
163,0.098,0.043,0.051
164,0.098,0.043,0.051
165,0.08,0.038,0.044
166,0.064,0.032,0.031
167,0.059,0.032,0.031
168,0.045,0.032,0.027
169,0.01,0.011,0.01
170,0.009,0.011,0.01
171,0.009,0.01,0.009
172,0.008,0.01,0.009
173,0.008,0.01,0.009
174,0.009,0.01,0.009
175,0.009,0.011,0.01
176,0.01,0.012,0.01
177,0.011,0.012,0.01
178,0.011,0.013,0.01
179,0.011,0.013,0.01
180,0.012,0.013,0.01
181,0.011,0.013,0.01
182,0.011,0.013,0.01
183,0.01,0.012,0.01
184,0.01,0.012,0.01
185,0.01,0.012,0.01
186,0.011,0.013,0.01
187,0.011,0.013,0.01
188,0.012,0.013,0.01
189,0.011,0.013,0.01
190,0.01,0.012,0.01
191,0.01,0.012,0.01
192,0.01,0.011,0.01
