,2010,2015,2020
COA_SUB_LN,142.634,12.673,19.902
COA_SC_LN,0.0,0.0,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,8.902,1.509,127.043
GAS_CC,11.565,84.656,144.962
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,94.64,95.438,106.468
REW_HYD_LG,0.0,0.0,0.0
REW_HYD_PS,0.0,0.0,0.0
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,0.0
REW_WND_ON_40UP,0.0,0.0,0.0
REW_PV_UTI,0.0,0.0,0.0
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.0,0.0,0.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,105.154,134.519,156.147
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,105.708,121.253,62.181
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,95.033,81.96,91.746
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,121.629
OIL_ST,0.0,0.0,0.0
