,2010,2015,2020
COA_SUB_LN,146.861,146.861,73.43
COA_SC_LN,0.0,0.0,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,43.972,43.972,78.172
GAS_CC,20.117,40.234,40.234
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,697.332,697.332,697.332
REW_HYD_LG,158.485,158.485,105.656
REW_HYD_PS,34.793,34.793,34.793
REW_WND_ON_3035,72.371,100.822,100.822
REW_WND_ON_3540,0.0,85.352,85.352
REW_WND_ON_40UP,0.0,85.352,85.352
REW_PV_UTI,0.0,46.749,46.749
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,37.358,37.358,37.358
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,48.289,48.289,48.289
BIO_CHP,23.61,23.61,23.61
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,35.037,35.037,17.518
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,8.336,8.336,8.336
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,27.219
OIL_ST,39.031,19.515,19.515
