,2010,2015,2020
1,0.073,0.067,0.071
2,0.07,0.064,0.069
3,0.07,0.064,0.068
4,0.068,0.063,0.067
5,0.068,0.064,0.068
6,0.072,0.067,0.071
7,0.075,0.067,0.079
8,0.08,0.102,0.102
9,0.082,0.108,0.108
10,0.08,0.1,0.104
11,0.083,0.123,0.106
12,0.079,0.19,0.106
13,0.073,0.102,0.107
14,0.073,0.109,0.109
15,0.082,0.104,0.108
16,0.082,0.103,0.107
17,0.117,0.1,0.104
18,0.145,0.186,0.104
19,0.126,0.116,0.103
20,0.119,0.101,0.105
21,0.074,0.066,0.092
22,0.075,0.066,0.078
23,0.074,0.066,0.077
24,0.077,0.068,0.077
25,0.068,0.063,0.067
26,0.063,0.063,0.066
27,0.062,0.063,0.066
28,0.062,0.062,0.066
29,0.062,0.062,0.066
30,0.062,0.063,0.066
31,0.062,0.063,0.066
32,0.068,0.063,0.067
33,0.066,0.061,0.067
34,0.071,0.065,0.073
35,0.068,0.063,0.071
36,0.07,0.063,0.074
37,0.069,0.064,0.073
38,0.071,0.065,0.074
39,0.069,0.064,0.072
40,0.07,0.065,0.072
41,0.069,0.062,0.07
42,0.068,0.061,0.071
43,0.068,0.14,0.071
44,0.068,0.06,0.068
45,0.071,0.062,0.068
46,0.066,0.06,0.066
47,0.07,0.062,0.067
48,0.066,0.061,0.064
49,0.061,0.062,0.066
50,0.061,0.061,0.066
51,0.061,0.061,0.066
52,0.06,0.061,0.066
53,0.061,0.061,0.066
54,0.062,0.063,0.066
55,0.064,0.061,0.067
56,0.072,0.062,0.073
57,0.067,0.062,0.074
58,0.068,0.063,0.074
59,0.068,0.063,0.074
60,0.069,0.063,0.075
61,0.068,0.063,0.071
62,0.07,0.062,0.072
63,0.069,0.063,0.073
64,0.071,0.063,0.072
65,0.07,0.064,0.072
66,0.073,0.064,0.071
67,0.073,0.063,0.071
68,0.073,0.063,0.07
69,0.073,0.063,0.068
70,0.064,0.06,0.064
71,0.066,0.062,0.066
72,0.062,0.063,0.066
73,0.059,0.06,0.064
74,0.06,0.06,0.066
75,0.06,0.06,0.065
76,0.059,0.06,0.065
77,0.059,0.06,0.065
78,0.06,0.06,0.066
79,0.06,0.061,0.066
80,0.058,0.06,0.065
81,0.056,0.06,0.064
82,0.055,0.06,0.063
83,0.056,0.061,0.063
84,0.056,0.061,0.063
85,0.055,0.062,0.063
86,0.056,0.063,0.066
87,0.058,0.063,0.066
88,0.058,0.062,0.066
89,0.058,0.06,0.064
90,0.058,0.06,0.063
91,0.058,0.059,0.063
92,0.056,0.058,0.061
93,0.057,0.057,0.06
94,0.058,0.059,0.062
95,0.058,0.058,0.062
96,0.059,0.059,0.065
97,0.06,0.062,0.066
98,0.06,0.061,0.066
99,0.06,0.061,0.066
100,0.059,0.06,0.065
101,0.059,0.061,0.066
102,0.06,0.062,0.067
103,0.059,0.062,0.065
104,0.064,0.065,0.073
105,0.065,0.064,0.074
106,0.064,0.063,0.073
107,0.064,0.064,0.075
108,0.064,0.064,0.077
109,0.064,0.063,0.074
110,0.064,0.062,0.072
111,0.065,0.064,0.074
112,0.067,0.065,0.076
113,0.067,0.065,0.074
114,0.067,0.064,0.074
115,0.064,0.064,0.072
116,0.063,0.062,0.069
117,0.063,0.061,0.065
118,0.059,0.061,0.065
119,0.059,0.062,0.066
120,0.061,0.062,0.066
121,0.058,0.06,0.065
122,0.059,0.06,0.066
123,0.058,0.06,0.065
124,0.058,0.059,0.065
125,0.058,0.059,0.065
126,0.058,0.06,0.066
127,0.059,0.062,0.066
128,0.058,0.061,0.066
129,0.057,0.062,0.066
130,0.054,0.061,0.063
131,0.055,0.061,0.064
132,0.055,0.061,0.064
133,0.055,0.061,0.064
134,0.056,0.062,0.065
135,0.056,0.063,0.066
136,0.057,0.062,0.066
137,0.057,0.061,0.065
138,0.056,0.059,0.063
139,0.055,0.057,0.062
140,0.057,0.058,0.062
141,0.057,0.059,0.063
142,0.057,0.059,0.063
143,0.057,0.059,0.063
144,0.058,0.06,0.064
145,0.062,0.062,0.066
146,0.061,0.062,0.066
147,0.061,0.062,0.066
148,0.061,0.061,0.066
149,0.061,0.062,0.066
150,0.062,0.063,0.066
151,0.069,0.063,0.071
152,0.069,0.065,0.082
153,0.067,0.064,0.08
154,0.067,0.064,0.08
155,0.067,0.065,0.08
156,0.067,0.065,0.081
157,0.069,0.066,0.08
158,0.07,0.067,0.081
159,0.07,0.067,0.079
160,0.07,0.067,0.078
161,0.07,0.066,0.077
162,0.07,0.065,0.078
163,0.071,0.064,0.079
164,0.071,0.064,0.078
165,0.07,0.062,0.074
166,0.068,0.06,0.066
167,0.068,0.062,0.067
168,0.067,0.063,0.067
169,0.059,0.061,0.065
170,0.06,0.061,0.066
171,0.06,0.061,0.066
172,0.06,0.06,0.065
173,0.06,0.06,0.065
174,0.06,0.061,0.066
175,0.061,0.061,0.067
176,0.059,0.06,0.063
177,0.058,0.06,0.064
178,0.057,0.06,0.062
179,0.056,0.06,0.062
180,0.057,0.06,0.062
181,0.058,0.062,0.064
182,0.059,0.062,0.065
183,0.058,0.062,0.065
184,0.058,0.061,0.064
185,0.058,0.06,0.063
186,0.057,0.06,0.063
187,0.056,0.057,0.06
188,0.056,0.057,0.06
189,0.057,0.06,0.061
190,0.058,0.059,0.062
191,0.058,0.059,0.062
192,0.06,0.061,0.065
